L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,variable
10.348662248674149,5.6376727265603,-4.710989522113849,100000,5,3,0,0.01,2,15.625,0.0,15.625,15.625,n
5.621182961783477,5.635298029000732,0.0141150672172551,100000,5,3,0,0.01,2,0.0,15.625,15.625,0.0,n
5.621182927671563,5.627189848376669,0.0060069207051061,100000,5,3,0,0.01,2,15.625,0.0,31.25,0.0,n
10.929285921480602,5.632203102908711,-5.297082818571892,166810,5,3,0,0.01,2,15.625,0.0,31.25,15.625,n
5.623922351759356,5.630110679452044,0.0061883276926879,166810,5,3,0,0.01,2,15.625,15.625,15.625,0.0,n
5.623922336537673,5.627568643965557,0.0036463074278847,166810,5,3,0,0.01,2,31.25,0.0,31.25,0.0,n
14.301594284140464,14.12937514903517,-0.1722191351052941,278255,5,3,0,0.01,1,31.25,0.0,31.25,15.625,n
14.123654168030008,14.129698554443472,0.006044386413464,278255,5,3,0,0.01,1,31.25,15.625,46.875,0.0,n
8.734564619238919,5.62646634384478,-3.108098275394138,464158,5,3,0,0.01,1,46.875,15.625,78.125,15.625,n
5.622283692419464,5.62437494479725,0.0020912523777854,464158,5,3,0,0.01,1,78.125,15.625,93.75,15.625,n
8.708124453010443,5.62811165740376,-3.080012795606684,774263,5,3,0,0.01,1,78.125,15.625,125.0,15.625,n
5.625217766574885,5.626746959488959,0.0015291929140746,774263,5,3,0,0.01,1,109.375,15.625,125.0,15.625,n
10.959344008093836,5.625532603606068,-5.3338114044877685,1291549,5,3,0,0.01,1,140.625,31.25,218.75,46.875,n
5.624187810457888,5.624750708230211,0.0005628977723226,1291549,5,3,0,0.01,1,187.5,31.25,234.375,15.625,n
10.750748710634324,5.626511490978287,-5.124237219656036,2154434,5,3,0,0.01,1,218.75,62.5,468.75,46.875,n
5.625217652566256,5.625554584980282,0.0003369324140258,2154434,5,3,0,0.01,1,328.125,62.5,390.625,46.875,n
6.656536960796842,5.626436524249368,-1.0301004365474746,3593813,5,3,0,0.01,1,375.0,109.375,578.125,78.125,n
5.626025774279084,5.626205516315703,0.0001797420366189,3593813,5,3,0,0.01,1,531.25,109.375,609.375,62.5,n
6.069566280254788,5.6259795018957925,-0.4435867783589957,5994842,5,3,0,0.01,1,609.375,187.5,1015.625,109.375,n
5.6257942873665705,5.625848848765942,5.456139937187743e-05,5994842,5,3,0,0.01,1,890.625,187.5,1015.625,93.75,n
9.14923878537513,5.626120230822677,-3.523118554552454,10000000,5,3,0,0.01,1,1062.5,296.875,1703.125,171.875,n
5.625850099331282,5.625931677797417,8.157846613521258e-05,10000000,5,3,0,0.01,1,1531.25,296.875,1671.875,203.125,n
1.7085160539951951,1.655579150492898,-0.0529369035022972,10000000,2,3,0,0.01,1,671.875,109.375,843.75,203.125,d
1.655497937638568,1.655517252454844,1.931481627615028e-05,10000000,2,3,0,0.01,1,734.375,109.375,828.125,187.5,d
4.542086799031506,4.528735558363159,-0.0133512406683475,10000000,3,3,0,0.01,1,812.5,156.25,1156.25,171.875,d
4.528575299709598,4.528653871378982,7.857166938407545e-05,10000000,3,3,0,0.01,1,1015.625,171.875,1187.5,203.125,d
13.148511229677766,4.741404864755769,-8.407106364921997,10000000,4,3,0,0.01,1,859.375,234.375,1406.25,187.5,d
