L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
5957168770.706507,5383749942.278926,-573418828.4275808,761940,6,3,0,0.01,7
5598544442.968379,5383749942.278926,-214794500.68945312,761940,6,3,0,0.01,7
5496053774.672427,5383749942.278926,-112303832.39350128,761940,6,3,0,0.01,7
5443858927.675024,5383749942.278926,-60108985.39609814,761940,6,3,0,0.01,7
5414710640.749839,5383749942.278926,-30960698.470912933,761940,6,3,0,0.01,7
5398310133.542935,5383749942.278926,-14560191.264009476,761940,6,3,0,0.01,7
5389083139.804936,5383749942.278926,-5333197.526010513,761940,6,3,0,0.01,7
5383892540.116591,5383749942.278926,-142597.83766555786,761940,6,3,0,0.01,7
