L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg,t_permutation
924078278.8540592,251499654.3087364,-672578624.5453228,110527,8,7,0,0.01,14,15.625,0.0,31.25,0.0,0.0,0.0,62.5,15.625
244471953.42126757,241742628.53946385,-2729324.881803721,110527,8,7,0,0.01,14,0.0,15.625,31.25,0.0,0.0,0.0,62.5,0.0
239258628.44544202,241756603.7829766,2497975.3375345767,110527,8,7,0,0.01,14,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
238823550.45375168,243287037.6046687,4463487.150917023,110527,8,7,0,0.01,14,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
238638372.49006492,244710700.54316172,6072328.053096801,110527,8,7,0,0.01,14,0.0,15.625,31.25,0.0,0.0,0.0,62.5,0.0
238529869.86777422,249690429.6813668,11160559.813592583,110527,8,7,0,0.01,14,0.0,0.0,46.875,0.0,0.0,0.0,62.5,0.0
238461482.46166444,243709867.35565874,5248384.893994302,110527,8,7,0,0.01,14,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
238406448.32895947,249634472.12620556,11228023.797246099,110527,8,7,0,0.01,14,0.0,0.0,46.875,0.0,0.0,0.0,46.875,0.0
238376805.7010259,240555796.4778638,2178990.7768378854,110527,8,7,0,0.01,14,0.0,15.625,31.25,0.0,0.0,0.0,62.5,0.0
238364787.3012157,293541650.73553723,55176863.43432152,110527,8,7,0,0.01,14,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
238358942.1124579,271314774.7674056,32955832.654947728,110527,8,7,0,0.01,14,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
238352745.20553324,264545683.67186415,26192938.466330916,110527,8,7,0,0.01,14,0.0,0.0,62.5,0.0,0.0,0.0,62.5,0.0
238351051.91253105,253509471.4723357,15158419.559804648,110527,8,7,0,0.01,14,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
238350661.32883227,270802368.0830995,32451706.754267216,110527,8,7,0,0.01,14,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
238350503.92298752,250995434.51679757,12644930.593810052,110527,8,7,0,0.01,14,0.0,15.625,31.25,0.0,0.0,0.0,62.5,0.0
