,L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_opt
0,4.08690903261749,3.8334836331226927,-0.2534253994947977,100000,3,5,0,0.01,12,3.6976990585547442
1,3.856835216344511,3.8334836331226927,-0.0233515832218182,100000,3,5,0,0.01,12,3.6976990585547442
2,3.831246533019933,3.831595279960032,0.0003487469400988,100000,3,5,0,0.01,12,3.6976990585547442
3,3.815482240076127,3.736943017799547,-0.0785392222765799,100000,3,5,0,0.01,12,3.6976990585547442
4,3.804789066932884,3.736943017799547,-0.0678460491333368,100000,3,5,0,0.01,12,3.6976990585547442
5,3.796981092586354,3.736943017799547,-0.060038074786807,100000,3,5,0,0.01,12,3.6976990585547442
6,3.789953309965639,3.7591370609415184,-0.0308162490241206,100000,3,5,0,0.01,12,3.6976990585547442
7,3.7828283546714654,3.757821941632718,-0.0250064130387475,100000,3,5,0,0.01,12,3.6976990585547442
8,3.7762434316161806,3.757821941632718,-0.0184214899834627,100000,3,5,0,0.01,12,3.6976990585547442
9,3.769856182239064,3.761490368271816,-0.0083658139672482,100000,3,5,0,0.01,12,3.6976990585547442
10,3.7642868520671495,3.757821941632718,-0.0064649104344316,100000,3,5,0,0.01,12,3.6976990585547442
11,3.759501378020813,3.760305235147368,0.0008038571265549,100000,3,5,0,0.01,12,3.6976990585547442
12,3.755912294617217,3.760890586589571,0.0049782919723542,100000,3,5,0,0.01,12,3.6976990585547442
