L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg
3.23237648456531e+36,2.4830775751598022e+35,-2.9840687270493297e+36,732977,17,6,0,0.01,9,250.0,31.25,515.625,15.625,0.0,15.625,937.5
2.480852651141798e+35,3.750270563714219e+35,1.2694179125724208e+35,732977,17,6,0,0.01,9,421.875,15.625,515.625,15.625,0.0,15.625,890.625
2.479861157857608e+35,3.6505923107692144e+35,1.1707311529116063e+35,732977,17,6,0,0.01,9,437.5,31.25,515.625,15.625,0.0,15.625,937.5
2.479743268538561e+35,2.4828057369545864e+35,3.0624684160252337e+32,732977,17,6,0,0.01,9,421.875,31.25,484.375,0.0,0.0,15.625,921.875
2.4797146227869667e+35,2.4825334859204257e+35,2.8188631334590514e+32,732977,17,6,0,0.01,9,453.125,15.625,500.0,31.25,0.0,15.625,906.25
2.479704804573153e+35,6.587558778364821e+35,4.107853973791668e+35,732977,17,6,0,0.01,9,421.875,15.625,515.625,15.625,0.0,15.625,921.875
2.4796928930011084e+35,5.974606103067794e+35,3.494913210066686e+35,732977,17,6,0,0.01,9,406.25,31.25,515.625,15.625,0.0,15.625,906.25
2.4796818972058265e+35,4.518519027252158e+35,2.0388371300463312e+35,732977,17,6,0,0.01,9,421.875,15.625,500.0,15.625,0.0,15.625,906.25
2.4796786132685625e+35,2.7793839962053154e+35,2.9970538293675297e+34,732977,17,6,0,0.01,9,421.875,15.625,515.625,15.625,0.0,15.625,906.25
2.479678451605862e+35,4.4642099871263684e+35,1.9845315355205065e+35,732977,17,6,0,0.01,9,453.125,15.625,531.25,15.625,0.0,15.625,921.875
