L_slow,L_fast,L_diff,n,d,k,seed,subsample_size
1138255123978066.8,165104874084.97192,-1138090019103981.8,104820,7,4,0,0.01
834546345456815.4,165104874084.97192,-834381240582730.4,104820,7,4,0,0.01
159370363796.1303,165104874084.97192,5734510288.841614,104820,7,4,0,0.01
100720500812.47,165104874084.97192,64384373272.50192,104820,7,4,0,0.01
66423276411.35488,165104874084.97192,98681597673.61703,104820,7,4,0,0.01
66414380428.54917,165104874084.97192,98690493656.42276,104820,7,4,0,0.01
66414380428.54917,165104874084.97192,98690493656.42276,104820,7,4,0,0.01
