L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg,t_permutation
1138255123978066.8,68719264428.76231,-1138186404713638.0,104820,7,4,0,0.01,5,15.625,0.0,31.25,0.0,0.0,0.0,46.875,15.625
66594795930.10465,,,104820,7,4,0,0.01,5,0.0,0.0,31.25,0.0,0.0,0.0,46.875,0.0
66420212622.95302,174315459266.0939,107895246643.14088,104820,7,4,0,0.01,5,0.0,0.0,31.25,0.0,0.0,0.0,31.25,0.0
66417134210.7984,1126180182459246.2,1126113765325035.5,104820,7,4,0,0.01,5,0.0,0.0,31.25,0.0,0.0,0.0,46.875,0.0
66414400479.3402,1121322926525343.6,1121256512124864.2,104820,7,4,0,0.01,5,0.0,0.0,31.25,0.0,0.0,0.0,31.25,0.0
66414380428.54917,165346623440.90564,98932243012.35648,104820,7,4,0,0.01,5,0.0,15.625,15.625,0.0,0.0,0.0,46.875,0.0
