,L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_opt
0,4.517630457814327,4.549322482225915,0.0316920244115888,46415,3,3,0,0.01,2,4.5129743940830656
1,4.513004654862819,4.551465055164144,0.0384604003013251,46415,3,3,0,0.01,2,4.5129743940830656
2,4.512977599883745,4.549322482225915,0.0363448823421705,46415,3,3,0,0.01,2,4.5129743940830656
