L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling
5.941718807324209,5.223219433353224,-0.7184993739709853,1000000,5,9,0,0.01,4,281.25,31.25,281.25,15.625
5.218871910122605,5.198034747303923,-0.02083716281868231,1000000,5,9,0,0.01,4,265.625,31.25,281.25,31.25
5.167702375825737,5.163948396676127,-0.003753979149609954,1000000,5,9,0,0.01,4,265.625,31.25,281.25,15.625
5.152572590118318,5.153803356767547,0.0012307666492290537,1000000,5,9,0,0.01,4,296.875,31.25,281.25,15.625
5.15174968717972,5.152954213678543,0.0012045264988227444,1000000,5,9,0,0.01,4,296.875,31.25,250.0,15.625
