L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
95196.4654444261,14015.500909338854,-81180.96453508725,241600,15,4,0,0.01,30
67859.8824023148,14015.500909338854,-53844.381492975954,241600,15,4,0,0.01,30
52241.73186083874,14015.500909338854,-38226.23095149989,241600,15,4,0,0.01,30
41421.46270946101,14015.500909338854,-27405.961800122157,241600,15,4,0,0.01,30
35981.76272116797,14015.500909338854,-21966.261811829118,241600,15,4,0,0.01,30
33399.32681862772,14015.500909338854,-19383.825909288866,241600,15,4,0,0.01,30
31318.75192811875,14015.500909338854,-17303.251018779894,241600,15,4,0,0.01,30
27925.86274546156,14015.500909338854,-13910.361836122705,241600,15,4,0,0.01,30
23552.497846500697,14015.500909338854,-9536.996937161843,241600,15,4,0,0.01,30
18560.45372534823,14015.500909338854,-4544.952816009376,241600,15,4,0,0.01,30
15580.055166941309,14015.500909338854,-1564.5542576024545,241600,15,4,0,0.01,30
15439.656412960345,14015.500909338854,-1424.1555036214904,241600,15,4,0,0.01,30
15384.733387123904,14015.500909338854,-1369.23247778505,241600,15,4,0,0.01,30
15310.25237787887,14015.500909338854,-1294.7514685400165,241600,15,4,0,0.01,30
15239.64286808931,14015.500909338854,-1224.1419587504552,241600,15,4,0,0.01,30
15164.023645748983,14015.500909338854,-1148.5227364101283,241600,15,4,0,0.01,30
14959.92824701206,14015.500909338854,-944.4273376732053,241600,15,4,0,0.01,30
14597.43449375782,14015.500909338854,-581.9335844189663,241600,15,4,0,0.01,30
14349.655825364998,14015.500909338854,-334.15491602614384,241600,15,4,0,0.01,30
14182.4316929722,14015.500909338854,-166.93078363334644,241600,15,4,0,0.01,30
14049.969570363995,14015.500909338854,-34.468661025141046,241600,15,4,0,0.01,30
13996.715773311358,14015.500909338854,18.785136027496264,241600,15,4,0,0.01,30
13979.831525070098,14015.500909338854,35.6693842687564,241600,15,4,0,0.01,30
13973.728024964632,14015.500909338854,41.772884374222485,241600,15,4,0,0.01,30
13971.581303088784,14011.279255843576,39.69795275479191,241600,15,4,0,0.01,30
13970.73586808396,14011.279255843576,40.54338775961514,241600,15,4,0,0.01,30
13970.4156067272,14011.279255843576,40.86364911637611,241600,15,4,0,0.01,30
13970.331015600103,14011.279255843576,40.948240243473265,241600,15,4,0,0.01,30
13970.291568180259,14011.279255843576,40.98768766331705,241600,15,4,0,0.01,30
13970.274499478424,14011.279255843576,41.00475636515148,241600,15,4,0,0.01,30
13970.267411285618,14011.279255843576,41.011844557957374,241600,15,4,0,0.01,30
