L_slow_list,L_fast_list,L_diff_list
2.34403290732934,1.9282736449470481,-0.4157592623822919
2.072483218685913,1.9282736449470481,-0.1442095737388649
1.9486155862980565,1.9282736449470481,-0.02034194135100842
1.9296824983834935,1.9282736449470481,-0.0014088534364453675
1.9279483232053813,1.9282736449470481,0.0003253217416667731
1.9277368747388046,1.9282736449470481,0.0005367702082434977
1.9276990514414178,1.9282736449470481,0.000574593505630272
1.9276911764288784,1.9282736449470481,0.0005824685181696765
1.9276897067226728,1.9282736449470481,0.0005839382243753022
1.9276895270256709,1.9282736449470481,0.0005841179213772474
1.9276895270256709,1.9282736449470481,0.0005841179213772474
