L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
112963.49862668988,85239.41098804065,-27724.08763864923,89640,5,8,0,0.01,49
102235.63122817069,84948.9303706813,-17286.7008574894,89640,5,8,0,0.01,49
97134.39064302693,83302.14385674,-13832.246786286923,89640,5,8,0,0.01,49
93854.84138389249,84832.25938469105,-9022.581999201444,89640,5,8,0,0.01,49
91562.5713859947,86228.40190826113,-5334.169477733565,89640,5,8,0,0.01,49
89943.15329500135,85391.97523456381,-4551.178060437538,89640,5,8,0,0.01,49
88724.35597225101,85012.72621966264,-3711.629752588371,89640,5,8,0,0.01,49
87809.10678134493,86184.30188139383,-1624.8048999511084,89640,5,8,0,0.01,49
87089.63998198969,85726.50757589084,-1363.1324060988554,89640,5,8,0,0.01,49
86532.23826216673,86430.20547443417,-102.0327877325617,89640,5,8,0,0.01,49
86106.3768157154,84702.45734824873,-1403.919467466665,89640,5,8,0,0.01,49
85775.69737625716,80311.39594520703,-5464.301431050131,89640,5,8,0,0.01,49
85507.90198815211,85439.01143866584,-68.89054948627017,89640,5,8,0,0.01,49
85279.3791434309,85926.89205026241,647.5129068315146,89640,5,8,0,0.01,49
85071.91162182103,85457.90786362329,385.9962418022624,89640,5,8,0,0.01,49
84892.84020209004,86124.44639340982,1231.6061913197773,89640,5,8,0,0.01,49
84741.74980019734,84840.65391783927,98.90411764192686,89640,5,8,0,0.01,49
84609.54123929904,84869.29271650605,259.7514772070135,89640,5,8,0,0.01,49
84503.02385682795,85187.67314197282,684.6492851448711,89640,5,8,0,0.01,49
84411.108912962,84364.35244890724,-46.75646405474981,89640,5,8,0,0.01,49
84334.74282224795,85557.70958975614,1222.9667675081873,89640,5,8,0,0.01,49
84275.24591317704,85125.06901235014,849.8230991730961,89640,5,8,0,0.01,49
84224.05177858782,85517.2510563293,1293.1992777414853,89640,5,8,0,0.01,49
84171.69398012522,85050.62944585377,878.9354657285585,89640,5,8,0,0.01,49
84127.61173569458,84798.623665221,671.0119295264303,89640,5,8,0,0.01,49
84090.17650496814,85335.55435621877,1245.377851250625,89640,5,8,0,0.01,49
84056.4477087824,85048.8927416824,992.4450328999956,89640,5,8,0,0.01,49
84024.74997836651,84461.96575313715,437.2157747706369,89640,5,8,0,0.01,49
83993.97644026701,85141.87417036868,1147.8977301016712,89640,5,8,0,0.01,49
83964.91805850535,84058.79764448552,93.87958598016121,89640,5,8,0,0.01,49
83935.9155408622,78828.84926406697,-5107.066276795231,89640,5,8,0,0.01,49
83908.17542042668,84504.75957882743,596.5841584007576,89640,5,8,0,0.01,49
83882.27356680855,84103.87781074205,221.60424393349967,89640,5,8,0,0.01,49
83858.1724726125,84479.37724178591,621.2047691734188,89640,5,8,0,0.01,49
83834.69581778346,84540.4511745356,705.755356752139,89640,5,8,0,0.01,49
83815.42727469065,85106.94185098504,1291.5145762943866,89640,5,8,0,0.01,49
83798.51833056845,85345.46664157424,1546.9483110057918,89640,5,8,0,0.01,49
83784.50907563165,84187.95228778356,403.44321215190575,89640,5,8,0,0.01,49
83771.2748225181,84501.02099327306,729.7461707549664,89640,5,8,0,0.01,49
83758.34446608287,84503.11938473556,744.7749186526926,89640,5,8,0,0.01,49
83743.99993020142,85026.74531516805,1282.7453849666344,89640,5,8,0,0.01,49
83730.37838770162,84662.47049816964,932.0921104680165,89640,5,8,0,0.01,49
83719.77655392035,84654.23458114985,934.4580272294988,89640,5,8,0,0.01,49
83710.70686954712,84799.89222150024,1089.1853519531142,89640,5,8,0,0.01,49
83702.22682558176,85896.68090581697,2194.454080235213,89640,5,8,0,0.01,49
83694.19014552655,84838.89293231221,1144.7027867856668,89640,5,8,0,0.01,49
83686.99995459411,85076.53100560774,1389.5310510136333,89640,5,8,0,0.01,49
83680.90649925264,84479.41533156535,798.5088323127129,89640,5,8,0,0.01,49
83676.13069605448,85226.70447095971,1550.573774905235,89640,5,8,0,0.01,49
83672.37934687432,84333.87344128008,661.4940944057598,89640,5,8,0,0.01,49
