L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg,t_permutation
9.61985142369123,6.907006835073423,-2.7128445886178074,177147,11,6,0,0.01,10,46.875,0.0,62.5,0.0,0.0,0.0,171.875,593.75
6.880059080795636,6.90855461682761,0.028495536031973856,177147,11,6,0,0.01,10,0.0,0.0,62.5,0.0,0.0,0.0,140.625,0.0
6.878455571882406,6.901138887144566,0.022683315262160164,177147,11,6,0,0.01,10,0.0,0.0,78.125,0.0,0.0,0.0,156.25,0.0
6.877775135940816,6.912228098743037,0.03445296280222099,177147,11,6,0,0.01,10,0.0,0.0,62.5,0.0,0.0,0.0,140.625,0.0
6.877445608287832,6.979023063483584,0.10157745519575201,177147,11,6,0,0.01,10,0.0,0.0,78.125,0.0,0.0,0.0,140.625,0.0
6.877302119300022,6.968021657164027,0.09071953786400577,177147,11,6,0,0.01,10,0.0,0.0,62.5,0.0,0.0,0.0,140.625,0.0
6.877227560828099,6.903305494916118,0.026077934088019283,177147,11,6,0,0.01,10,0.0,0.0,93.75,0.0,0.0,0.0,140.625,0.0
6.87717880902738,6.903775273552666,0.0265964645252863,177147,11,6,0,0.01,10,0.0,0.0,62.5,0.0,0.0,0.0,140.625,0.0
6.877155179339393,6.96698303508828,0.08982785574888652,177147,11,6,0,0.01,10,0.0,0.0,78.125,0.0,0.0,0.0,156.25,0.0
6.877144337427458,6.9859632198361785,0.10881888240872062,177147,11,6,0,0.01,10,0.0,0.0,62.5,0.0,0.0,0.0,140.625,0.0
6.877140024040541,6.980646755759436,0.10350673171889468,177147,11,6,0,0.01,10,0.0,0.0,78.125,0.0,0.0,0.0,140.625,0.0
