L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
4.971184762204289,3.8583801739534502,-1.1128045882508388,100000,3,6,0,0.01,20
3.844144095529627,5.76290564756145,1.9187615520318229,100000,3,6,0,0.01,20
3.840005388839576,4.2149067234051225,0.3749013345655463,100000,3,6,0,0.01,20
3.8374936467695386,4.93360222646879,1.0961085796992514,100000,3,6,0,0.01,20
3.8359580494655146,10.22102886220101,6.385070812735496,100000,3,6,0,0.01,20
3.8348715768366004,5.044420360410405,1.2095487835738048,100000,3,6,0,0.01,20
3.834131096489898,9.321051071544792,5.486919975054894,100000,3,6,0,0.01,20
3.8336591605615373,6.385999563857401,2.5523404032958634,100000,3,6,0,0.01,20
3.8333281369396515,10.575345040972964,6.742016904033313,100000,3,6,0,0.01,20
3.833073042704179,10.286000448651581,6.452927405947403,100000,3,6,0,0.01,20
3.832888771008913,,,100000,3,6,0,0.01,20
3.8327778365521192,5.119517546566936,1.2867397100148166,100000,3,6,0,0.01,20
3.8326860714000075,3.641436241688621,-0.1912498297113867,100000,3,6,0,0.01,20
3.3585420626905256,4.292354912920864,0.9338128502303382,100000,3,6,0,0.01,20
3.2768355406917493,8.729575434041866,5.452739893350117,100000,3,6,0,0.01,20
3.2647546563445347,9.768464158148058,6.503709501803524,100000,3,6,0,0.01,20
3.2633238555543467,9.215069111990815,5.9517452564364675,100000,3,6,0,0.01,20
3.263150161564276,3.2727486028489237,0.009598441284647485,100000,3,6,0,0.01,20
3.263123503676447,15.009502220310768,11.746378716634322,100000,3,6,0,0.01,20
3.2631193971577606,3.2718553611425705,0.008735963984809914,100000,3,6,0,0.01,20
3.263119037877916,3.2711260563160347,0.008007018438118685,100000,3,6,0,0.01,20
