,L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_opt
0,1146757886.2005906,1049373009.7890224,-97384876.41156828,22784,9,4,0,0.01,29,806023244.257517
1,1114505372.3538566,938311030.3937788,-176194341.96007764,22784,9,4,0,0.01,29,806023244.257517
2,1081959876.3531475,958315640.9571536,-123644235.39599408,22784,9,4,0,0.01,29,806023244.257517
3,1057087367.2098708,1144989294.4250424,87901927.21517158,22784,9,4,0,0.01,29,806023244.257517
4,1033797406.3945942,982631714.8441792,-51165691.55041492,22784,9,4,0,0.01,29,806023244.257517
5,1011875214.8041255,1008706681.44562,-3168533.358505726,22784,9,4,0,0.01,29,806023244.257517
6,993308863.938074,950097351.2702266,-43211512.6678474,22784,9,4,0,0.01,29,806023244.257517
7,976247960.4141408,970113138.4312128,-6134821.982928038,22784,9,4,0,0.01,29,806023244.257517
8,960521409.577702,1079962300.1459122,119440890.56821024,22784,9,4,0,0.01,29,806023244.257517
9,949102722.0137331,931531442.9896888,-17571279.024044394,22784,9,4,0,0.01,29,806023244.257517
10,941868448.0097665,1049909630.8965484,108041182.88678215,22784,9,4,0,0.01,29,806023244.257517
11,936621634.3598528,938483129.450732,1861495.090879202,22784,9,4,0,0.01,29,806023244.257517
12,933601939.0610144,1107299987.6045992,173698048.5435847,22784,9,4,0,0.01,29,806023244.257517
13,931527116.840136,956632530.3457668,25105413.50563097,22784,9,4,0,0.01,29,806023244.257517
14,929891488.1766952,938778262.030995,8886773.854299784,22784,9,4,0,0.01,29,806023244.257517
15,927339228.7877126,936556692.0587584,9217463.271045923,22784,9,4,0,0.01,29,806023244.257517
16,926975716.1547408,940296527.5786372,13320811.423896313,22784,9,4,0,0.01,29,806023244.257517
17,926791648.3648664,968811561.5990704,42019913.23420405,22784,9,4,0,0.01,29,806023244.257517
18,926655747.2999818,932785966.5276904,6130219.227708578,22784,9,4,0,0.01,29,806023244.257517
19,926482733.1476512,1040628038.5369036,114145305.38925242,22784,9,4,0,0.01,29,806023244.257517
20,926291759.2161838,946054684.6164168,19762925.40023291,22784,9,4,0,0.01,29,806023244.257517
21,926232698.0078584,930796470.4595284,4563772.451670051,22784,9,4,0,0.01,29,806023244.257517
22,926214353.413726,931604380.1962938,5390026.782567859,22784,9,4,0,0.01,29,806023244.257517
23,926213322.2609804,934527852.4679648,8314530.206984282,22784,9,4,0,0.01,29,806023244.257517
24,926212647.74176,952540158.675144,26327510.933383822,22784,9,4,0,0.01,29,806023244.257517
25,926212433.2209748,931918414.949367,5705981.728392363,22784,9,4,0,0.01,29,806023244.257517
26,926212355.71841,967448900.4348528,41236544.716442704,22784,9,4,0,0.01,29,806023244.257517
27,926212345.5395724,866869623.6391366,-59342721.900435805,22784,9,4,0,0.01,29,806023244.257517
28,926212323.4835083,941208323.4450568,14995999.961548448,22784,9,4,0,0.01,29,806023244.257517
29,926212242.6821504,984211887.9972174,57999645.31506693,22784,9,4,0,0.01,29,806023244.257517
