L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg,t_permutation
25523.800348247605,23313.080222084933,-2210.7201261626724,241600,18,6,0,0.01,8,78.125,15.625,203.125,0.0,0.0,0.0,296.875,109.375
23126.677765653923,24431.49275578676,1304.814990132836,241600,18,6,0,0.01,8,0.0,0.0,187.5,0.0,0.0,0.0,281.25,0.0
23116.480232387323,23261.715794203617,145.23556181629465,241600,18,6,0,0.01,8,0.0,15.625,203.125,0.0,0.0,0.0,296.875,0.0
23113.993972264096,23258.93971288582,144.94574062172615,241600,18,6,0,0.01,8,0.0,15.625,171.875,0.0,0.0,0.0,296.875,0.0
23113.232635531618,23125.42389901958,12.191263487962715,241600,18,6,0,0.01,8,0.0,15.625,203.125,0.0,0.0,0.0,281.25,0.0
23112.998632179864,23122.372127453287,9.373495273423032,241600,18,6,0,0.01,8,0.0,15.625,187.5,0.0,0.0,0.0,281.25,0.0
23112.93500583047,23133.19521758591,20.26021175544156,241600,18,6,0,0.01,8,0.0,15.625,203.125,0.0,0.0,0.0,281.25,0.0
23112.903969441977,23115.669234363,2.7652649210212985,241600,18,6,0,0.01,8,0.0,15.625,187.5,0.0,0.0,0.0,281.25,0.0
23112.89871649757,23121.535166722657,8.636450225087174,241600,18,6,0,0.01,8,0.0,15.625,203.125,0.0,0.0,0.0,281.25,0.0
