L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
1125456858620161.6,251230001318.78473,-1125205628618842.9,104820,7,4,0,0.01,5
249049609787.10165,45777626167403.01,45528576557615.91,104820,7,4,0,0.01,5
249044937634.27097,248707279094.7413,-337658539.5296631,104820,7,4,0,0.01,5
248339472775.63647,45937865385484.56,45689525912708.93,104820,7,4,0,0.01,5
248339012704.2253,45936628620607.19,45688289607902.96,104820,7,4,0,0.01,5
248339012689.0293,248894826666.91425,555813977.8849487,104820,7,4,0,0.01,5
