L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg,t_permutation
1738404361.580138,683781707.7878997,-1054622653.7922382,110527,8,4,0,0.01,17,15.625,0.0,31.25,0.0,0.0,0.0,31.25,15.625
683280820.5564845,682544968.8326741,-735851.7238103151,110527,8,4,0,0.01,17,0.0,15.625,15.625,0.0,0.0,0.0,46.875,0.0
682410797.5062737,685315793.5665997,2904996.06032598,110527,8,4,0,0.01,17,0.0,0.0,31.25,0.0,0.0,0.0,31.25,0.0
682362926.8676062,1103708661.7416406,421345734.8740344,110527,8,4,0,0.01,17,0.0,0.0,31.25,0.0,0.0,0.0,46.875,0.0
682340514.8147602,684356060.0468117,2015545.2320514917,110527,8,4,0,0.01,17,0.0,0.0,31.25,0.0,0.0,0.0,31.25,0.0
682326744.4291967,1083079161.346258,400752416.9170612,110527,8,4,0,0.01,17,0.0,0.0,31.25,0.0,0.0,0.0,46.875,0.0
682317962.5774246,686700393.8335788,4382431.25615418,110527,8,4,0,0.01,17,0.0,0.0,15.625,0.0,0.0,0.0,46.875,0.0
682312885.9012493,1083423195.125194,401110309.2239448,110527,8,4,0,0.01,17,0.0,0.0,31.25,0.0,0.0,0.0,31.25,0.0
682309245.9266922,1173221022.4557087,490911776.5290165,110527,8,4,0,0.01,17,0.0,0.0,31.25,0.0,0.0,0.0,46.875,0.0
682306430.4619814,686730214.0851457,4423783.623164296,110527,8,4,0,0.01,17,0.0,0.0,31.25,0.0,0.0,0.0,31.25,0.0
682304494.787173,1084742706.7357087,402438211.9485357,110527,8,4,0,0.01,17,0.0,0.0,31.25,0.0,0.0,0.0,46.875,0.0
682303118.7576183,1097485581.4596968,415182462.70207846,110527,8,4,0,0.01,17,0.0,0.0,15.625,0.0,0.0,0.0,46.875,0.0
682302130.9851273,686863209.2092308,4561078.224103451,110527,8,4,0,0.01,17,0.0,0.0,31.25,0.0,0.0,0.0,31.25,0.0
682301211.5116899,1057633752.760442,375332541.2487521,110527,8,4,0,0.01,17,0.0,0.0,15.625,0.0,0.0,0.0,46.875,0.0
682300282.7028172,1018614073.1654594,336313790.4626422,110527,8,4,0,0.01,17,0.0,0.0,31.25,0.0,0.0,0.0,31.25,0.0
682299261.2914777,1093978034.5921762,411678773.3006985,110527,8,4,0,0.01,17,0.0,15.625,15.625,0.0,0.0,0.0,46.875,0.0
682298470.0070134,1011057420.2651421,328758950.25812864,110527,8,4,0,0.01,17,0.0,0.0,31.25,0.0,0.0,0.0,31.25,0.0
682297986.190905,1152445932.3117647,470147946.12085974,110527,8,4,0,0.01,17,0.0,0.0,31.25,0.0,0.0,0.0,46.875,0.0
