L_slow,L_fast,L_diff,n,d,k,seed,subsample_size
1.1054744550687141e+18,5.381423387662066e+17,-5.673321163025075e+17,732977,17,4,0,0.01
9.884356128851575e+17,5.381423387662066e+17,-4.502932741189509e+17,732977,17,4,0,0.01
7.33112389655778e+17,5.381423387662066e+17,-1.9497005088957146e+17,732977,17,4,0,0.01
5.821663841925586e+17,5.381423387662066e+17,-4.4024045426352e+16,732977,17,4,0,0.01
5.477945253788039e+17,5.381423387662066e+17,-9652186612597312.0,732977,17,4,0,0.01
5.304911859055396e+17,5.381423387662066e+17,7651152860667008.0,732977,17,4,0,0.01
5.209066271388943e+17,5.381423387662066e+17,1.723571162731232e+16,732977,17,4,0,0.01
5.1254102028484224e+17,5.381423387662066e+17,2.560131848136435e+16,732977,17,4,0,0.01
5.1300264090029216e+17,5.381423387662066e+17,2.513969786591443e+16,732977,17,4,0,0.01
5.1422837762326976e+17,5.381423387662066e+17,2.391396114293683e+16,732977,17,4,0,0.01
5.165508669752295e+17,5.381423387662066e+17,2.159147179097709e+16,732977,17,4,0,0.01
5.191053436691203e+17,5.381423387662066e+17,1.903699509708627e+16,732977,17,4,0,0.01
5.214652120227143e+17,5.381423387662066e+17,1.6677126743492288e+16,732977,17,4,0,0.01
5.248638026224883e+17,5.381423387662066e+17,1.3278536143718272e+16,732977,17,4,0,0.01
5.265586378329385e+17,5.381423387662066e+17,1.1583700933268096e+16,732977,17,4,0,0.01
5.3210846870890566e+17,5.381423387662066e+17,6033870057300928.0,732977,17,4,0,0.01
5.356850513293996e+17,5.381423387662066e+17,2457287436806976.0,732977,17,4,0,0.01
5.395856993644934e+17,5.381423387662066e+17,-1443360598286784.0,732977,17,4,0,0.01
5.431143772972824e+17,5.381423387662066e+17,-4972038531075840.0,732977,17,4,0,0.01
5.445346483372248e+17,5.381423387662066e+17,-6392309571018240.0,732977,17,4,0,0.01
5.4594876703597325e+17,5.381423387662066e+17,-7806428269766656.0,732977,17,4,0,0.01
5.4723696197286803e+17,5.381423387662066e+17,-9094623206661440.0,732977,17,4,0,0.01
5.482639863144772e+17,5.381423387662066e+17,-1.0121647548270592e+16,732977,17,4,0,0.01
5.4869643007637466e+17,5.381423387662066e+17,-1.0554091310168064e+16,732977,17,4,0,0.01
5.466737095917879e+17,5.381423387662066e+17,-8531370825581312.0,732977,17,4,0,0.01
5.378633516106751e+17,5.381423387662066e+17,278987155531520.0,732977,17,4,0,0.01
5.3510147455380704e+17,5.381423387662066e+17,3040864212399552.0,732977,17,4,0,0.01
5.3579377051417715e+17,5.381423387662066e+17,2348568252029440.0,732977,17,4,0,0.01
5.370536046629265e+17,5.381423387662066e+17,1088734103280064.0,732977,17,4,0,0.01
5.376635180126066e+17,5.382807671318775e+17,617249119270912.0,732977,17,4,0,0.01
5.380127078073988e+17,5.382807671318775e+17,268059324478720.0,732977,17,4,0,0.01
5.382509950700834e+17,5.382807671318775e+17,29772061794112.0,732977,17,4,0,0.01
5.383811380096204e+17,5.382807671318775e+17,-100370877742912.0,732977,17,4,0,0.01
5.3845585433269875e+17,5.382807671318775e+17,-175087200821248.0,732977,17,4,0,0.01
5.384944664967543e+17,5.382807671318775e+17,-213699364876800.0,732977,17,4,0,0.01
5.385328241772248e+17,5.382807671318775e+17,-252057045347328.0,732977,17,4,0,0.01
5.3857221726651226e+17,5.382807671318775e+17,-291450134634752.0,732977,17,4,0,0.01
5.3857299066916896e+17,5.382807671318775e+17,-292223537291456.0,732977,17,4,0,0.01
5.3857427889560326e+17,5.382807671318775e+17,-293511763725760.0,732977,17,4,0,0.01
5.3857505141435046e+17,5.382807671318775e+17,-294284282472960.0,732977,17,4,0,0.01
5.385753089199766e+17,5.382807671318775e+17,-294541788099072.0,732977,17,4,0,0.01
5.385753089199766e+17,5.382807671318775e+17,-294541788099072.0,732977,17,4,0,0.01
