L_sketching_resample,L_base,L_sketching,L_opt
3.1202999119228814,5.397068242386619,3.1275540324446256,3.108300375728215
3.1139426113947457,4.424776655112769,3.1186557964070407,3.108300375728215
3.113687371072737,3.748634527860213,3.116866365777811,3.108300375728215
3.1134681127877664,3.332934620427424,3.115916968832233,3.108300375728215
3.113292649010498,3.1755202545338084,3.1154382792898527,3.108300375728215
3.113125503618701,3.130094470928188,3.115197878776132,3.108300375728215
3.112928820932256,3.119163192109379,3.1150685348188114,3.108300375728215
3.112710130097437,3.116371568192288,3.114997376582476,3.108300375728215
3.1125188533341586,3.11556931338284,3.114953901010077,3.108300375728215
3.1123969607523883,3.1153014211422865,3.114917873297286,3.108300375728215
3.1122783124099063,3.1151775772617105,3.114894295582828,3.108300375728215
3.1121606752692066,3.115102939861148,3.114876180859729,3.108300375728215
3.112041680513262,3.115067122182269,3.114862078604504,3.108300375728215
3.111935764407207,3.1150499163903422,3.114847854967844,3.108300375728215
3.1118405670580733,3.11503328250469,3.1148363584860177,3.108300375728215
3.1117543372652987,3.1150142665583083,3.11482499469938,3.108300375728215
3.1116808252440387,3.1150005307540343,3.114808728406818,3.108300375728215
3.111601251458996,3.114990187525261,3.114792220128234,3.108300375728215
3.111510449258858,3.1149808313126512,3.114773153674077,3.108300375728215
3.1114302418673603,3.114972103882095,3.114754383820596,3.108300375728215
3.1113548506210456,3.114962127626552,3.1147374610199576,3.108300375728215
3.1112541206127027,3.1149457802078766,3.11472311581505,3.108300375728215
3.111152379683173,3.11492786614652,3.1147102269939584,3.108300375728215
3.111068050102812,3.114907367263001,3.114703866344842,3.108300375728215
3.111000374899573,3.114892045992496,3.114696292922124,3.108300375728215
3.110932398504465,3.1148758148650413,3.114685587161373,3.108300375728215
3.110847428639405,3.1148501749383124,3.114672774076786,3.108300375728215
3.1107852843188586,3.1148258589064266,3.114659143773641,3.108300375728215
3.11074368582018,3.1148101083669717,3.1146481417540595,3.108300375728215
3.1106994285333283,3.1147971925035334,3.114633525955786,3.108300375728215
3.1106680063547985,3.114784689234953,3.114617946617295,3.108300375728215
3.110644971215583,3.114774147764399,3.114597312632692,3.108300375728215
3.1106309387690496,3.114762281287955,3.1145780295412773,3.108300375728215
3.1106228018144715,3.1147543468699186,3.1145615320636413,3.108300375728215
3.110615762254959,3.114747561563082,3.1145497196359564,3.108300375728215
3.110611309873436,3.114739722621594,3.1145445094804787,3.108300375728215
3.1106057697205265,3.114730172091789,3.1145415489059927,3.108300375728215
3.1106001754102985,3.1147200254553797,,3.108300375728215
3.110592164831183,3.1147086487699043,,3.108300375728215
3.110583055570785,3.1146972233618206,,3.108300375728215
3.110572469635085,3.1146890274097654,,3.108300375728215
3.1105598174845137,3.1146811223452344,,3.108300375728215
3.1105486798099125,3.114672186455503,,3.108300375728215
3.110539931772202,3.114662226398337,,3.108300375728215
3.110532620259108,3.1146483996954157,,3.108300375728215
3.1105247946052645,3.1146348037642224,,3.108300375728215
3.110518092110821,3.114621039426566,,3.108300375728215
3.1105126007539154,3.1146064694841757,,3.108300375728215
3.110508842104836,3.1145941061464777,,3.108300375728215
3.110502995128489,3.114585614840371,,3.108300375728215
