L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling
4802660776.256192,4959032148.102301,156371371.84610844,22784,17,4,0,0.01,22,0.0,0.0,15.625,0.0
4764481646.938571,4653679052.096336,-110802594.84223461,22784,17,4,0,0.01,22,15.625,0.0,15.625,0.0
4606720919.557591,4612080831.795463,5359912.23787117,22784,17,4,0,0.01,22,15.625,0.0,15.625,0.0
4581753448.447788,4603365123.216008,21611674.768219948,22784,17,4,0,0.01,22,15.625,0.0,15.625,0.0
4566685632.554359,4600775128.095156,34089495.54079628,22784,17,4,0,0.01,22,15.625,0.0,31.25,0.0
4550375623.181807,4605457600.697822,55081977.51601505,22784,17,4,0,0.01,22,0.0,0.0,46.875,0.0
4527766994.980828,4597037097.314199,69270102.33337116,22784,17,4,0,0.01,22,15.625,0.0,46.875,0.0
4507400465.687892,4593647936.724896,86247471.03700447,22784,17,4,0,0.01,22,0.0,0.0,31.25,0.0
4481542626.237656,4580357390.363453,98814764.12579727,22784,17,4,0,0.01,22,15.625,0.0,15.625,0.0
4426111087.802269,,,22784,17,4,0,0.01,22,0.0,0.0,31.25,0.0
4234024129.4554033,3811355739.5763545,-422668389.8790488,22784,17,4,0,0.01,22,15.625,0.0,46.875,0.0
3530592869.6119027,3617226787.2813663,86633917.66946363,22784,17,4,0,0.01,22,0.0,0.0,31.25,0.0
3393958922.724859,,,22784,17,4,0,0.01,22,15.625,0.0,31.25,0.0
3177624671.4806175,,,22784,17,4,0,0.01,22,15.625,0.0,31.25,0.0
2973178527.752969,,,22784,17,4,0,0.01,22,15.625,0.0,31.25,0.0
2714766519.4519277,3198944371.173396,484177851.72146845,22784,17,4,0,0.01,22,15.625,0.0,15.625,0.0
2439486264.3438554,,,22784,17,4,0,0.01,22,15.625,0.0,15.625,0.0
2356617729.402643,,,22784,17,4,0,0.01,22,0.0,15.625,46.875,15.625
2173292964.4504566,,,22784,17,4,0,0.01,22,0.0,0.0,15.625,0.0
2170280972.762939,2382801682.912926,212520710.14998722,22784,17,4,0,0.01,22,15.625,0.0,31.25,0.0
2167552486.575549,,,22784,17,4,0,0.01,22,15.625,0.0,31.25,0.0
2165363173.1476226,,,22784,17,4,0,0.01,22,15.625,0.0,15.625,0.0
2164339677.9824376,,,22784,17,4,0,0.01,22,15.625,0.0,31.25,0.0
