L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg,t_permutation
834559847202036.9,,,104820,7,7,0,0.01,10,531.25,0.0,0.0,0.0,0.0,0.0,93.75,625.0
171951786352.7719,,,104820,7,7,0,0.01,10,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
97041326143.80266,,,104820,7,7,0,0.01,10,0.0,0.0,0.0,0.0,0.0,0.0,93.75,0.0
58690919395.27237,,,104820,7,7,0,0.01,10,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
55935294206.4866,,,104820,7,7,0,0.01,10,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
55695243804.36657,32351562825.515884,-23343680978.850685,104820,7,7,0,0.01,10,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
18637628293.06977,,,104820,7,7,0,0.01,10,0.0,0.0,31.25,0.0,0.0,0.0,46.875,0.0
17185694344.286724,,,104820,7,7,0,0.01,10,0.0,15.625,31.25,0.0,0.0,0.0,46.875,0.0
16900297017.305815,,,104820,7,7,0,0.01,10,0.0,15.625,31.25,0.0,0.0,0.0,46.875,0.0
16752720014.139236,,,104820,7,7,0,0.01,10,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
16752714073.695898,,,104820,7,7,0,0.01,10,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
