L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg,t_permutation
100685604834.21053,,,104820,7,9,0,0.01,10,15.625,0.0,46.875,0.0,0.0,0.0,62.5,15.625
60598309767.40023,,,104820,7,9,0,0.01,10,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
56832596001.174995,173019347092.39825,116186751091.22327,104820,7,9,0,0.01,10,0.0,15.625,31.25,0.0,0.0,0.0,62.5,0.0
54955492082.26154,1126179574238537.0,1126124618746454.8,104820,7,9,0,0.01,10,0.0,0.0,31.25,0.0,0.0,0.0,78.125,0.0
54198549303.80195,,,104820,7,9,0,0.01,10,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
54169082196.51535,32259947728.67776,-21909134467.83759,104820,7,9,0,0.01,10,0.0,0.0,62.5,0.0,0.0,0.0,62.5,0.0
18545947829.521885,56472782887.70387,37926835058.18199,104820,7,9,0,0.01,10,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
17093917126.856134,1126178517356293.5,1126161423439166.8,104820,7,9,0,0.01,10,0.0,0.0,46.875,0.0,0.0,0.0,62.5,0.0
16808519722.261477,64272906127.90158,47464386405.64011,104820,7,9,0,0.01,10,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
16660942719.094904,,,104820,7,9,0,0.01,10,0.0,0.0,46.875,0.0,0.0,0.0,62.5,0.0
16660936778.651562,,,104820,7,9,0,0.01,10,0.0,0.0,31.25,0.0,0.0,0.0,62.5,0.0
