L_slow_list,L_fast_list,L_diff_list,n,d,k,seed,subsample_size
1.9949013365689394,1.951936260041916,-0.04296507652702353,100000,3,3,0,0.01
1.9634943095518853,1.951936260041916,-0.011558049509969415,100000,3,3,0,0.01
1.95223466699769,1.951936260041916,-0.0002984069557740998,100000,3,3,0,0.01
1.9487929335806913,1.951936260041916,0.003143326461224616,100000,3,3,0,0.01
1.9478099735090992,1.951936260041916,0.004126286532816659,100000,3,3,0,0.01
1.947564350148256,1.951936260041916,0.0043719098936598755,100000,3,3,0,0.01
1.9474812721950456,1.951936260041916,0.004454987846870262,100000,3,3,0,0.01
1.9474426273588143,1.951936260041916,0.004493632683101545,100000,3,3,0,0.01
1.947426638837534,1.951936260041916,0.0045096212043818085,100000,3,3,0,0.01
1.9474204598991378,1.951936260041916,0.004515800142778081,100000,3,3,0,0.01
1.9474186824118387,1.951936260041916,0.0045175776300772075,100000,3,3,0,0.01
1.9474186824118387,1.951936260041916,0.0045175776300772075,100000,3,3,0,0.01
