L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling
1790618214.7178817,1405378600.8129983,-385239613.9048834,22784,9,3,0,0.01,5,0.0,0.0,0.0,0.0
1309172167.9334204,1254285494.9193459,-54886673.014074564,22784,9,3,0,0.01,5,0.0,0.0,46.875,0.0
1235692198.9866352,1196584735.4781244,-39107463.50851083,22784,9,3,0,0.01,5,15.625,0.0,15.625,0.0
1181657710.1079679,1194884652.399011,13226942.291043043,22784,9,3,0,0.01,5,0.0,0.0,15.625,0.0
1178910753.9115133,1191483169.4593143,12572415.547801018,22784,9,3,0,0.01,5,15.625,0.0,15.625,0.0
1178471431.986923,1193965921.6215186,15494489.634595633,22784,9,3,0,0.01,5,15.625,0.0,15.625,0.0
