L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_sketching_resample_centroids,L_base,L_sketching,L_opt
39409350865130.99,16268482939236.174,-23140867925894.82,138509,14,3,0,0.01,18,16268482939236.174,39409350865130.99,16268482939236.174,13884179187074.217
16028841746763.494,17067348432364.39,1038506685600.8964,138509,14,3,0,0.01,18,16028841746763.494,34475986827720.305,16028841746763.494,13884179187074.217
15717916411653.236,15699445844420.393,-18470567232.84375,138509,14,3,0,0.01,18,15699445844420.393,26577402673229.348,15699445844420.393,13884179187074.217
15029663903962.152,15576161946797.78,546498042835.6289,138509,14,3,0,0.01,18,15029663903962.152,21986029924428.176,15029663903962.152,13884179187074.217
14609658187542.838,14875722538851.918,266064351309.08008,138509,14,3,0,0.01,18,14609658187542.838,19857141454612.9,14609658187542.838,13884179187074.217
14358231409930.104,19579924267316.89,5221692857386.787,138509,14,3,0,0.01,18,14358231409930.104,18946240631417.52,14358231409930.104,13884179187074.217
14204361532375.396,17004233319111.96,2799871786736.5645,138509,14,3,0,0.01,18,14204361532375.396,18264580381897.12,14204361532375.396,13884179187074.217
14065582721851.16,16333729203451.14,2268146481599.9785,138509,14,3,0,0.01,18,14065582721851.16,17637789317831.156,14065582721851.16,13884179187074.217
13982569929973.293,14555247725288.63,572677795315.3379,138509,14,3,0,0.01,18,13982569929973.293,17036313837621.56,13982569929973.293,13884179187074.217
13946482191215.207,15374110013100.066,1427627821884.8574,138509,14,3,0,0.01,18,13946482191215.207,16598544432165.545,13946482191215.207,13884179187074.217
13940409975154.06,15095740312211.389,1155330337057.33,138509,14,3,0,0.01,18,13940409975154.06,16281411216810.95,13940409975154.06,13884179187074.217
13934658166096.717,14839012213612.098,904354047515.3828,138509,14,3,0,0.01,18,13934658166096.717,16040081812830.416,13916205650381.86,13884179187074.217
13914745605569.797,14705550493226.191,790804887656.3965,138509,14,3,0,0.01,18,13914745605569.797,15754518523962.95,13887742973988.629,13884179187074.217
13901225120372.506,15303390027517.725,1402164907145.2168,138509,14,3,0,0.01,18,13901225120372.506,15222120670433.244,13886493771016.562,13884179187074.217
13896295852926.68,25294755209447.223,11398459356520.545,138509,14,3,0,0.01,18,13896295852926.68,14787475965282.545,13886023685963.906,13884179187074.217
13889296707843.0,14269817349766.75,380520641923.75,138509,14,3,0,0.01,18,13889296707843.0,14469343988441.982,13885201875204.9,13884179187074.217
13884770576643.246,14284394006963.164,399623430319.918,138509,14,3,0,0.01,18,13884770576643.246,14255814255200.8,13884349181001.793,13884179187074.217
13884701439987.168,14963524910934.049,1078823470946.8788,138509,14,3,0,0.01,18,13884701439987.168,14120758963851.012,13884281492003.938,13884179187074.217
13884700304907.352,14231058913925.203,346358609017.8516,138509,14,3,0,0.01,18,13884700304907.352,14019237990151.27,13884239261008.4,13884179187074.217
