L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_sketching_resample_centroids,L_base,L_sketching,L_opt
21340961898.453712,5377941482.760407,-15963020415.693306,761940,6,3,0,0.01,9,5377941482.760407,21340961898.453712,5377941482.760407,5377221047.769813
5377623345.763664,5378760409.518866,1137063.7552013395,761940,6,3,0,0.01,9,5377623345.763664,12168542149.591368,5377623345.763664,5377221047.769813
5377445706.861526,5379726126.527697,2280419.666171074,761940,6,3,0,0.01,9,5377445706.861526,8974868456.680052,5377445706.861526,5377221047.769813
5377345816.759765,5378181858.816672,836042.0569076538,761940,6,3,0,0.01,9,5377345816.759765,7374446949.94406,5377345816.759765,5377221047.769813
5377289648.104757,5379508614.304972,2218966.200214386,761940,6,3,0,0.01,9,5377289648.104757,6497239593.725998,5377289648.104757,5377221047.769813
5377258154.51932,5379568595.272107,2310440.75278759,761940,6,3,0,0.01,9,5377258154.51932,6006766793.51658,5377258154.51932,5377221047.769813
5377240385.886502,5382154657.97387,4914272.087368012,761940,6,3,0,0.01,9,5377240385.886502,5731271326.164648,5377240385.886502,5377221047.769813
5377230381.0679865,5380640941.041713,3410559.9737262726,761940,6,3,0,0.01,9,5377230381.0679865,5576366444.053182,5377230381.0679865,5377221047.769813
5377224770.898438,5378457253.862483,1232482.964044571,761940,6,3,0,0.01,9,5377224770.898438,5489238548.852504,5377224770.898438,5377221047.769813
5377221613.29388,5383963332.650172,6741719.356291771,761940,6,3,0,0.01,9,5377221613.29388,5440226367.765674,5377221613.29388,5377221047.769813
