L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling
2.16556321089604,1.6523174004879606,-0.5132458104080793,100000,2,3,0,0.01,2,15.625,0.0,0.0,0.0
1.647889210944434,1.6515339233584974,0.0036447124140635,100000,2,3,0,0.01,2,15.625,0.0,0.0,0.0
1.647552083102194,1.6521811156259718,0.0046290325237778,100000,2,3,0,0.01,2,15.625,0.0,15.625,0.0
1.088395759973759,0.9950819135478952,-0.0933138464258638,100000,2,6,0,0.01,3,0.0,0.0,31.25,0.0
0.98530709247466,0.978346897406996,-0.0069601950676638,100000,2,6,0,0.01,3,0.0,0.0,15.625,0.0
0.975979271589658,0.9809934789913284,0.0050142074016705,100000,2,6,0,0.01,3,15.625,0.0,15.625,0.0
0.97531697599106,0.9761838265877792,0.0008668505967192,100000,2,6,0,0.01,3,0.0,0.0,15.625,0.0
0.790443802531916,0.6982444555279312,-0.0921993470039848,100000,2,9,0,0.01,4,15.625,0.0,15.625,0.0
0.6912421620299012,0.6928088404643246,0.0015666784344233,100000,2,9,0,0.01,4,15.625,0.0,15.625,0.0
0.6894243403686626,0.6905204297420338,0.0010960893733711,100000,2,9,0,0.01,4,0.0,0.0,15.625,0.0
0.6885085409138839,0.6914674302861152,0.0029588893722313,100000,2,9,0,0.01,4,15.625,0.0,15.625,0.0
0.6879250387818452,0.6894614606972934,0.0015364219154482,100000,2,9,0,0.01,4,15.625,0.0,15.625,15.625
4.183992206161254,4.078617843667795,-0.1053743624934595,100000,2,3,0,0.01,2,0.0,0.0,46.875,0.0
4.067333831390373,4.10767361048017,0.0403397790897965,100000,2,3,0,0.01,2,0.0,0.0,15.625,15.625
4.064950397406871,4.06981609364018,0.0048656962333089,100000,2,3,0,0.01,2,0.0,0.0,15.625,0.0
2.0658946990022744,1.872610108914312,-0.1932845900879627,100000,2,6,0,0.01,2,0.0,0.0,15.625,0.0
1.8659924142178508,1.8705352887366464,0.0045428745187956,100000,2,6,0,0.01,2,15.625,0.0,15.625,0.0
1.865025060355843,1.8711305191211016,0.0061054587652586,100000,2,6,0,0.01,2,0.0,0.0,15.625,0.0
1.5570624257241257,1.4372592282665355,-0.1198031974575899,100000,2,9,0,0.01,5,0.0,0.0,15.625,0.0
1.428620163386916,1.430128832908794,0.001508669521878,100000,2,9,0,0.01,5,15.625,0.0,15.625,15.625
1.4259045996790831,1.4237344562004195,-0.0021701434786638,100000,2,9,0,0.01,5,0.0,0.0,15.625,15.625
1.4199586708568692,1.4197035114135972,-0.000255159443272,100000,2,9,0,0.01,5,0.0,15.625,15.625,0.0
1.4175045519918192,1.4223853002000106,0.0048807482081913,100000,2,9,0,0.01,5,15.625,0.0,15.625,0.0
1.4168703110252368,1.424312908591537,0.0074425975663001,100000,2,9,0,0.01,5,15.625,0.0,15.625,0.0
15.56191214686901,10.125138961964389,-5.436773184904622,100000,2,3,0,0.01,1,0.0,0.0,46.875,0.0
10.117761372436398,10.117660469120482,-0.000100903315916,100000,2,3,0,0.01,1,0.0,0.0,15.625,15.625
3.691304275903664,2.65972563815659,-1.031578637747074,100000,2,6,0,0.01,2,0.0,0.0,15.625,0.0
2.6448223072731465,2.6577489864729835,0.012926679199837,100000,2,6,0,0.01,2,0.0,0.0,15.625,0.0
2.643266591298152,2.654332308447997,0.0110657171498451,100000,2,6,0,0.01,2,15.625,0.0,15.625,0.0
2.342843163284876,1.9217965542964512,-0.4210466089884248,100000,2,9,0,0.01,3,0.0,0.0,15.625,0.0
1.914921732541547,1.9176122869317949,0.0026905543902477,100000,2,9,0,0.01,3,15.625,0.0,15.625,15.625
1.9129310690177532,1.91646951968395,0.0035384506661966,100000,2,9,0,0.01,3,0.0,0.0,15.625,0.0
1.911935416218876,1.9143275808867344,0.0023921646678579,100000,2,9,0,0.01,3,0.0,15.625,0.0,15.625
10.348662248674149,5.6376727265603,-4.710989522113849,100000,5,3,0,0.01,2,46.875,15.625,15.625,0.0
5.621182961783477,5.6344824351009,0.0132994733174225,100000,5,3,0,0.01,2,15.625,0.0,31.25,0.0
5.621182927671563,5.625353898926559,0.0041709712549957,100000,5,3,0,0.01,2,15.625,0.0,31.25,0.0
8.59381517823173,4.924578834128157,-3.669236344103572,100000,5,6,0,0.01,2,15.625,0.0,15.625,0.0
4.903030206921621,4.920956035133098,0.0179258282114762,100000,5,6,0,0.01,2,31.25,0.0,31.25,0.0
4.902078161052576,4.904842273894789,0.0027641128422128,100000,5,6,0,0.01,2,31.25,0.0,31.25,15.625
5.844160697371378,4.475735529338431,-1.368425168032947,100000,5,9,0,0.01,2,46.875,0.0,15.625,0.0
4.450758482581721,4.4778617079746965,0.0271032253929757,100000,5,9,0,0.01,2,15.625,0.0,31.25,15.625
4.448032380653332,4.456090913058584,0.0080585324052515,100000,5,9,0,0.01,2,15.625,0.0,15.625,0.0
23.60584264254233,21.756018156434077,-1.849824486108261,100000,5,3,0,0.01,2,15.625,0.0,31.25,0.0
21.71382587912178,21.73201516087721,0.0181892817554292,100000,5,3,0,0.01,2,15.625,0.0,15.625,0.0
21.71330810805149,21.72078807675364,0.0074799687021496,100000,5,3,0,0.01,2,15.625,15.625,15.625,0.0
11.081494119086027,8.101802835125428,-2.9796912839606,100000,5,6,0,0.01,2,15.625,0.0,31.25,0.0
8.069736845598813,8.093251441699252,0.0235145961004388,100000,5,6,0,0.01,2,31.25,0.0,31.25,15.625
8.069031510221953,8.08220122824715,0.0131697180251979,100000,5,6,0,0.01,2,15.625,0.0,15.625,0.0
7.958498168351322,5.356331824594429,-2.6021663437568927,100000,5,9,0,0.01,2,15.625,0.0,31.25,0.0
5.324650796528593,5.3452632853849815,0.0206124888563881,100000,5,9,0,0.01,2,46.875,15.625,15.625,0.0
5.324054586820644,5.333152516686317,0.009097929865673,100000,5,9,0,0.01,2,31.25,0.0,15.625,0.0
36.69294136275298,36.71526248289137,0.0223211201383861,100000,5,3,0,0.01,2,15.625,0.0,15.625,15.625
36.64935682409012,36.66729105722408,0.0179342331339569,100000,5,3,0,0.01,2,15.625,0.0,15.625,15.625
36.649324884096366,36.66798268901506,0.0186578049186962,100000,5,3,0,0.01,2,15.625,0.0,15.625,0.0
25.54586729736093,12.272586015956666,-13.27328128140427,100000,5,6,0,0.01,2,15.625,0.0,15.625,0.0
12.239609097102612,12.259994985388326,0.0203858882857144,100000,5,6,0,0.01,2,15.625,0.0,31.25,0.0
12.239601443716047,12.26337787053516,0.0237764268191131,100000,5,6,0,0.01,2,31.25,0.0,31.25,15.625
18.64374014236346,9.752488824492705,-8.891251317870756,100000,5,9,0,0.01,2,62.5,0.0,31.25,0.0
9.710334622488814,9.737077727022497,0.0267431045336827,100000,5,9,0,0.01,2,15.625,0.0,31.25,0.0
9.709778209393669,9.718715234792615,0.0089370253989482,100000,5,9,0,0.01,2,46.875,0.0,15.625,0.0
5.477441786821048,5.492202660626454,0.0147608738054056,100000,8,3,0,0.01,1,15.625,0.0,15.625,0.0
5.477441786821048,5.482917550939093,0.0054757641180449,100000,8,3,0,0.01,1,31.25,0.0,31.25,0.0
5.163598461964775,5.172498118579918,0.0088996566151431,100000,8,6,0,0.01,2,15.625,0.0,31.25,0.0
5.1550237308430535,5.162439784908921,0.0074160540658674,100000,8,6,0,0.01,2,15.625,0.0,31.25,0.0
5.151292700545879,5.154142929852284,0.0028502293064054,100000,8,6,0,0.01,2,31.25,0.0,31.25,0.0
4.9062617789838425,4.89854946516746,-0.0077123138163823,100000,8,9,0,0.01,2,31.25,0.0,31.25,0.0
4.878801468829187,4.893671178145053,0.0148697093158656,100000,8,9,0,0.01,2,31.25,15.625,31.25,0.0
4.878088416820758,4.884823300330424,0.0067348835096661,100000,8,9,0,0.01,2,46.875,0.0,31.25,0.0
48.447101054150544,48.56377162995939,0.1166705758088468,100000,8,3,0,0.01,1,15.625,0.0,31.25,0.0
48.43023733694496,48.44895653450946,0.0187191975645077,100000,8,3,0,0.01,1,15.625,15.625,0.0,0.0
23.27652466447712,22.742962364496613,-0.5335622999805096,100000,8,6,0,0.01,2,15.625,0.0,31.25,0.0
22.68454202162824,22.711442931967404,0.0269009103391688,100000,8,6,0,0.01,2,31.25,15.625,31.25,0.0
22.683868574839384,22.78019144942528,0.0963228745858941,100000,8,6,0,0.01,2,31.25,15.625,31.25,15.625
6.63440432609887,6.684286435546063,0.0498821094471937,100000,8,9,0,0.01,1,31.25,15.625,31.25,0.0
6.630017984125264,6.641106468941644,0.0110884848163799,100000,8,9,0,0.01,1,31.25,15.625,46.875,0.0
76.18543797637047,76.19431737746727,0.0088794010968058,100000,8,3,0,0.01,2,46.875,0.0,31.25,0.0
76.02502222657743,76.15409620808302,0.1290739815055843,100000,8,3,0,0.01,2,31.25,0.0,31.25,15.625
76.02502222657743,76.05191704142324,0.0268948148458036,100000,8,3,0,0.01,2,15.625,0.0,31.25,0.0
38.63374466908914,38.61935945720906,-0.0143852118800822,100000,8,6,0,0.01,2,0.0,0.0,31.25,0.0
38.527740852331256,38.55938065940675,0.0316398070754928,100000,8,6,0,0.01,2,31.25,0.0,31.25,0.0
38.527740852331256,38.553423158863325,0.0256823065320688,100000,8,6,0,0.01,2,15.625,0.0,31.25,0.0
17.096752326189296,15.682185892413484,-1.4145664337758124,100000,8,9,0,0.01,2,46.875,0.0,31.25,0.0
15.59864894569321,15.634576162296598,0.0359272166033886,100000,8,9,0,0.01,2,46.875,0.0,31.25,0.0
15.597678697000608,15.615966212080297,0.0182875150796881,100000,8,9,0,0.01,2,31.25,15.625,46.875,0.0
2.117771908446563,1.657805883064307,-0.4599660253822561,1000000,2,3,0,0.01,1,62.5,15.625,93.75,46.875
1.6569525164418837,1.6572694179662415,0.0003169015243578,1000000,2,3,0,0.01,1,62.5,15.625,78.125,15.625
1.04804997494748,0.9814631444577968,-0.0665868304896833,1000000,2,6,0,0.01,2,125.0,15.625,93.75,31.25
0.9805192942468512,0.978979100682234,-0.0015401935646173,1000000,2,6,0,0.01,2,93.75,15.625,109.375,15.625
0.9784926432994882,0.978938740626484,0.0004460973269958,1000000,2,6,0,0.01,2,109.375,15.625,93.75,31.25
0.7623156446214215,0.6883452444022866,-0.0739704002191349,1000000,2,9,0,0.01,2,234.375,15.625,140.625,15.625
0.6873189778054135,0.687491806564427,0.0001728287590134,1000000,2,9,0,0.01,2,140.625,15.625,171.875,15.625
0.686998866252048,0.6870326558376371,3.3789585589083515e-05,1000000,2,9,0,0.01,2,140.625,15.625,140.625,31.25
4.433709742582522,4.053397302654559,-0.3803124399279634,1000000,2,3,0,0.01,1,62.5,15.625,62.5,15.625
4.051899781581622,4.051422409780061,-0.0004773718015611,1000000,2,3,0,0.01,1,78.125,15.625,78.125,15.625
2.163847403260148,1.8693719734450496,-0.294475429815098,1000000,2,6,0,0.01,2,109.375,15.625,78.125,31.25
1.866957999546465,1.8667313484793973,-0.0002266510670678,1000000,2,6,0,0.01,2,93.75,0.0,93.75,31.25
1.8663495854884864,1.8668291354672613,0.000479549978775,1000000,2,6,0,0.01,2,93.75,15.625,78.125,15.625
1.5059957150382377,1.4241307640263574,-0.0818649510118803,1000000,2,9,0,0.01,2,203.125,0.0,125.0,15.625
1.4214704492300716,1.4291746496277555,0.0077042003976839,1000000,2,9,0,0.01,2,125.0,15.625,140.625,15.625
1.421122410088613,1.422852244073417,0.0017298339848039,1000000,2,9,0,0.01,2,156.25,0.0,125.0,15.625
19.18332347547773,10.143433350789342,-9.03989012468839,1000000,2,3,0,0.01,1,62.5,15.625,62.5,15.625
10.140977755174346,10.141947731021837,0.0009699758474894,1000000,2,3,0,0.01,1,78.125,0.0,78.125,15.625
7.355456740301792,5.395098118788584,-1.9603586215132085,1000000,2,6,0,0.01,1,125.0,15.625,93.75,15.625
5.392989107299077,5.394326725313095,0.0013376180140181,1000000,2,6,0,0.01,1,109.375,0.0,62.5,15.625
2.1437407268183133,2.109333774141775,-0.0344069526765382,1000000,2,9,0,0.01,2,203.125,0.0,140.625,15.625
2.106357562901144,2.1058882752074224,-0.0004692876937215,1000000,2,9,0,0.01,2,125.0,15.625,125.0,15.625
2.1046450734468003,2.1059086902083224,0.001263616761522,1000000,2,9,0,0.01,2,125.0,15.625,125.0,15.625
5.623881826500706,5.625584125835846,0.0017022993351396,1000000,5,3,0,0.01,1,109.375,31.25,171.875,15.625
5.623537097557966,5.623890749959676,0.00035365240171,1000000,5,3,0,0.01,1,156.25,31.25,171.875,31.25
5.102414051309046,5.0278158588959885,-0.0745981924130578,1000000,5,6,0,0.01,1,203.125,31.25,218.75,15.625
5.025766322328062,5.027036646957467,0.001270324629405,1000000,5,6,0,0.01,1,203.125,31.25,218.75,15.625
4.7437969869217165,4.656763184029765,-0.087033802891951,1000000,5,9,0,0.01,1,250.0,31.25,265.625,15.625
4.654004415920124,4.658937431216901,0.0049330152967774,1000000,5,9,0,0.01,1,265.625,31.25,250.0,15.625
21.742198103525297,21.73677584552285,-0.0054222580024507,1000000,5,3,0,0.01,1,109.375,31.25,156.25,15.625
21.73176629675141,21.732270866071158,0.000504569319748,1000000,5,3,0,0.01,1,140.625,15.625,171.875,15.625
6.2600483570386825,5.512116715338527,-0.7479316417001556,1000000,5,6,0,0.01,1,203.125,31.25,218.75,15.625
5.509221159931494,5.510989397561932,0.0017682376304382,1000000,5,6,0,0.01,1,203.125,31.25,234.375,15.625
5.941718807324209,5.223219433353224,-0.7184993739709853,1000000,5,9,0,0.01,4,296.875,31.25,250.0,15.625
5.218871910122605,5.208924414926607,-0.0099474951959974,1000000,5,9,0,0.01,4,265.625,31.25,328.125,31.25
5.179814806026172,5.172264416525877,-0.0075503895002944,1000000,5,9,0,0.01,4,234.375,31.25,265.625,31.25
5.156384398017723,5.158877347297026,0.0024929492793033,1000000,5,9,0,0.01,4,250.0,31.25,265.625,15.625
5.1539172336272605,5.157206351048645,0.0032891174213842,1000000,5,9,0,0.01,4,265.625,31.25,281.25,15.625
45.25023550072343,37.519647086170025,-7.730588414553402,1000000,5,3,0,0.01,1,109.375,31.25,187.5,31.25
37.50827206713605,37.513245592726925,0.0049735255908771,1000000,5,3,0,0.01,1,140.625,31.25,156.25,15.625
15.133738373161258,14.259793532588484,-0.8739448405727721,1000000,5,6,0,0.01,4,203.125,31.25,234.375,15.625
14.245982436167134,13.315308041428525,-0.9306743947386114,1000000,5,6,0,0.01,4,234.375,31.25,218.75,15.625
12.266028765474926,12.508850601679674,0.2428218362047474,1000000,5,6,0,0.01,4,203.125,31.25,218.75,15.625
12.215843807456965,12.227142758611643,0.0112989511546803,1000000,5,6,0,0.01,4,234.375,15.625,234.375,15.625
12.21551720506545,12.21673173112402,0.0012145260585718,1000000,5,6,0,0.01,4,218.75,31.25,203.125,31.25
8.8119484420563,8.69642662734323,-0.1155218147130696,1000000,5,9,0,0.01,1,281.25,31.25,234.375,31.25
8.69273380071402,8.696387287071515,0.0036534863574946,1000000,5,9,0,0.01,1,265.625,31.25,265.625,15.625
10.789527691906716,5.480909174947076,-5.308618516959639,1000000,8,3,0,0.01,1,125.0,46.875,281.25,15.625
5.479618126414534,5.4802181677097055,0.0006000412951712,1000000,8,3,0,0.01,1,250.0,46.875,265.625,15.625
5.043379318609192,5.025521281379145,-0.0178580372300469,1000000,8,6,0,0.01,1,203.125,62.5,359.375,15.625
5.023782117871446,5.028693003575047,0.0049108857036008,1000000,8,6,0,0.01,1,312.5,78.125,359.375,15.625
4.788654048521671,4.759949002426104,-0.0287050460955669,1000000,8,9,0,0.01,1,343.75,46.875,406.25,31.25
4.757047304567727,4.758632643112409,0.0015853385446824,1000000,8,9,0,0.01,1,390.625,62.5,453.125,31.25
49.909430432825566,48.522893569656816,-1.3865368631687502,1000000,8,3,0,0.01,1,125.0,46.875,250.0,15.625
48.50905543256204,48.51330465510989,0.0042492225478483,1000000,8,3,0,0.01,1,234.375,46.875,265.625,15.625
21.310827529290737,21.310424298787243,-0.000403230503494,1000000,8,6,0,0.01,1,218.75,62.5,343.75,15.625
21.307587390028512,21.310511949881487,0.0029245598529747,1000000,8,6,0,0.01,1,312.5,46.875,312.5,15.625
9.544838890117765,6.648073165634059,-2.8967657244837044,1000000,8,9,0,0.01,1,343.75,46.875,390.625,15.625
6.644405218838763,6.6465578912076655,0.0021526723689024,1000000,8,9,0,0.01,1,375.0,46.875,406.25,31.25
89.78343767961434,83.18981327651487,-6.593624403099469,1000000,8,3,0,0.01,1,125.0,46.875,265.625,15.625
83.17169901562819,83.17882712388794,0.0071281082597494,1000000,8,3,0,0.01,1,218.75,62.5,265.625,15.625
38.57349576442126,36.83652982252245,-1.7369659418988093,1000000,8,6,0,0.01,1,234.375,62.5,328.125,15.625
36.82522061706269,36.829979451610384,0.0047588345476938,1000000,8,6,0,0.01,1,312.5,46.875,343.75,31.25
33.3252396875811,27.761250433123777,-5.563989254457326,1000000,8,9,0,0.01,1,359.375,62.5,359.375,15.625
27.75388486119604,27.75671925768596,0.0028343964899235,1000000,8,9,0,0.01,1,390.625,46.875,421.875,15.625
1.7085160539951951,1.655579150492898,-0.0529369035022972,10000000,2,3,0,0.01,1,687.5,109.375,843.75,187.5
1.655497937638568,1.6555195015599498,2.156392138186192e-05,10000000,2,3,0,0.01,1,750.0,93.75,828.125,187.5
1.0691506319146633,0.9787791356687978,-0.0903714962458654,10000000,2,6,0,0.01,1,1328.125,109.375,1140.625,203.125
0.978704997494805,0.9787292030801842,2.420558537918893e-05,10000000,2,6,0,0.01,1,1046.875,93.75,1062.5,187.5
0.7692669705863818,0.6876574299147464,-0.0816095406716354,10000000,2,9,0,0.01,1,1843.75,109.375,1406.25,187.5
0.6875685497389792,0.6874860789847888,-8.247075419043348e-05,10000000,2,9,0,0.01,1,1328.125,93.75,1406.25,187.5
4.5175762300564095,4.049549666742113,-0.4680265633142966,10000000,2,3,0,0.01,1,687.5,109.375,843.75,203.125
4.0492694950679216,4.049317065771123,4.757070320149381e-05,10000000,2,3,0,0.01,1,750.0,93.75,843.75,203.125
2.3855012215037337,1.866744563185097,-0.5187566583186367,10000000,2,6,0,0.01,1,1281.25,93.75,1125.0,187.5
