L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_sketching_resample_centroids,L_base,L_sketching,L_opt
82549.04798291427,10107.12417755772,-72441.92380535655,241600,15,5,0,0.01,13,10107.12417755772,82549.04798291427,12772.236241816492,10051.765713261613
10070.91102162047,10106.481013978686,35.56999235821604,241600,15,5,0,0.01,13,10070.91102162047,55338.84271185599,10106.4557523329,10051.765713261613
10062.982768863669,10344.101232451949,281.11846358828006,241600,15,5,0,0.01,13,10062.982768863669,46128.13575725028,10053.72841721966,10051.765713261613
10057.876002520285,10229.401245622936,171.5252431026529,241600,15,5,0,0.01,13,10057.876002520285,37217.947014477104,10052.131869602805,10051.765713261613
10054.797499376926,10989.592330001162,934.794830624236,241600,15,5,0,0.01,13,10054.797499376926,33398.361277988624,10051.888640197973,10051.765713261613
10052.996479186177,10554.751105600422,501.75462641424747,241600,15,5,0,0.01,13,10052.996479186177,31163.824122298505,10051.819384896397,10051.765713261613
10052.205409275875,10482.949323817602,430.74391454172655,241600,15,5,0,0.01,13,10052.205409275875,27738.15910961172,10051.78444689532,10051.765713261613
10051.97604154534,10061.180408736367,9.204367191026904,241600,15,5,0,0.01,13,10051.97604154534,22193.72544984953,10051.775214773188,10051.765713261613
10051.8806024249,10282.662993264985,230.7823908400842,241600,15,5,0,0.01,13,10051.8806024249,17153.44847377186,,10051.765713261613
10051.825843639184,10115.83380936296,64.00796572377658,241600,15,5,0,0.01,13,10051.825843639184,14636.570916477149,,10051.765713261613
10051.808584356191,10252.84056889165,201.03198453545883,241600,15,5,0,0.01,13,10051.808584356191,14473.507858958135,,10051.765713261613
10051.795969018922,10705.967178955903,654.1712099369834,241600,15,5,0,0.01,13,10051.795969018922,14383.607461166675,,10051.765713261613
10051.785361380846,10152.121470930468,100.33610954962204,241600,15,5,0,0.01,13,10051.785361380846,14277.82984060069,,10051.765713261613
10051.783894033417,10188.50335292632,136.71945889290328,241600,15,5,0,0.01,13,10051.783894033417,14182.559312320667,,10051.765713261613
