,L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_opt
0,35481049990.89655,16596352818.820292,-18884697172.076263,13932,16,4,0,0.01,49,12634329715.633093
1,25573845079.276,16226592019.344383,-9347253059.931612,13932,16,4,0,0.01,49,12634329715.633093
2,21344226135.958443,15640796632.062347,-5703429503.896095,13932,16,4,0,0.01,49,12634329715.633093
3,19065865339.3564,22073514721.689163,3007649382.3327675,13932,16,4,0,0.01,49,12634329715.633093
4,17552763187.64581,16062879676.072693,-1489883511.5731182,13932,16,4,0,0.01,49,12634329715.633093
5,16337605083.495926,17159600088.888454,821995005.3925285,13932,16,4,0,0.01,49,12634329715.633093
6,15554032710.727392,14018437325.550556,-1535595385.176836,13932,16,4,0,0.01,49,12634329715.633093
7,15046008156.04935,15737772763.575594,691764607.5262432,13932,16,4,0,0.01,49,12634329715.633093
8,14734140874.459185,13679720458.057812,-1054420416.401371,13932,16,4,0,0.01,49,12634329715.633093
9,14524447116.99101,15505005625.612944,980558508.621933,13932,16,4,0,0.01,49,12634329715.633093
10,14316613300.603249,15160259817.754345,843646517.1510944,13932,16,4,0,0.01,49,12634329715.633093
11,14017345171.960823,13334003648.694586,-683341523.2662392,13932,16,4,0,0.01,49,12634329715.633093
12,13738446246.89309,16463186713.747704,2724740466.8546143,13932,16,4,0,0.01,49,12634329715.633093
13,13493923928.186647,15141355991.952044,1647432063.765396,13932,16,4,0,0.01,49,12634329715.633093
14,13279668472.28946,13020656521.820469,-259011950.4689941,13932,16,4,0,0.01,49,12634329715.633093
15,13129005800.027372,13379477799.070288,250471999.0429153,13932,16,4,0,0.01,49,12634329715.633093
16,13008145053.115835,13228221213.709127,220076160.59329224,13932,16,4,0,0.01,49,12634329715.633093
17,12948340144.055746,13183229717.737629,234889573.68188092,13932,16,4,0,0.01,49,12634329715.633093
18,12914799586.849005,14789980791.099388,1875181204.2503836,13932,16,4,0,0.01,49,12634329715.633093
19,12889308581.737192,12841840529.08577,-47468052.6514225,13932,16,4,0,0.01,49,12634329715.633093
20,12840803854.28034,13188158411.167774,347354556.887434,13932,16,4,0,0.01,49,12634329715.633093
21,12811556304.356585,13686621272.860409,875064968.5038261,13932,16,4,0,0.01,49,12634329715.633093
22,12773689719.324345,12833135352.822948,59445633.49860573,13932,16,4,0,0.01,49,12634329715.633093
23,12744921348.97688,13142946941.975763,398025592.9988823,13932,16,4,0,0.01,49,12634329715.633093
24,12720635461.173471,13796323685.78136,1075688224.6078892,13932,16,4,0,0.01,49,12634329715.633093
25,12694652713.668072,12939468824.029884,244816110.3618126,13932,16,4,0,0.01,49,12634329715.633093
26,12684410746.7453,12987457496.004826,303046749.2595253,13932,16,4,0,0.01,49,12634329715.633093
27,12678731908.861977,17410773715.713238,4732041806.851263,13932,16,4,0,0.01,49,12634329715.633093
28,12673010909.002182,13410314944.432411,737304035.4302311,13932,16,4,0,0.01,49,12634329715.633093
29,12665211887.65747,13364002925.901005,698791038.2435322,13932,16,4,0,0.01,49,12634329715.633093
30,12659697182.571056,13074788461.947752,415091279.3766956,13932,16,4,0,0.01,49,12634329715.633093
31,12654109662.330866,13573416015.349957,919306353.0190887,13932,16,4,0,0.01,49,12634329715.633093
32,12650406134.325258,12725191081.164717,74784946.83945847,13932,16,4,0,0.01,49,12634329715.633093
33,12647223479.834742,14802397688.564129,2155174208.7293854,13932,16,4,0,0.01,49,12634329715.633093
34,12644194081.150238,14823655615.560286,2179461534.4100475,13932,16,4,0,0.01,49,12634329715.633093
35,12642611049.25459,14553269643.589075,1910658594.334488,13932,16,4,0,0.01,49,12634329715.633093
36,12640908737.618967,14493504874.567318,1852596136.948351,13932,16,4,0,0.01,49,12634329715.633093
37,12639762449.976145,16522488304.192762,3882725854.21662,13932,16,4,0,0.01,49,12634329715.633093
38,12639114630.30249,13246205541.09572,607090910.79323,13932,16,4,0,0.01,49,12634329715.633093
39,12638589723.504496,13367412370.880558,728822647.3760624,13932,16,4,0,0.01,49,12634329715.633093
40,12637994018.501616,13747768466.47182,1109774447.9702034,13932,16,4,0,0.01,49,12634329715.633093
41,12637102921.148,15194573305.973246,2557470384.825245,13932,16,4,0,0.01,49,12634329715.633093
42,12636327765.551891,13464033919.777315,827706154.2254238,13932,16,4,0,0.01,49,12634329715.633093
43,12636161080.386126,13462602453.068195,826441372.6820717,13932,16,4,0,0.01,49,12634329715.633093
44,12636148887.06436,13128101935.856785,491953048.7924252,13932,16,4,0,0.01,49,12634329715.633093
45,12636127133.112057,15283461351.980988,2647334218.8689327,13932,16,4,0,0.01,49,12634329715.633093
46,12636114789.784563,13358682434.024176,722567644.2396126,13932,16,4,0,0.01,49,12634329715.633093
47,12636109793.399769,13671326524.32772,1035216730.9279536,13932,16,4,0,0.01,49,12634329715.633093
48,12636105213.25983,14308822984.065577,1672717770.805746,13932,16,4,0,0.01,49,12634329715.633093
49,12636091359.753534,13033259350.162804,397167990.4092693,13932,16,4,0,0.01,49,12634329715.633093
