,L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_opt
0,34712289750.691,14789112650.108604,-19923177100.5824,13932,16,5,0,0.01,49,9032416759.303274
1,24990381068.948982,15139689655.101318,-9850691413.847668,13932,16,5,0,0.01,49,9032416759.303274
2,20627135245.371517,13042826117.6981,-7584309127.673412,13932,16,5,0,0.01,49,9032416759.303274
3,18136117820.45049,15567256951.626936,-2568860868.823553,13932,16,5,0,0.01,49,9032416759.303274
4,16431617587.893623,11107233021.89213,-5324384566.001495,13932,16,5,0,0.01,49,9032416759.303274
5,15038328846.009184,14186732704.571177,-851596141.4380093,13932,16,5,0,0.01,49,9032416759.303274
6,14107590551.129845,11788068744.203142,-2319521806.9267006,13932,16,5,0,0.01,49,9032416759.303274
7,13453785206.086668,13620487333.09738,166702127.01071167,13932,16,5,0,0.01,49,9032416759.303274
8,12944426535.318705,9386058429.201422,-3558368106.117283,13932,16,5,0,0.01,49,9032416759.303274
9,12446586483.806004,12601236973.270788,154650489.4647827,13932,16,5,0,0.01,49,9032416759.303274
10,11857317967.53286,13082977174.918337,1225659207.385477,13932,16,5,0,0.01,49,9032416759.303274
11,11219759697.420963,9488680559.12455,-1731079138.296415,13932,16,5,0,0.01,49,9032416759.303274
12,10676396684.638634,13822842958.505608,3146446273.866974,13932,16,5,0,0.01,49,9032416759.303274
13,10311202196.966394,10572027102.18398,260824905.2175846,13932,16,5,0,0.01,49,9032416759.303274
14,10045552341.773975,10198780001.558714,153227659.78473854,13932,16,5,0,0.01,49,9032416759.303274
15,9820964216.431955,9719576414.96248,-101387801.4694748,13932,16,5,0,0.01,49,9032416759.303274
16,9617121135.516966,9993540575.305876,376419439.7889099,13932,16,5,0,0.01,49,9032416759.303274
17,9448680832.438269,9863078437.351303,414397604.9130364,13932,16,5,0,0.01,49,9032416759.303274
18,9335261940.145084,10292758295.505735,957496355.360651,13932,16,5,0,0.01,49,9032416759.303274
19,9274669917.227526,9644277720.819489,369607803.5919609,13932,16,5,0,0.01,49,9032416759.303274
20,9227988696.034355,9653594230.375334,425605534.3409767,13932,16,5,0,0.01,49,9032416759.303274
21,9203125658.525269,9330947033.843346,127821375.31807709,13932,16,5,0,0.01,49,9032416759.303274
22,9186740936.750631,9201472323.326828,14731386.57619667,13932,16,5,0,0.01,49,9032416759.303274
23,9171837489.325523,9654360569.767452,482523080.44192886,13932,16,5,0,0.01,49,9032416759.303274
24,9146010137.766483,10177620706.597946,1031610568.8314627,13932,16,5,0,0.01,49,9032416759.303274
25,9130050921.440577,9741657702.17021,611606780.7296352,13932,16,5,0,0.01,49,9032416759.303274
26,9120778069.515574,9511005291.544802,390227222.0292282,13932,16,5,0,0.01,49,9032416759.303274
27,9115966768.226885,12127157435.425236,3011190667.198353,13932,16,5,0,0.01,49,9032416759.303274
28,9107729362.356647,10376993696.290283,1269264333.9336376,13932,16,5,0,0.01,49,9032416759.303274
29,9086521848.23742,10002185462.293003,915663614.055584,13932,16,5,0,0.01,49,9032416759.303274
30,9079315908.196144,9544568234.382774,465252326.1866303,13932,16,5,0,0.01,49,9032416759.303274
31,9073731222.794909,10421345443.06138,1347614220.2664738,13932,16,5,0,0.01,49,9032416759.303274
32,9070784888.425592,9525489105.027832,454704216.6022396,13932,16,5,0,0.01,49,9032416759.303274
33,9069406432.556524,10913016098.151728,1843609665.5952036,13932,16,5,0,0.01,49,9032416759.303274
34,9063020548.581238,9925043594.003016,862023045.4217796,13932,16,5,0,0.01,49,9032416759.303274
35,9053717354.603151,10518543620.842936,1464826266.239786,13932,16,5,0,0.01,49,9032416759.303274
36,9049920670.272429,11194483953.656836,2144563283.384409,13932,16,5,0,0.01,49,9032416759.303274
37,9048016643.398726,12534482571.384184,3486465927.9854584,13932,16,5,0,0.01,49,9032416759.303274
38,9046636031.784365,9360211474.667477,313575442.88311005,13932,16,5,0,0.01,49,9032416759.303274
39,9045111659.747185,9525538427.616922,480426767.8697376,13932,16,5,0,0.01,49,9032416759.303274
40,9044614415.91692,10373535414.80137,1328920998.884451,13932,16,5,0,0.01,49,9032416759.303274
41,9044309332.518612,11168187927.861135,2123878595.3425252,13932,16,5,0,0.01,49,9032416759.303274
42,9043904730.643484,10303006344.621391,1259101613.977909,13932,16,5,0,0.01,49,9032416759.303274
43,9043660808.403126,9459954567.899382,416293759.4962559,13932,16,5,0,0.01,49,9032416759.303274
44,9043553299.129805,10187681493.86082,1144128194.7310162,13932,16,5,0,0.01,49,9032416759.303274
45,9043493399.292131,12138765801.198015,3095272401.905882,13932,16,5,0,0.01,49,9032416759.303274
46,9043441993.731436,9357615294.590572,314173300.8591366,13932,16,5,0,0.01,49,9032416759.303274
47,9043388708.80612,9481065220.705584,437676511.8994656,13932,16,5,0,0.01,49,9032416759.303274
48,9043337627.407393,10453646948.65445,1410309321.247057,13932,16,5,0,0.01,49,9032416759.303274
49,9043284645.057924,9456062713.847109,412778068.78918266,13932,16,5,0,0.01,49,9032416759.303274
