L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
489.96826983889633,380.4403603753702,-109.52790946352616,531441,12,5,0,0.01,5
380.19637910774134,380.5247314113664,0.3283523036250813,531441,12,5,0,0.01,5
380.18098889085985,380.66527248751896,0.484283596659111,531441,12,5,0,0.01,5
380.17796606614405,381.01774271905293,0.8397766529088813,531441,12,5,0,0.01,5
380.17714286126215,380.7583761169219,0.5812332556597539,531441,12,5,0,0.01,5
380.1768616612762,380.598895328274,0.42203366699783373,531441,12,5,0,0.01,5
