L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg
38338241876861.84,17571559301305.838,-20766682575556.008,138509,14,4,0,0.01,15,359.375,0.0,78.125,0.0,0.0,0.0,125.0
15720270609101.422,16076274553540.402,356003944438.98047,138509,14,4,0,0.01,15,62.5,0.0,62.5,0.0,0.0,0.0,93.75
14941685411084.654,13071051784219.828,-1870633626864.8262,138509,14,4,0,0.01,15,46.875,15.625,62.5,0.0,0.0,0.0,93.75
11838922674868.693,14835438575709.861,2996515900841.168,138509,14,4,0,0.01,15,62.5,0.0,62.5,0.0,0.0,0.0,125.0
11709044613249.924,12343746759995.459,634702146745.5352,138509,14,4,0,0.01,15,46.875,0.0,62.5,0.0,0.0,0.0,109.375
11652207467413.89,12354417333560.047,702209866146.1562,138509,14,4,0,0.01,15,46.875,0.0,46.875,0.0,0.0,15.625,109.375
11616572025410.955,12482011745155.213,865439719744.2578,138509,14,4,0,0.01,15,46.875,15.625,62.5,0.0,0.0,0.0,109.375
11598243717705.857,12463932501117.27,865688783411.4121,138509,14,4,0,0.01,15,46.875,15.625,62.5,0.0,0.0,0.0,93.75
11587813378674.2,12272882016132.559,685068637458.3594,138509,14,4,0,0.01,15,46.875,15.625,62.5,0.0,0.0,0.0,109.375
11581168920649.764,11835203991461.236,254035070811.47266,138509,14,4,0,0.01,15,62.5,0.0,62.5,0.0,0.0,0.0,109.375
11576467398030.857,11726237520561.04,149770122530.18164,138509,14,4,0,0.01,15,46.875,0.0,46.875,0.0,0.0,15.625,109.375
11574323700414.016,12155551720803.756,581228020389.7402,138509,14,4,0,0.01,15,46.875,0.0,46.875,0.0,0.0,0.0,125.0
11573133968869.545,12099590546972.184,526456578102.6387,138509,14,4,0,0.01,15,46.875,0.0,62.5,0.0,0.0,15.625,93.75
11572867362565.936,13338888824732.773,1766021462166.838,138509,14,4,0,0.01,15,46.875,15.625,62.5,0.0,0.0,0.0,93.75
11572824108628.328,11954381247353.877,381557138725.5488,138509,14,4,0,0.01,15,46.875,0.0,78.125,15.625,0.0,0.0,93.75
11572816451098.008,,,138509,14,4,0,0.01,15,46.875,0.0,62.5,0.0,0.0,0.0,109.375
