L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
5.792553394350997,3.139360052464675,-2.653193341886322,100000,3,6,0,0.01,49
3.126489449038937,6.767584165096457,3.6410947160575198,100000,3,6,0,0.01,49
3.122374349123127,4.721219034827623,1.598844685704496,100000,3,6,0,0.01,49
3.120323772402384,5.773738984388136,2.6534152119857524,100000,3,6,0,0.01,49
3.1192931366217254,6.844935964988334,3.7256428283666088,100000,3,6,0,0.01,49
3.118748129613109,4.169719022259311,1.0509708926462014,100000,3,6,0,0.01,49
3.118421455424369,6.971954931597731,3.8535334761733617,100000,3,6,0,0.01,49
3.118231775773733,4.831489870326691,1.713258094552958,100000,3,6,0,0.01,49
3.1181355511507887,5.68830887315245,2.5701733220016614,100000,3,6,0,0.01,49
3.1180681553126086,5.296268091592194,2.178199936279585,100000,3,6,0,0.01,49
3.1180077931260266,5.9169197968066225,2.798912003680596,100000,3,6,0,0.01,49
3.1179504328940566,3.126125987246346,0.00817555435228945,100000,3,6,0,0.01,49
3.117910438022449,3.8069996546262956,0.6890892166038465,100000,3,6,0,0.01,49
3.1178672560890917,4.5824789364085525,1.4646116803194609,100000,3,6,0,0.01,49
3.1178112341138693,3.587417568616795,0.46960633450292555,100000,3,6,0,0.01,49
3.1177551349726635,3.12870248392025,0.010947348947586644,100000,3,6,0,0.01,49
3.117698888476118,6.65373851319138,3.536039624715262,100000,3,6,0,0.01,49
3.1176497453773475,5.66318985788413,2.5455401125067825,100000,3,6,0,0.01,49
3.1176192051030234,4.284422606093046,1.1668034009900228,100000,3,6,0,0.01,49
3.117594732829902,3.1251889105554786,0.0075941777255765786,100000,3,6,0,0.01,49
3.117571138681277,3.1341731217210973,0.0166019830398203,100000,3,6,0,0.01,49
3.1175433089183526,5.572209021380982,2.4546657124626297,100000,3,6,0,0.01,49
3.1175227123376956,7.5872732567991745,4.469750544461479,100000,3,6,0,0.01,49
3.1174972177873337,3.152110295919959,0.034613078132625485,100000,3,6,0,0.01,49
3.1174735889104754,3.1260580035376644,0.008584414627188952,100000,3,6,0,0.01,49
3.11745836760006,7.194164511421109,4.076706143821049,100000,3,6,0,0.01,49
3.1174405863541423,3.5168812528083957,0.39944066645425336,100000,3,6,0,0.01,49
3.1174255233630594,5.172422715433795,2.0549971920707355,100000,3,6,0,0.01,49
3.1174145398745354,5.894957871076609,2.7775433312020734,100000,3,6,0,0.01,49
3.117401318221455,5.5915533374866655,2.4741520192652104,100000,3,6,0,0.01,49
3.117390592207366,3.192899083868519,0.07550849166115281,100000,3,6,0,0.01,49
3.117375858557371,4.209901964357599,1.0925261058002276,100000,3,6,0,0.01,49
3.1173572481607046,6.364353541440048,3.2469962932793432,100000,3,6,0,0.01,49
3.1173327260996877,5.732134588161567,2.614801862061879,100000,3,6,0,0.01,49
3.11730520775606,4.455515296775901,1.338210089019841,100000,3,6,0,0.01,49
3.1172812745928673,3.5181196770620278,0.40083840246916047,100000,3,6,0,0.01,49
3.1172528975457587,3.1676978021335667,0.050444904587807926,100000,3,6,0,0.01,49
3.117231441714204,6.600372531510902,3.483141089796698,100000,3,6,0,0.01,49
3.117212832193035,5.807830787645264,2.690617955452229,100000,3,6,0,0.01,49
3.117198547397735,3.2243159814204123,0.10711743402267748,100000,3,6,0,0.01,49
3.117185866292848,5.124970205593443,2.0077843393005947,100000,3,6,0,0.01,49
3.11716425257409,4.8335407371696455,1.7163764845955556,100000,3,6,0,0.01,49
3.117136226462153,3.8064257875274667,0.6892895610653138,100000,3,6,0,0.01,49
3.117113913453202,7.35617775809085,4.2390638446376485,100000,3,6,0,0.01,49
3.1170875746734197,3.206651861124659,0.08956428645123937,100000,3,6,0,0.01,49
3.117070401686977,3.1599394301229595,0.042869028435982504,100000,3,6,0,0.01,49
3.11705026120549,7.308368331677027,4.191318070471537,100000,3,6,0,0.01,49
3.1170207791170887,5.516640292383439,2.3996195132663503,100000,3,6,0,0.01,49
3.1169803417808737,3.153017324427088,0.036036982646214355,100000,3,6,0,0.01,49
3.116944633474178,3.4035394642339614,0.2865948307597832,100000,3,6,0,0.01,49
