L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg,t_permutation
1522666180.6986787,990948584.8379738,-531717595.8607049,761940,6,7,0,0.01,33,156.25,15.625,234.375,0.0,0.0,0.0,453.125,265.625
989774568.3417732,991468915.0292478,1694346.6874746084,761940,6,7,0,0.01,33,0.0,31.25,250.0,0.0,0.0,0.0,406.25,0.0
989485992.2881835,991490399.5489464,2004407.26076293,761940,6,7,0,0.01,33,0.0,31.25,250.0,0.0,0.0,0.0,406.25,0.0
989355477.2728317,995730001.6771276,6374524.404295921,761940,6,7,0,0.01,33,0.0,15.625,218.75,0.0,0.0,0.0,453.125,0.0
989288701.6991856,989856990.1591783,568288.4599926472,761940,6,7,0,0.01,33,0.0,15.625,234.375,0.0,0.0,0.0,421.875,0.0
989249250.0803581,991459198.5379384,2209948.457580209,761940,6,7,0,0.01,33,0.0,15.625,234.375,0.0,0.0,0.0,421.875,0.0
989222601.3587568,995682675.0999304,6460073.741173625,761940,6,7,0,0.01,33,0.0,15.625,218.75,0.0,0.0,0.0,406.25,0.0
989202556.7692941,992722759.4883972,3520202.719103098,761940,6,7,0,0.01,33,0.0,15.625,234.375,0.0,0.0,0.0,406.25,0.0
989186501.3296909,994504357.0202477,5317855.690556765,761940,6,7,0,0.01,33,0.0,15.625,234.375,0.0,0.0,0.0,421.875,0.0
989173117.954608,999734526.7065507,10561408.751942754,761940,6,7,0,0.01,33,0.0,15.625,250.0,0.0,0.0,0.0,437.5,0.0
989161644.9236217,992295606.0065804,3133961.0829586983,761940,6,7,0,0.01,33,0.0,15.625,234.375,0.0,0.0,0.0,406.25,0.0
989151636.2791686,991398791.4602519,2247155.1810833216,761940,6,7,0,0.01,33,0.0,15.625,234.375,0.0,0.0,0.0,421.875,0.0
989142860.4338133,991733347.9447671,2590487.510953784,761940,6,7,0,0.01,33,0.0,15.625,250.0,0.0,0.0,0.0,421.875,0.0
989135032.1088607,989832770.8200421,697738.7111814022,761940,6,7,0,0.01,33,0.0,15.625,187.5,0.0,0.0,0.0,437.5,0.0
989128077.604388,990972355.7095742,1844278.105186224,761940,6,7,0,0.01,33,0.0,31.25,234.375,0.0,0.0,0.0,421.875,0.0
989121860.7489446,995196075.2078087,6074214.458864093,761940,6,7,0,0.01,33,0.0,15.625,234.375,0.0,0.0,0.0,421.875,0.0
989116281.0648392,992770804.8896759,3654523.8248366117,761940,6,7,0,0.01,33,0.0,31.25,218.75,0.0,0.0,0.0,421.875,0.0
989111269.9604324,990757977.463526,1646707.5030936003,761940,6,7,0,0.01,33,0.0,15.625,234.375,0.0,0.0,0.0,390.625,0.0
989106758.0155494,991323251.1829969,2216493.167447448,761940,6,7,0,0.01,33,0.0,31.25,187.5,0.0,0.0,0.0,421.875,0.0
989102678.1948028,990554467.7551016,1451789.5602988005,761940,6,7,0,0.01,33,0.0,15.625,234.375,0.0,0.0,0.0,390.625,0.0
989099014.853675,992417099.4380298,3318084.5843547583,761940,6,7,0,0.01,33,0.0,15.625,203.125,0.0,0.0,0.0,406.25,0.0
989095692.9709038,991043405.3374773,1947712.3665735722,761940,6,7,0,0.01,33,0.0,15.625,218.75,0.0,0.0,0.0,406.25,0.0
989092683.0565987,990052767.1932578,960084.1366591454,761940,6,7,0,0.01,33,0.0,15.625,234.375,0.0,0.0,0.0,390.625,0.0
989089968.6515639,994688032.3496066,5598063.69804275,761940,6,7,0,0.01,33,0.0,15.625,218.75,0.0,0.0,0.0,406.25,0.0
989087529.8065791,995307947.5088406,6220417.702261448,761940,6,7,0,0.01,33,0.0,15.625,218.75,0.0,0.0,0.0,375.0,0.0
989085326.6046145,996076388.1972398,6991061.59262526,761940,6,7,0,0.01,33,0.0,15.625,218.75,0.0,0.0,0.0,406.25,0.0
989083331.6155081,990167756.8080013,1084425.1924932003,761940,6,7,0,0.01,33,0.0,15.625,203.125,0.0,0.0,0.0,406.25,0.0
989081525.2241317,996693761.6989186,7612236.474786878,761940,6,7,0,0.01,33,0.0,15.625,218.75,0.0,0.0,0.0,406.25,0.0
989079899.8782673,991158402.7947841,2078502.9165167809,761940,6,7,0,0.01,33,0.0,15.625,218.75,0.0,0.0,0.0,406.25,0.0
989078423.3570437,989554353.6500275,475930.29298377037,761940,6,7,0,0.01,33,0.0,15.625,218.75,0.0,0.0,0.0,406.25,0.0
989077100.546996,998614428.7200996,9537328.173103571,761940,6,7,0,0.01,33,0.0,15.625,218.75,0.0,0.0,0.0,390.625,0.0
989075895.4294137,991267935.7262608,2192040.296847105,761940,6,7,0,0.01,33,0.0,15.625,218.75,0.0,0.0,0.0,406.25,0.0
989074829.917714,992380146.1856303,3305316.2679163218,761940,6,7,0,0.01,33,0.0,15.625,218.75,0.0,0.0,0.0,375.0,0.0
989073859.1175811,990937823.1447502,1863964.0271691084,761940,6,7,0,0.01,33,0.0,15.625,203.125,0.0,0.0,0.0,406.25,0.0
