L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_sketching_resample_centroids,L_base,L_sketching,L_opt
1022722612.7674505,683781707.7878997,-338940904.9795507,110527,8,4,0,0.01,21,683781707.7878997,1022722612.7674505,683781762.3955866,671977134.3332214
683280820.5564845,686167527.4929241,2886706.9364396334,110527,8,4,0,0.01,21,683280820.5564845,910397275.1603862,683281015.7589729,671977134.3332214
683218375.5014026,690545239.541727,7326864.04032433,110527,8,4,0,0.01,21,683218375.5014026,849958388.316891,683218708.9676368,671977134.3332214
683170104.1819221,690644979.3581151,7474875.176192999,110527,8,4,0,0.01,21,683170104.1819221,810444720.2934034,683171356.8207678,671977134.3332214
683124624.6840101,685066425.6764257,1941800.9924155476,110527,8,4,0,0.01,21,683124624.6840101,781906236.4434935,683105706.6315742,671977134.3332214
683079558.5209442,684167573.6821591,1088015.1612148285,110527,8,4,0,0.01,21,683079558.5209442,757673191.2915125,682962995.7636687,671977134.3332214
683039265.1757774,687450789.9045213,4411524.728743911,110527,8,4,0,0.01,21,683039265.1757774,735203677.1725732,682917215.108055,671977134.3332214
683001362.800738,687566687.5013373,4565324.700599313,110527,8,4,0,0.01,21,683001362.800738,719055147.5823464,682891220.5730817,671977134.3332214
682977089.0910883,673862636.8394772,-9114452.251611114,110527,8,4,0,0.01,21,673862636.8394772,709070109.3506926,673862639.5613832,671977134.3332214
672475812.4141396,688015708.7791111,15539896.36497152,110527,8,4,0,0.01,21,672475812.4141396,702281097.7808409,672475771.2034887,671977134.3332214
672402065.6287788,674412374.8672612,2010309.238482356,110527,8,4,0,0.01,21,672402065.6287788,697555825.7779456,672401965.0432202,671977134.3332214
672327152.6843677,684246092.5771416,11918939.892773986,110527,8,4,0,0.01,21,672327152.6843677,694720644.6876872,672327048.0579858,671977134.3332214
672255652.5273015,686819864.8087256,14564212.281424046,110527,8,4,0,0.01,21,672255652.5273015,692352347.2447456,672253069.6261276,671977134.3332214
672100059.1616534,685572462.5247788,13472403.363125443,110527,8,4,0,0.01,21,672100059.1616534,690334576.7079718,672097978.9682792,671977134.3332214
672042251.3693562,683928532.2797177,11886280.910361528,110527,8,4,0,0.01,21,672042251.3693562,688587444.4516362,672040274.5772889,671977134.3332214
672012198.4248289,676127452.6008321,4115254.1760032177,110527,8,4,0,0.01,21,672012198.4248289,687430089.3913343,672011011.1696328,671977134.3332214
671997752.1953061,677515791.9440659,5518039.748759866,110527,8,4,0,0.01,21,671997752.1953061,686542420.9194133,671997633.2847087,671977134.3332214
671989040.4474151,687363398.6683725,15374358.220957398,110527,8,4,0,0.01,21,671989040.4474151,685723588.9842844,671988890.3023062,671977134.3332214
671983054.5219592,688662110.4606783,16679055.938719152,110527,8,4,0,0.01,21,671983054.5219592,685018272.6618111,671982909.7033666,671977134.3332214
671979429.3229254,675750435.6368078,3771006.313882351,110527,8,4,0,0.01,21,671979429.3229254,684484261.5877569,671979283.2790269,671977134.3332214
671978276.6817771,688732498.1795387,16754221.497761607,110527,8,4,0,0.01,21,671978276.6817771,684106703.0374298,671978250.477829,671977134.3332214
671977791.3941993,689224810.2599094,17247018.86571014,110527,8,4,0,0.01,21,671977791.3941993,683808637.6416351,671977778.1818379,671977134.3332214
