L_slow,L_fast,L_diff,n,d,k,seed,subsample_size
20.239818539450475,19.966361812636475,-0.27345672681400046,581835,10,4,0,0.01
20.02489158084581,19.968591477480032,-0.0563001033657784,581835,10,4,0,0.01
19.98070922238733,19.968591477480032,-0.012117744907296668,581835,10,4,0,0.01
19.971294710261475,19.968591477480032,-0.002703232781442466,581835,10,4,0,0.01
19.969239204816397,19.968591477480032,-0.0006477273363643121,581835,10,4,0,0.01
19.968699016007022,19.968591477480032,-0.0001075385269899698,581835,10,4,0,0.01
19.968235165489563,19.968591477480032,0.00035631199046903816,581835,10,4,0,0.01
19.967692255266556,19.966361812636475,-0.0013304426300813077,581835,10,4,0,0.01
19.967072160326342,19.968591477480032,0.0015193171536900252,581835,10,4,0,0.01
19.966426947865468,19.968591477480032,0.002164529614564259,581835,10,4,0,0.01
19.96585150039908,19.966361812636475,0.0005103122373952829,581835,10,4,0,0.01
19.965248703059213,19.966361812636475,0.0011131095772611843,581835,10,4,0,0.01
19.964695774596734,19.966361812636475,0.001666038039740414,581835,10,4,0,0.01
19.9641976013782,19.966361812636475,0.0021642112582753725,581835,10,4,0,0.01
19.9637531998627,19.968591477480032,0.004838277617331244,581835,10,4,0,0.01
19.963318831040265,19.968591477480032,0.005272646439767215,581835,10,4,0,0.01
19.962969882553004,19.968591477480032,0.005621594927028184,581835,10,4,0,0.01
19.962687320510582,19.968591477480032,0.005904156969450014,581835,10,4,0,0.01
19.962447429201195,19.968591477480032,0.006144048278837744,581835,10,4,0,0.01
19.962226925851326,19.966361812636475,0.00413488678514895,581835,10,4,0,0.01
19.962008448643747,19.966361812636475,0.004353363992727566,581835,10,4,0,0.01
19.961802335008638,19.966361812636475,0.0045594776278363724,581835,10,4,0,0.01
19.96163832163513,19.966361812636475,0.00472349100134295,581835,10,4,0,0.01
19.961501459005902,19.968591477480032,0.007090018474130488,581835,10,4,0,0.01
19.961405258089002,19.968591477480032,0.0071862193910305905,581835,10,4,0,0.01
19.96128983080667,19.968591477480032,0.007301646673361972,581835,10,4,0,0.01
19.96117964691105,19.968591477480032,0.007411830568983646,581835,10,4,0,0.01
19.96108730746578,19.968591477480032,0.007504170014250633,581835,10,4,0,0.01
19.960982103254494,19.966361812636475,0.005379709381980291,581835,10,4,0,0.01
19.960913167197507,19.966361812636475,0.005448645438967503,581835,10,4,0,0.01
19.96085011913782,19.968591477480032,0.0077413583422121235,581835,10,4,0,0.01
19.96076966881331,19.968591477480032,0.007821808666722774,581835,10,4,0,0.01
19.960706976591236,19.968591477480032,0.007884500888795998,581835,10,4,0,0.01
19.960633381006986,19.968591477480032,0.007958096473046794,581835,10,4,0,0.01
19.96056659313094,19.966361812636475,0.005795219505532856,581835,10,4,0,0.01
19.96049095204635,19.966361812636475,0.005870860590125204,581835,10,4,0,0.01
19.96040246592073,19.96868721405588,0.00828474813515001,581835,10,4,0,0.01
19.960355933846003,19.96613858012879,0.005782646282785464,581835,10,4,0,0.01
19.960288691255215,19.96613858012879,0.005849888873573406,581835,10,4,0,0.01
19.960262513669587,19.96626456737552,0.006002053705934429,581835,10,4,0,0.01
19.96021675188295,19.96626456737552,0.006047815492571829,581835,10,4,0,0.01
19.960173379854197,19.96574641469849,0.005573034844292835,581835,10,4,0,0.01
19.96013402518358,19.96574641469849,0.0056123895149085,581835,10,4,0,0.01
19.960109413624668,19.96574641469849,0.005637001073822034,581835,10,4,0,0.01
19.960101690771662,19.96574641469849,0.005644723926828021,581835,10,4,0,0.01
19.960088047640188,19.96574641469849,0.00565836705830236,581835,10,4,0,0.01
19.9600857115667,19.96574641469849,0.005660703131791678,581835,10,4,0,0.01
19.96008406908781,19.96574641469849,0.005662345610680575,581835,10,4,0,0.01
19.960075527829858,19.96574641469849,0.005670886868632152,581835,10,4,0,0.01
19.960070781692956,19.96574641469849,0.0056756330055343085,581835,10,4,0,0.01
