L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_sketching_resample_centroids,L_base,L_sketching,L_opt
26254978287503.53,12800482696161.553,-13454495591341.982,138509,14,5,0,0.01,18,12800482696161.553,26254978287503.53,12800482696161.553,8495520738178.622
11607401692718.123,10212482033377.604,-1394919659340.5176,138509,14,5,0,0.01,18,10212482033377.604,21738319662005.973,10212482033377.604,8495520738178.622
9231943426045.2,9988354527380.06,756411101334.8594,138509,14,5,0,0.01,18,9231943426045.2,19515423222735.613,9231943426045.2,8495520738178.622
9103166101414.805,12063381788986.725,2960215687571.92,138509,14,5,0,0.01,18,9103166101414.805,18376600692521.01,9103166101414.805,8495520738178.622
9065499422829.713,9902231309689.758,836731886860.0449,138509,14,5,0,0.01,18,9065499422829.713,17466714577710.545,9065499422829.713,8495520738178.622
9033602330909.965,9507484894854.674,473882563944.709,138509,14,5,0,0.01,18,9033602330909.965,16626763341019.15,9033602330909.965,8495520738178.622
9008313717456.871,13153397064876.607,4145083347419.7344,138509,14,5,0,0.01,18,9008313717456.871,15965065135311.416,9008313717456.871,8495520738178.622
8981128946190.918,11581405333010.496,2600276386819.578,138509,14,5,0,0.01,18,8981128946190.918,15416765071339.98,8981128946190.918,8495520738178.622
8955825154695.818,9616060348046.97,660235193351.1523,138509,14,5,0,0.01,18,8955825154695.818,14916072357548.402,8955825154695.818,8495520738178.622
8936405142932.496,10973205031360.18,2036799888427.684,138509,14,5,0,0.01,18,8936405142932.496,13912523165428.592,8871942284439.488,8495520738178.622
8926877272224.174,9931980806516.56,1005103534292.3848,138509,14,5,0,0.01,18,8926877272224.174,13037192019503.045,8845370042128.924,8495520738178.622
8921766527714.512,9515306371486.434,593539843771.9219,138509,14,5,0,0.01,18,8921766527714.512,12418287364578.63,8836660564999.21,8495520738178.622
8918464913018.686,10176210169361.918,1257745256343.2324,138509,14,5,0,0.01,18,8918464913018.686,11998797247840.885,8832438450247.72,8495520738178.622
8917330719784.941,9529953590007.691,612622870222.75,138509,14,5,0,0.01,18,8917330719784.941,11648906557235.877,8831773492556.797,8495520738178.622
8916793923216.633,10433377781751.46,1516583858534.828,138509,14,5,0,0.01,18,8916793923216.633,11430581863551.916,8831657317265.125,8495520738178.622
8916488419870.018,9814048211059.1,897559791189.082,138509,14,5,0,0.01,18,8916488419870.018,11288223499126.834,8831562647690.998,8495520738178.622
8916365047966.447,10034046282517.805,1117681234551.3574,138509,14,5,0,0.01,18,8916365047966.447,11166742052424.652,8831530577570.043,8495520738178.622
8916329356431.682,10613521910055.846,1697192553624.164,138509,14,5,0,0.01,18,8916329356431.682,11075514411852.955,8831526546511.367,8495520738178.622
8916327573007.55,9808589658057.828,892262085050.2773,138509,14,5,0,0.01,18,8916327573007.55,11003394462995.018,,8495520738178.622
