L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_sketching_resample_centroids,L_base,L_sketching,L_opt
1428.0103156083665,740.9064534167318,-687.1038621916347,531441,12,3,0,0.01,10,740.9064534167318,1428.0103156083665,740.9064534167318,740.450712671823
740.5313082190268,740.8270144434912,0.2957062244644248,531441,12,3,0,0.01,10,740.5313082190268,1070.7372703584867,740.5313082190268,740.450712671823
740.4969753853435,740.7166831280717,0.2197077427282465,531441,12,3,0,0.01,10,740.4969753853435,829.3818199954982,740.4969753853435,740.450712671823
740.4771285585323,740.9222888476912,0.4451602891589346,531441,12,3,0,0.01,10,740.4771285585323,765.6758012469361,740.4771285585323,740.450712671823
740.4667457509057,741.2082127580213,0.7414670071156024,531441,12,3,0,0.01,10,740.4667457509057,756.8546300434076,740.4667457509057,740.450712671823
740.460651446873,740.8755944689069,0.4149430220338672,531441,12,3,0,0.01,10,740.460651446873,755.0691772361351,740.460651446873,740.450712671823
740.4568943481961,740.9677067949169,0.5108124467208199,531441,12,3,0,0.01,10,740.4568943481961,754.4040529253598,740.4568943481961,740.450712671823
740.4546753161336,751.6248400236979,11.170164707564254,531441,12,3,0,0.01,10,740.4546753161336,754.0165867534706,740.4546753161336,740.450712671823
740.4531320757487,740.6315464878907,0.1784144121419331,531441,12,3,0,0.01,10,740.4531320757487,753.7192244997692,740.4531320757487,740.450712671823
740.4520277775315,741.0184266708469,0.5663988933154087,531441,12,3,0,0.01,10,740.4520277775315,753.4675019165874,740.4520277775315,740.450712671823
740.4513779731782,740.8951376592757,0.4437596860975645,531441,12,3,0,0.01,10,740.4513779731782,753.2504412037314,740.4513779731782,740.450712671823
