,L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_opt
0,2.202695218710192,1.7654686122845686,-0.4372266064256229,10000,2,3,0,0.01,9,1.6724726946269024
1,2.10618997542822,1.718478461040008,-0.3877115143882117,10000,2,3,0,0.01,9,1.6724726946269024
2,1.9986150758354635,1.718478461040008,-0.2801366147954554,10000,2,3,0,0.01,9,1.6724726946269024
3,1.8841729019504156,1.718478461040008,-0.1656944409104075,10000,2,3,0,0.01,9,1.6724726946269024
4,1.7818576224480112,1.718478461040008,-0.0633791614080032,10000,2,3,0,0.01,9,1.6724726946269024
5,1.7173797946262437,1.718478461040008,0.0010986664137644,10000,2,3,0,0.01,9,1.6724726946269024
6,1.690759924565192,1.718478461040008,0.0277185364748158,10000,2,3,0,0.01,9,1.6724726946269024
7,1.6799571591302032,1.718478461040008,0.0385213019098047,10000,2,3,0,0.01,9,1.6724726946269024
8,1.6752527699231858,1.705745417410872,0.030492647487686,10000,2,3,0,0.01,9,1.6724726946269024
9,1.6736747383240982,1.7042664109442007,0.0305916726201025,10000,2,3,0,0.01,9,1.6724726946269024
