L_slow,L_fast,L_diff,n,d,k,seed,subsample_size
2.2026952187101916,1.7210081455718949,-0.48168707313829673,10000,2,3,0,0.01
2.1061899754282196,1.7210081455718949,-0.38518182985632476,10000,2,3,0,0.01
1.9986150758354633,1.7210081455718949,-0.2776069302635684,10000,2,3,0,0.01
1.8841729019504154,1.7210081455718949,-0.16316475637852057,10000,2,3,0,0.01
1.7818576224480112,1.7210081455718949,-0.060849476876116304,10000,2,3,0,0.01
1.7173797946262435,1.7210081455718949,0.003628350945651393,10000,2,3,0,0.01
1.690759924565192,1.7210081455718949,0.03024822100670277,10000,2,3,0,0.01
1.6799571591302032,1.7210081455718949,0.041050986441691695,10000,2,3,0,0.01
1.6752527699231858,1.7210081455718949,0.04575537564870902,10000,2,3,0,0.01
1.6736747383240982,1.7210081455718949,0.047333407247796666,10000,2,3,0,0.01
1.6729254106039917,1.7210081455718949,0.04808273496790316,10000,2,3,0,0.01
1.672574539700713,1.7210081455718949,0.04843360587118184,10000,2,3,0,0.01
1.6724995644105838,1.7210081455718949,0.04850858116131107,10000,2,3,0,0.01
1.67248592480269,1.7210081455718949,0.04852222076920487,10000,2,3,0,0.01
1.6724786707798711,1.7210081455718949,0.04852947479202374,10000,2,3,0,0.01
1.6724734371152676,1.7210081455718949,0.04853470845662722,10000,2,3,0,0.01
1.672472709436102,1.7210081455718949,0.04853543613579281,10000,2,3,0,0.01
1.672472709436102,1.7210081455718949,0.04853543613579281,10000,2,3,0,0.01
