L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg,t_permutation
33998121113142.477,8371407230046.182,-25626713883096.297,138509,14,9,0,0.01,44,46.875,15.625,109.375,0.0,0.0,0.0,171.875,46.875
7591868455808.782,8484081855353.903,892213399545.1211,138509,14,9,0,0.01,44,0.0,0.0,109.375,0.0,0.0,0.0,171.875,0.0
7140156516501.962,8404096040688.998,1263939524187.0361,138509,14,9,0,0.01,44,0.0,0.0,109.375,0.0,0.0,0.0,187.5,0.0
6858677788475.052,7778407449149.686,919729660674.6338,138509,14,9,0,0.01,44,0.0,0.0,109.375,0.0,0.0,0.0,156.25,0.0
6654142337691.948,6618745917904.525,-35396419787.42285,138509,14,9,0,0.01,44,0.0,15.625,93.75,0.0,0.0,0.0,187.5,0.0
6207715940606.286,6683918842612.573,476202902006.2871,138509,14,9,0,0.01,44,0.0,0.0,109.375,0.0,0.0,0.0,171.875,0.0
5783014722132.302,6484054059401.07,701039337268.7686,138509,14,9,0,0.01,44,0.0,0.0,109.375,0.0,0.0,0.0,171.875,0.0
5471525760592.58,6408412549703.424,936886789110.8438,138509,14,9,0,0.01,44,0.0,0.0,93.75,0.0,0.0,0.0,171.875,0.0
5212898841414.365,,,138509,14,9,0,0.01,44,0.0,15.625,93.75,0.0,0.0,0.0,171.875,0.0
4943631235648.113,5330641785068.963,387010549420.8496,138509,14,9,0,0.01,44,0.0,0.0,125.0,0.0,0.0,0.0,156.25,0.0
4824664708214.15,5108028578468.961,283363870254.81055,138509,14,9,0,0.01,44,0.0,0.0,109.375,0.0,0.0,0.0,171.875,0.0
4738093035721.827,5013545995344.464,275452959622.6367,138509,14,9,0,0.01,44,0.0,0.0,109.375,0.0,0.0,0.0,187.5,0.0
4665384747947.08,4830135319043.49,164750571096.41016,138509,14,9,0,0.01,44,0.0,0.0,93.75,0.0,0.0,0.0,171.875,0.0
4611998255932.64,4700801143894.848,88802887962.20801,138509,14,9,0,0.01,44,0.0,15.625,109.375,0.0,0.0,0.0,171.875,0.0
4523919641618.601,4633860501803.578,109940860184.97754,138509,14,9,0,0.01,44,0.0,0.0,109.375,0.0,0.0,0.0,187.5,0.0
4423123395690.961,5103713520131.166,680590124440.2051,138509,14,9,0,0.01,44,0.0,0.0,109.375,0.0,0.0,0.0,171.875,0.0
4367045113602.3057,,,138509,14,9,0,0.01,44,0.0,0.0,109.375,0.0,0.0,0.0,156.25,0.0
4331126837704.801,,,138509,14,9,0,0.01,44,0.0,15.625,109.375,0.0,0.0,0.0,171.875,0.0
4305355840546.573,,,138509,14,9,0,0.01,44,0.0,0.0,93.75,0.0,0.0,0.0,171.875,0.0
4287261911235.328,,,138509,14,9,0,0.01,44,0.0,15.625,109.375,0.0,0.0,0.0,171.875,0.0
4276736681073.7017,,,138509,14,9,0,0.01,44,0.0,0.0,109.375,0.0,0.0,0.0,156.25,0.0
4267771963471.1987,,,138509,14,9,0,0.01,44,0.0,15.625,93.75,0.0,0.0,0.0,187.5,0.0
4257492275985.2915,,,138509,14,9,0,0.01,44,0.0,0.0,109.375,0.0,0.0,0.0,171.875,0.0
4249545989904.699,4273865344672.8833,24319354768.184082,138509,14,9,0,0.01,44,0.0,15.625,93.75,0.0,0.0,0.0,171.875,0.0
4236272956278.7754,,,138509,14,9,0,0.01,44,0.0,0.0,109.375,0.0,0.0,0.0,171.875,0.0
4226566361044.4507,,,138509,14,9,0,0.01,44,0.0,15.625,93.75,0.0,0.0,0.0,156.25,0.0
4218809156574.459,,,138509,14,9,0,0.01,44,0.0,15.625,93.75,0.0,0.0,0.0,171.875,0.0
