L_slow,L_fast,L_diff,n,d,k,seed,subsample_size
38337462015254.805,11258291861216.67,-27079170154038.133,138509,14,5,0,0.01
31622254522124.96,11258291861216.67,-20363962660908.29,138509,14,5,0,0.01
24075608985135.883,11258291861216.67,-12817317123919.213,138509,14,5,0,0.01
19474364227500.566,11258291861216.67,-8216072366283.896,138509,14,5,0,0.01
17426414044840.771,11258291861216.67,-6168122183624.102,138509,14,5,0,0.01
16129259901215.504,11258291861216.67,-4870968039998.834,138509,14,5,0,0.01
15125882896253.855,11258291861216.67,-3867591035037.1855,138509,14,5,0,0.01
14364794593265.129,11258291861216.67,-3106502732048.459,138509,14,5,0,0.01
13611126021083.035,11258291861216.67,-2352834159866.365,138509,14,5,0,0.01
12385841442329.748,11258291861216.67,-1127549581113.0781,138509,14,5,0,0.01
11508309645139.182,11258291861216.67,-250017783922.51172,138509,14,5,0,0.01
10913639317444.082,10506416407454.934,-407222909989.14844,138509,14,5,0,0.01
10405897107234.865,10021163072791.121,-384734034443.74414,138509,14,5,0,0.01
10021226094416.611,10021163072791.121,-63021625.490234375,138509,14,5,0,0.01
9751862584802.254,10021163072791.121,269300487988.8672,138509,14,5,0,0.01
9579676467414.287,10021163072791.121,441486605376.834,138509,14,5,0,0.01
9401922459929.375,10021163072791.121,619240612861.7461,138509,14,5,0,0.01
9205598766495.414,10021163072791.121,815564306295.707,138509,14,5,0,0.01
9091111401502.65,10021163072791.121,930051671288.4707,138509,14,5,0,0.01
8996082915458.996,10021163072791.121,1025080157332.125,138509,14,5,0,0.01
8947149860349.7,10021163072791.121,1074013212441.4219,138509,14,5,0,0.01
8923082754945.465,10021163072791.121,1098080317845.6562,138509,14,5,0,0.01
8909583549818.295,10021163072791.121,1111579522972.8262,138509,14,5,0,0.01
8898717835624.02,10021163072791.121,1122445237167.1016,138509,14,5,0,0.01
8890428526210.658,10021163072791.121,1130734546580.463,138509,14,5,0,0.01
8883034681785.701,10021163072791.121,1138128391005.42,138509,14,5,0,0.01
8875033817132.842,10021163072791.121,1146129255658.2793,138509,14,5,0,0.01
8866104459696.062,10021163072791.121,1155058613095.0586,138509,14,5,0,0.01
8858685479669.102,10021163072791.121,1162477593122.0195,138509,14,5,0,0.01
8850100597063.691,10021163072791.121,1171062475727.4297,138509,14,5,0,0.01
8845416960957.973,10021163072791.121,1175746111833.1484,138509,14,5,0,0.01
8842340859307.572,9907507820870.975,1065166961563.4023,138509,14,5,0,0.01
8840502268132.238,9907507820870.975,1067005552738.7363,138509,14,5,0,0.01
8839193017182.816,9907507820870.975,1068314803688.1582,138509,14,5,0,0.01
8838609857349.385,9907507820870.975,1068897963521.5898,138509,14,5,0,0.01
8838356870587.63,9907507820870.975,1069150950283.3438,138509,14,5,0,0.01
8837986072935.594,9907507820870.975,1069521747935.3809,138509,14,5,0,0.01
8837661028584.17,9907507820870.975,1069846792286.8047,138509,14,5,0,0.01
8836540250533.91,9907507820870.975,1070967570337.0645,138509,14,5,0,0.01
8836114880293.273,9907507820870.975,1071392940577.7012,138509,14,5,0,0.01
8836077381603.844,9907507820870.975,1071430439267.1309,138509,14,5,0,0.01
8836035066237.68,9907507820870.975,1071472754633.2949,138509,14,5,0,0.01
8836023726412.84,9907507820870.975,1071484094458.1348,138509,14,5,0,0.01
8836012460745.197,9907507820870.975,1071495360125.7773,138509,14,5,0,0.01
8836011459300.984,9907507820870.975,1071496361569.9902,138509,14,5,0,0.01
8836011459300.984,9907507820870.975,1071496361569.9902,138509,14,5,0,0.01
