L_slow_list,L_fast_list,L_diff_list,n,d,k,seed,subsample_size
2.1187443634916474,1.8269028795279623,-0.29184148396368514,100000,3,6,0,0.01
1.8794418323037185,1.8241960633905614,-0.055245768913157134,100000,3,6,0,0.01
1.8286163288516835,1.8241960633905614,-0.004420265461122064,100000,3,6,0,0.01
1.8237866632730586,1.8250388021399462,0.0012521388668875755,100000,3,6,0,0.01
1.822522356524844,1.8250388021399462,0.002516445615102114,100000,3,6,0,0.01
1.8220556046818495,1.8250388021399462,0.00298319745809672,100000,3,6,0,0.01
1.8218579673195934,1.8250388021399462,0.003180834820352807,100000,3,6,0,0.01
1.8217988264939038,1.8250862256363878,0.0032873991424839932,100000,3,6,0,0.01
1.8217437425490748,1.8241960633905614,0.0024523208414866104,100000,3,6,0,0.01
1.8216989399533587,1.8250388021399462,0.003339862186587439,100000,3,6,0,0.01
1.821659154249274,1.8240479427509295,0.002388788501655581,100000,3,6,0,0.01
1.8216190295593426,1.8248208755206947,0.00320184596135209,100000,3,6,0,0.01
1.8216286627635923,1.8247283155396723,0.003099652776080042,100000,3,6,0,0.01
1.8216461665133188,1.8252169467576482,0.003570780244329441,100000,3,6,0,0.01
1.8217345260046847,1.8252169467576482,0.0034824207529635665,100000,3,6,0,0.01
1.8219469308311322,1.8252169467576482,0.00327001592651599,100000,3,6,0,0.01
1.8221669185714182,1.8252169467576482,0.003050028186230014,100000,3,6,0,0.01
1.822531664424358,1.8269084614669173,0.004376797042559222,100000,3,6,0,0.01
1.8229433903071954,1.6434145857654419,-0.17952880454175357,100000,3,6,0,0.01
1.823427441045213,1.6434145857654419,-0.18001285527977107,100000,3,6,0,0.01
1.8236601130499712,1.6434145857654419,-0.18024552728452936,100000,3,6,0,0.01
1.822096249085928,1.6434145857654419,-0.17868166332048618,100000,3,6,0,0.01
1.8126462620432657,1.6434145857654419,-0.16923167627782387,100000,3,6,0,0.01
1.7746899074987972,1.6434145857654419,-0.13127532173335532,100000,3,6,0,0.01
1.7021470662060787,1.6434145857654419,-0.058732480440636836,100000,3,6,0,0.01
1.6536133535419337,1.6434145857654419,-0.010198767776491868,100000,3,6,0,0.01
1.6409472994030903,1.6434145857654419,0.002467286362351606,100000,3,6,0,0.01
1.6386884192655546,1.6434145857654419,0.004726166499887219,100000,3,6,0,0.01
1.6383236184258265,1.6434145857654419,0.005090967339615338,100000,3,6,0,0.01
1.6382883618660413,1.6434145857654419,0.005126223899400539,100000,3,6,0,0.01
1.6383025561218851,1.6434145857654419,0.005112029643556726,100000,3,6,0,0.01
1.638312530174202,1.643440286378864,0.005127756204661882,100000,3,6,0,0.01
1.6383217055177846,1.643440286378864,0.005118580861079414,100000,3,6,0,0.01
1.638324851520935,1.643440286378864,0.00511543485792898,100000,3,6,0,0.01
1.6383256018033012,1.643440286378864,0.005114684575562745,100000,3,6,0,0.01
1.6383251011143922,1.643440286378864,0.005115185264471744,100000,3,6,0,0.01
1.6383239630280455,1.643440286378864,0.005116323350818464,100000,3,6,0,0.01
1.6383221716394905,1.643440286378864,0.005118114739373514,100000,3,6,0,0.01
1.6383213569409982,1.643440286378864,0.005118929437865738,100000,3,6,0,0.01
1.6383200269547813,1.643440286378864,0.005120259424082674,100000,3,6,0,0.01
1.6383199466951226,1.643440286378864,0.005120339683741371,100000,3,6,0,0.01
1.6383197740807267,1.643440286378864,0.005120512298137259,100000,3,6,0,0.01
1.6383196748663544,1.643440286378864,0.005120611512509532,100000,3,6,0,0.01
1.638319567558361,1.643440286378864,0.005120718820502912,100000,3,6,0,0.01
1.638319372257646,1.643440286378864,0.0051209141212180675,100000,3,6,0,0.01
1.6383185150679638,1.643440286378864,0.005121771310900192,100000,3,6,0,0.01
1.6383182466449402,1.643440286378864,0.005122039733923778,100000,3,6,0,0.01
1.6383180467906466,1.643440286378864,0.005122239588217337,100000,3,6,0,0.01
1.6383179043968847,1.643440286378864,0.005122381981979229,100000,3,6,0,0.01
1.6383178774735991,1.643440286378864,0.00512240890526483,100000,3,6,0,0.01
