L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg,t_permutation
190208.36027056808,46068.53787849876,-144139.82239206933,241600,18,4,0,0.01,15,46.875,15.625,140.625,0.0,0.0,0.0,234.375,93.75
45910.28337284428,46067.71420769787,157.4308348535924,241600,18,4,0,0.01,15,0.0,0.0,171.875,0.0,0.0,0.0,218.75,0.0
45897.89482240539,46582.11361636187,684.2187939564828,241600,18,4,0,0.01,15,0.0,15.625,156.25,0.0,0.0,0.0,234.375,0.0
45893.876482308806,80807.51418963422,34913.63770732542,241600,18,4,0,0.01,15,0.0,15.625,140.625,0.0,0.0,0.0,187.5,0.0
45891.882406765086,46357.558683524694,465.6762767596083,241600,18,4,0,0.01,15,0.0,0.0,171.875,0.0,0.0,0.0,234.375,0.0
45890.4863521786,45980.6709977289,90.18464555029641,241600,18,4,0,0.01,15,0.0,15.625,156.25,0.0,0.0,0.0,218.75,0.0
45889.598230407624,45916.39067755501,26.792447147388884,241600,18,4,0,0.01,15,0.0,15.625,171.875,0.0,0.0,0.0,218.75,0.0
45889.06240020399,45890.55912817715,1.496727973157249,241600,18,4,0,0.01,15,0.0,15.625,140.625,0.0,0.0,0.0,250.0,0.0
45888.6311426629,45900.243628257034,11.612485594130703,241600,18,4,0,0.01,15,0.0,15.625,156.25,0.0,0.0,0.0,218.75,0.0
45888.38752315203,45890.24549700802,1.8579738559928956,241600,18,4,0,0.01,15,0.0,15.625,171.875,0.0,0.0,0.0,187.5,0.0
45888.23443397738,45891.68636477759,3.451930800212722,241600,18,4,0,0.01,15,0.0,15.625,156.25,0.0,0.0,0.0,203.125,0.0
45888.09061674244,45949.598491172364,61.507874429924414,241600,18,4,0,0.01,15,0.0,15.625,171.875,0.0,0.0,0.0,234.375,0.0
45887.9732920339,45892.358499821974,4.385207788072876,241600,18,4,0,0.01,15,0.0,0.0,171.875,0.0,0.0,0.0,218.75,0.0
45887.888245696144,45893.02445835803,5.136212661884201,241600,18,4,0,0.01,15,0.0,15.625,156.25,0.0,0.0,0.0,218.75,0.0
45887.81442582203,45888.809953669515,0.9955278474881197,241600,18,4,0,0.01,15,0.0,15.625,156.25,0.0,0.0,0.0,234.375,0.0
45887.7721710807,45888.87060824167,1.0984371609665686,241600,18,4,0,0.01,15,0.0,15.625,140.625,0.0,0.0,0.0,250.0,0.0
