L_sketching_resample,L_base,L_sketching,L_opt
3.1521281041991727,3.203057872385616,3.1421173127747197,3.113486845382017
3.1264962151112785,3.1321169424679054,3.1216792782966616,3.113486845382017
3.1159523744517803,3.127870607603201,3.1198055677477066,3.113486845382017
3.1146539589572955,3.1267803825196165,3.1192322674381296,3.113486845382017
3.1142275719737347,3.126256841211553,3.118885362600923,3.113486845382017
3.1140380316610208,3.125952558950434,3.118586938741448,3.113486845382017
3.113918069249974,3.125750127561287,3.1183105405840053,3.113486845382017
3.1138425510970813,3.125595932244387,3.1180440926624184,3.113486845382017
3.113793056849871,3.125492580378291,3.1178284443125124,3.113486845382017
3.113754928620931,3.1254283433538133,3.1176785373526656,3.113486845382017
3.113735218454249,3.12537498141213,3.1175522661790933,3.113486845382017
3.113717890579389,3.1253201697040094,3.1174412265111138,3.113486845382017
3.113698043897936,3.125279838865038,3.1173493380901007,3.113486845382017
3.113670129194288,3.125248478359617,3.11727838555215,3.113486845382017
3.1136403086794147,3.125225087757883,3.1172312805803424,3.113486845382017
3.113621316666011,3.1252074191374466,3.117186859043941,3.113486845382017
3.11360627652326,3.1251953898707026,3.1171435644739174,3.113486845382017
3.1135809488541923,3.125185722131194,3.11709677164854,3.113486845382017
3.113562328105134,3.125175919015296,3.1170564249116484,3.113486845382017
3.113553433598067,3.1251662718726707,3.1170137509446665,3.113486845382017
3.1135472728119944,3.125159632578677,3.1169779759639527,3.113486845382017
3.113539151589531,3.1251543720338657,3.116945132814466,3.113486845382017
3.1135288087031787,3.1251482169060694,3.116908437405373,3.113486845382017
3.1135217477430666,3.1251430377895373,3.116875660838765,3.113486845382017
3.113515560984222,3.1251396074690927,3.116844011076343,3.113486845382017
3.11351037996371,3.1251367104846683,3.1168122171878325,3.113486845382017
3.113503921971854,,3.116791579007392,3.113486845382017
3.113497144373269,,3.1167792483188927,3.113486845382017
3.113492722760627,,3.1167708567218564,3.113486845382017
3.113490418278298,,3.116763439147575,3.113486845382017
