L_sketching_resample,L_base,L_sketching,L_opt
1.7654686122845686,2.011952770228138,1.7654686122845686,1.1545807638443006
1.6978186805420354,1.8737563011144955,1.6978186805420354,1.1545807638443006
1.683081542692858,1.7737033160873097,1.683081542692858,1.1545807638443006
1.6770186022821345,1.7207243743877143,1.6770186022821345,1.1545807638443006
1.6740915080516272,1.692954062002504,1.6740915080516272,1.1545807638443006
1.6731034348158853,1.681469683687867,1.6731034348158853,1.1545807638443006
1.6727267911946226,1.676222313292987,1.6727267911946226,1.1545807638443006
1.672556555885741,1.673893860071139,1.672556555885741,1.1545807638443006
1.6725091181534824,1.6730352201611698,1.6725091181534824,1.1545807638443006
1.6724887685240584,1.6727342892377888,1.6724887685240584,1.1545807638443006
1.6724771242211431,1.6725646028935992,1.6724771242211431,1.1545807638443006
1.6724738311319507,1.6725104726778206,1.6724738311319507,1.1545807638443006
1.672473144375821,1.6724902831750332,1.672473144375821,1.1545807638443006
