L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
13.000525374520002,9.500743040597795,-3.499782333922207,177147,11,3,0,0.01,14
9.481902409888088,9.51667359422827,0.03477118434018145,177147,11,3,0,0.01,14
9.479530610657724,9.51588207827907,0.03635146762134589,177147,11,3,0,0.01,14
9.477817161815302,9.49157298687754,0.013755825062236937,177147,11,3,0,0.01,14
9.476378750457274,9.45304434638835,-0.023334404068924286,177147,11,3,0,0.01,14
9.44003900638121,9.451537809367528,0.011498802986317003,177147,11,3,0,0.01,14
9.438450038997047,9.448502254694757,0.01005221569771031,177147,11,3,0,0.01,14
9.437732234869557,9.470885813434954,0.03315357856539691,177147,11,3,0,0.01,14
9.43736539977908,9.454232427198432,0.016867027419351643,177147,11,3,0,0.01,14
9.437195790810954,9.459451138621056,0.022255347810101966,177147,11,3,0,0.01,14
9.437108849200671,9.460416383459714,0.023307534259043194,177147,11,3,0,0.01,14
9.437062325311022,9.470487675636246,0.0334253503252242,177147,11,3,0,0.01,14
9.437035742447161,9.450068651817041,0.013032909369879775,177147,11,3,0,0.01,14
9.437021495019765,9.463163935339198,0.02614244031943258,177147,11,3,0,0.01,14
9.437015791775313,9.451320690489723,0.014304898714410541,177147,11,3,0,0.01,14
