L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
4.255133430472125,4.062194480404472,-0.19293895006765371,100000,3,4,0,0.01,20
4.055583913403962,4.079718201689273,0.02413428828531128,100000,3,4,0,0.01,20
4.055387770128858,4.064599432448577,0.009211662319718705,100000,3,4,0,0.01,20
4.055313451227448,4.06832208713962,0.01300863591217194,100000,3,4,0,0.01,20
4.05526601944024,4.06065271098837,0.005386691548129541,100000,3,4,0,0.01,20
4.055239639579022,4.068366978852481,0.013127339273458993,100000,3,4,0,0.01,20
4.055219470085031,4.066058058948378,0.010838588863347098,100000,3,4,0,0.01,20
4.055200836704558,4.082374838744767,0.027174002040208478,100000,3,4,0,0.01,20
4.055188411818212,4.0657319016738915,0.010543489855679766,100000,3,4,0,0.01,20
4.05518058913391,4.072350652612363,0.017170063478453734,100000,3,4,0,0.01,20
4.055169898792693,4.074902895406829,0.01973299661413641,100000,3,4,0,0.01,20
4.0551585179460705,4.07515703572808,0.01999851778200945,100000,3,4,0,0.01,20
4.055149810826334,4.080655054490839,0.025505243664504462,100000,3,4,0,0.01,20
4.055138990767678,4.071878717501475,0.016739726733796978,100000,3,4,0,0.01,20
4.055131953460319,4.083212384723942,0.02808043126362314,100000,3,4,0,0.01,20
4.055123373101846,4.065236826721815,0.010113453619968737,100000,3,4,0,0.01,20
4.055113763458045,4.064680700740993,0.009566937282948551,100000,3,4,0,0.01,20
4.055104090223895,4.067449512824164,0.012345422600269274,100000,3,4,0,0.01,20
4.055096459427998,4.079420531905919,0.024324072477921455,100000,3,4,0,0.01,20
4.055089274662274,4.082155748227949,0.027066473565675153,100000,3,4,0,0.01,20
4.055085415800648,4.067695100200793,0.012609684400144872,100000,3,4,0,0.01,20
