,L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,L_opt
0,8.070636703043975,8.074365792680355,0.0037290896363799,40768,11,4,0,0.01,36,7.986383060116763
1,8.00319606644957,8.161736635495519,0.1585405690459485,40768,11,4,0,0.01,36,7.986383060116763
2,7.99678573947169,8.069922048035991,0.073136308564301,40768,11,4,0,0.01,36,7.986383060116763
3,7.993988172808246,8.134156249680384,0.140168076872138,40768,11,4,0,0.01,36,7.986383060116763
4,7.992223702550799,8.053043882964928,0.0608201804141295,40768,11,4,0,0.01,36,7.986383060116763
5,7.990850997268941,8.190770561923419,0.1999195646544773,40768,11,4,0,0.01,36,7.986383060116763
6,7.989887638419289,8.04173412027786,0.0518464818585711,40768,11,4,0,0.01,36,7.986383060116763
7,7.989032218570099,8.052139938102343,0.063107719532244,40768,11,4,0,0.01,36,7.986383060116763
8,7.988285192721799,8.06584654333338,0.0775613506115817,40768,11,4,0,0.01,36,7.986383060116763
9,7.987760339421221,8.061743296896251,0.0739829574750299,40768,11,4,0,0.01,36,7.986383060116763
10,7.987362237601205,8.061823874933344,0.0744616373321394,40768,11,4,0,0.01,36,7.986383060116763
11,7.9870917234189,8.057513615074546,0.0704218916556458,40768,11,4,0,0.01,36,7.986383060116763
12,7.986900434438112,8.044250758665621,0.0573503242275093,40768,11,4,0,0.01,36,7.986383060116763
13,7.986770994559241,8.068228886745423,0.0814578921861821,40768,11,4,0,0.01,36,7.986383060116763
14,7.986694352461075,8.051933664801906,0.0652393123408305,40768,11,4,0,0.01,36,7.986383060116763
15,7.986615534416416,8.04476581529445,0.0581502808780349,40768,11,4,0,0.01,36,7.986383060116763
16,7.986558971525977,8.092723337927604,0.1061643664016269,40768,11,4,0,0.01,36,7.986383060116763
17,7.986510801247766,8.082291820510443,0.0957810192626773,40768,11,4,0,0.01,36,7.986383060116763
18,7.986474343881533,8.074423533478429,0.0879491895968955,40768,11,4,0,0.01,36,7.986383060116763
19,7.986446784116495,8.044997991384337,0.0585512072678415,40768,11,4,0,0.01,36,7.986383060116763
20,7.986425109650938,8.253509716749111,0.2670846070981731,40768,11,4,0,0.01,36,7.986383060116763
21,7.986416300719741,8.101326554871752,0.1149102541520115,40768,11,4,0,0.01,36,7.986383060116763
22,7.986412732250116,8.061232682259167,0.0748199500090507,40768,11,4,0,0.01,36,7.986383060116763
23,7.9864103061557055,8.097720843665137,0.1113105375094312,40768,11,4,0,0.01,36,7.986383060116763
24,7.986408478515388,8.071671673741982,0.0852631952265934,40768,11,4,0,0.01,36,7.986383060116763
25,7.986406352978005,8.063952898306805,0.0775465453288006,40768,11,4,0,0.01,36,7.986383060116763
26,7.986403888867578,8.106048975418165,0.1196450865505873,40768,11,4,0,0.01,36,7.986383060116763
27,7.98640239314232,8.07340357162445,0.0870011784821302,40768,11,4,0,0.01,36,7.986383060116763
28,7.986400893817353,8.084186560665348,0.0977856668479946,40768,11,4,0,0.01,36,7.986383060116763
29,7.986399657670558,8.070764506428798,0.0843648487582404,40768,11,4,0,0.01,36,7.986383060116763
30,7.9863970685270305,8.0767914967939,0.0903944282668698,40768,11,4,0,0.01,36,7.986383060116763
31,7.986392188313932,8.070000488197126,0.0836082998831937,40768,11,4,0,0.01,36,7.986383060116763
32,7.986388413894985,8.03865808440281,0.0522696705078251,40768,11,4,0,0.01,36,7.986383060116763
33,7.986387930082031,8.074776784831801,0.0883888547497706,40768,11,4,0,0.01,36,7.986383060116763
34,7.986387865403419,8.060295428924388,0.0739075635209687,40768,11,4,0,0.01,36,7.986383060116763
35,7.986387752005218,8.060292485141465,0.0739047331362474,40768,11,4,0,0.01,36,7.986383060116763
36,7.986387699692442,8.092918418794216,0.1065307191017739,40768,11,4,0,0.01,36,7.986383060116763
