n_datapoints,n_features,n_clusters,t_A_median,t_A_min,t_A_max,t_B_median,t_B_min,t_B_max,median_cluster_size,min_cluster_size,max_cluster_size
110527.0,8.0,12.0,46875000.0,15625000.0,78125000.0,0.0,0.0,15625000.0,9210.583333333334,1084.0,14663.0
110527.0,8.0,13.0,46875000.0,31250000.0,62500000.0,0.0,0.0,15625000.0,8502.076923076924,1084.0,13524.0
110527.0,8.0,14.0,46875000.0,46875000.0,78125000.0,0.0,0.0,15625000.0,7894.785714285715,1084.0,12172.0
111753.0,9.0,3.0,15625000.0,0.0,62500000.0,0.0,0.0,0.0,37251.0,25295.0,56211.0
111753.0,9.0,4.0,0.0,0.0,31250000.0,0.0,0.0,46875000.0,27938.25,13259.0,56211.0
111753.0,9.0,5.0,31250000.0,0.0,46875000.0,0.0,0.0,15625000.0,22350.6,70.0,30247.0
111753.0,9.0,6.0,31250000.0,0.0,46875000.0,0.0,0.0,15625000.0,18625.5,70.0,28587.0
111753.0,9.0,7.0,31250000.0,0.0,62500000.0,0.0,0.0,15625000.0,15964.714285714286,4572.0,28540.0
111753.0,9.0,8.0,46875000.0,0.0,62500000.0,0.0,0.0,15625000.0,13969.125,70.0,30247.0
111753.0,9.0,9.0,46875000.0,0.0,78125000.0,0.0,0.0,15625000.0,12417.0,70.0,28561.0
111753.0,9.0,10.0,46875000.0,0.0,78125000.0,0.0,0.0,15625000.0,11175.3,69.0,30247.0
111753.0,9.0,11.0,46875000.0,0.0,78125000.0,0.0,0.0,15625000.0,10159.363636363636,70.0,28587.0
111753.0,9.0,12.0,62500000.0,0.0,109375000.0,0.0,0.0,15625000.0,9312.75,64.0,30247.0
111753.0,9.0,13.0,46875000.0,0.0,78125000.0,0.0,0.0,46875000.0,8596.384615384615,69.0,28355.0
111753.0,9.0,14.0,62500000.0,31250000.0,62500000.0,0.0,0.0,15625000.0,7982.357142857143,64.0,27721.0
581835.0,10.0,3.0,140625000.0,62500000.0,156250000.0,15625000.0,0.0,15625000.0,193945.0,123563.0,232820.0
581835.0,10.0,4.0,156250000.0,93750000.0,218750000.0,15625000.0,0.0,15625000.0,145458.75,39276.0,217845.0
581835.0,10.0,5.0,203125000.0,109375000.0,296875000.0,15625000.0,0.0,46875000.0,116367.0,31344.0,199822.0
581835.0,10.0,6.0,218750000.0,187500000.0,296875000.0,15625000.0,0.0,31250000.0,96972.5,28146.0,122388.0
581835.0,10.0,7.0,234375000.0,156250000.0,265625000.0,15625000.0,0.0,15625000.0,83119.28571428571,23952.0,111142.0
581835.0,10.0,8.0,250000000.0,171875000.0,328125000.0,15625000.0,0.0,31250000.0,72729.375,9560.0,102584.0
581835.0,10.0,9.0,281250000.0,171875000.0,390625000.0,15625000.0,0.0,31250000.0,64648.333333333336,21649.0,108344.0
581835.0,10.0,10.0,343750000.0,218750000.0,468750000.0,15625000.0,0.0,46875000.0,58183.5,8810.0,81494.0
581835.0,10.0,11.0,343750000.0,250000000.0,500000000.0,15625000.0,0.0,46875000.0,52894.09090909091,8770.0,81472.0
581835.0,10.0,12.0,359375000.0,281250000.0,468750000.0,15625000.0,0.0,46875000.0,48486.25,8685.0,81515.0
581835.0,10.0,13.0,390625000.0,343750000.0,468750000.0,15625000.0,0.0,46875000.0,44756.53846153846,7289.0,60220.0
581835.0,10.0,14.0,375000000.0,359375000.0,500000000.0,15625000.0,0.0,31250000.0,41559.642857142855,5595.0,67324.0
177147.0,11.0,3.0,46875000.0,15625000.0,62500000.0,0.0,0.0,15625000.0,59049.0,36431.0,78168.0
177147.0,11.0,4.0,46875000.0,0.0,78125000.0,0.0,0.0,15625000.0,44286.75,33010.0,55423.0
