n_datapoints,n_features,n_clusters,t_A_median,t_A_min,t_A_max,t_B_median,t_B_min,t_B_max,median_cluster_size,min_cluster_size,max_cluster_size
8192.0,9.0,54.0,15.625,15.625,46.875,0.0,0.0,0.0,151.7037037037037,115.0,188.0
8192.0,9.0,55.0,15.625,0.0,31.25,0.0,0.0,15.625,148.94545454545454,107.0,187.0
8192.0,9.0,56.0,15.625,0.0,46.875,0.0,0.0,15.625,146.28571428571428,115.0,181.0
8192.0,9.0,57.0,15.625,0.0,46.875,0.0,0.0,15.625,143.71929824561403,112.0,203.0
8192.0,9.0,58.0,15.625,15.625,46.875,0.0,0.0,15.625,141.24137931034483,116.0,181.0
8192.0,9.0,59.0,15.625,15.625,46.875,0.0,0.0,15.625,138.84745762711864,105.0,171.0
8192.0,9.0,60.0,15.625,0.0,31.25,0.0,0.0,15.625,136.53333333333333,104.0,167.0
8192.0,9.0,61.0,15.625,15.625,31.25,0.0,0.0,15.625,134.29508196721312,102.0,183.0
8192.0,9.0,62.0,15.625,0.0,46.875,0.0,0.0,15.625,132.1290322580645,96.0,159.0
8192.0,9.0,63.0,15.625,15.625,31.25,0.0,0.0,15.625,130.03174603174602,95.0,172.0
8192.0,9.0,64.0,15.625,15.625,31.25,0.0,0.0,0.0,128.0,95.0,177.0
8192.0,9.0,65.0,15.625,0.0,46.875,0.0,0.0,0.0,126.03076923076924,84.0,156.0
8192.0,9.0,66.0,15.625,15.625,46.875,0.0,0.0,15.625,124.12121212121212,98.0,155.0
8192.0,9.0,67.0,15.625,15.625,31.25,0.0,0.0,15.625,122.26865671641791,98.0,151.0
8192.0,9.0,68.0,15.625,15.625,46.875,0.0,0.0,0.0,120.47058823529412,88.0,147.0
8192.0,9.0,69.0,15.625,15.625,46.875,0.0,0.0,31.25,118.72463768115942,84.0,149.0
8192.0,9.0,70.0,15.625,0.0,46.875,0.0,0.0,0.0,117.02857142857142,88.0,145.0
8192.0,9.0,71.0,15.625,0.0,46.875,0.0,0.0,15.625,115.38028169014085,79.0,155.0
8192.0,9.0,72.0,15.625,0.0,46.875,0.0,0.0,15.625,113.77777777777777,88.0,141.0
8192.0,9.0,73.0,15.625,0.0,46.875,0.0,0.0,15.625,112.21917808219177,75.0,139.0
8192.0,9.0,74.0,31.25,15.625,46.875,0.0,0.0,15.625,110.70270270270271,79.0,140.0
8192.0,9.0,75.0,31.25,0.0,46.875,0.0,0.0,46.875,109.22666666666667,82.0,136.0
8192.0,9.0,76.0,31.25,15.625,46.875,0.0,0.0,15.625,107.78947368421052,79.0,151.0
8192.0,9.0,77.0,31.25,15.625,46.875,0.0,0.0,15.625,106.3896103896104,78.0,128.0
8192.0,9.0,78.0,31.25,15.625,46.875,0.0,0.0,15.625,105.02564102564102,72.0,150.0
8192.0,9.0,79.0,31.25,15.625,46.875,0.0,0.0,15.625,103.69620253164557,71.0,128.0
8192.0,9.0,80.0,31.25,0.0,46.875,0.0,0.0,15.625,102.4,73.0,132.0
8192.0,9.0,81.0,15.625,15.625,46.875,0.0,0.0,15.625,101.1358024691358,72.0,128.0
8192.0,9.0,82.0,31.25,0.0,62.5,0.0,0.0,15.625,99.90243902439025,72.0,137.0
8192.0,9.0,83.0,15.625,0.0,46.875,0.0,0.0,15.625,98.6987951807229,77.0,136.0
8192.0,9.0,84.0,15.625,15.625,31.25,0.0,0.0,0.0,97.52380952380952,64.0,129.0
8192.0,9.0,85.0,15.625,0.0,46.875,0.0,0.0,15.625,96.37647058823529,73.0,116.0
8192.0,9.0,86.0,15.625,15.625,31.25,0.0,0.0,0.0,95.25581395348837,64.0,131.0
8192.0,9.0,87.0,15.625,15.625,31.25,0.0,0.0,15.625,94.16091954022988,72.0,132.0
8192.0,9.0,88.0,23.4375,15.625,31.25,0.0,0.0,0.0,93.0909090909091,71.0,120.0
8192.0,9.0,89.0,31.25,15.625,31.25,0.0,0.0,0.0,92.04494382022472,63.0,117.0
8192.0,9.0,90.0,31.25,15.625,31.25,0.0,0.0,0.0,91.02222222222223,66.0,121.0
8192.0,9.0,91.0,15.625,15.625,31.25,0.0,0.0,15.625,90.02197802197803,63.0,122.0
8192.0,9.0,92.0,31.25,15.625,31.25,0.0,0.0,15.625,89.04347826086956,67.0,113.0
8192.0,9.0,93.0,31.25,15.625,46.875,0.0,0.0,15.625,88.08602150537635,63.0,113.0
8192.0,9.0,94.0,31.25,15.625,31.25,0.0,0.0,0.0,87.14893617021276,63.0,111.0
8192.0,9.0,95.0,31.25,15.625,31.25,0.0,0.0,0.0,86.23157894736842,64.0,113.0
8192.0,9.0,96.0,31.25,15.625,31.25,0.0,0.0,15.625,85.33333333333333,64.0,115.0
8192.0,9.0,97.0,31.25,0.0,31.25,0.0,0.0,15.625,84.45360824742268,54.0,116.0
8192.0,9.0,98.0,31.25,15.625,31.25,0.0,0.0,15.625,83.59183673469387,54.0,110.0
8192.0,9.0,99.0,31.25,15.625,31.25,0.0,0.0,0.0,82.74747474747475,52.0,106.0
