n_datapoints,n_features,n_clusters,t_A_avg,t_A_min,t_A_max,t_B_avg,t_B_min,t_B_max,avg_cluster_size,min_cluster_size,max_cluster_size,t_speculation_avg,t_speculation_min,t_speculation_max,t_correction_avg,t_correction_min,t_correction_max
20648.0,4.0,3.0,0.005889980689339016,0.0,0.015685081481933594,0.0011168096376501996,0.0,0.015627384185791016,6882.666666666667,383.0,16698.0,0.0008876531020454738,0.0,0.015622854232788086,0.0010526750398718793,0.0,0.015623092651367188
20648.0,4.0,4.0,0.005410839871662419,0.0,0.0166933536529541,0.00248736288489365,0.0,0.015626192092895508,5162.0,383.0,16116.0,0.000973875929669636,0.0,0.016331195831298828,0.0014427289730165062,0.0,0.015602588653564453
20648.0,4.0,5.0,0.007731883252253298,0.0,0.015965938568115234,0.0018919256866955366,0.0,0.015624046325683594,4129.6,382.0,15296.0,0.0009816083751741003,0.0,0.00806879997253418,0.0031057068558989977,0.0,0.013318300247192383
20648.0,4.0,6.0,0.0038790688543262597,0.0,0.016354084014892578,0.0037539219427965356,0.0,0.017181396484375,3441.3333333333335,260.0,13508.0,0.0008648912349860825,0.0,0.015626192092895508,0.007684272206472066,0.0,0.016950368881225586
20648.0,4.0,7.0,0.008079861650372496,0.0,0.019840478897094727,0.002609153785327874,0.0,0.015628814697265625,2949.714285714286,93.0,8796.0,0.0017791478940756013,0.0,0.015636682510375977,0.008869825023235661,0.0,0.01645064353942871
20648.0,4.0,8.0,0.00900543414480318,0.0,0.016510486602783203,0.0036834294233864884,0.0,0.015673398971557617,2581.0,53.0,8597.0,0.0020326211200497016,0.0,0.015662193298339844,0.011349753635685618,0.0,0.02344202995300293
20648.0,4.0,9.0,0.009013387431269107,0.0,0.025175094604492188,0.0032331052033797553,0.0,0.015630722045898438,2294.222222222222,53.0,6563.0,0.0021212971728780997,0.0,0.01567840576171875,0.011880522188932999,0.0,0.02418375015258789
20648.0,4.0,10.0,0.009906213260391384,0.0,0.02009105682373047,0.0025692148116028424,0.0,0.015630006790161133,2064.8,51.0,6472.0,0.002543613748643005,0.0,0.015630245208740234,0.013079052989922681,0.0,0.01614522933959961
20648.0,4.0,11.0,0.00968507728954353,0.0,0.016479969024658203,0.002859573553104212,0.0,0.015677452087402344,1877.090909090909,49.0,5751.0,0.003567124357317934,0.0,0.015632152557373047,0.01454517156770914,0.0,0.03127098083496094
20648.0,4.0,12.0,0.013289678555268507,0.0,0.023951292037963867,0.002668958443861741,0.0,0.01563119888305664,1720.6666666666667,47.0,5805.0,0.0016683729795309214,0.0,0.01567983627319336,0.01532004658992474,0.0,0.03126049041748047
20648.0,4.0,13.0,0.012097192915859601,0.0,0.01604437828063965,0.0032118108888335574,0.0,0.015645980834960938,1588.3076923076924,46.0,5584.0,0.00272947589293221,0.0,0.01566338539123535,0.016505974018021136,0.0,0.03127694129943848
20648.0,4.0,14.0,0.012041416622343518,0.0,0.015958070755004883,0.003168503443400065,0.0,0.01566338539123535,1474.857142857143,46.0,4439.0,0.002835444041660854,0.0,0.015660524368286133,0.017383321126302084,0.01405787467956543,0.031302690505981445
48204.0,5.0,3.0,0.014070544924054827,0.0,0.024697303771972656,0.0028066635131835938,0.0,0.01562356948852539,16068.0,13207.0,20155.0,0.0012102978570120676,0.0,0.015610694885253906,0.0016892807824271066,0.0,0.01565837860107422
48204.0,5.0,4.0,0.01567223492790671,0.0,0.0314483642578125,0.0029900354497572955,0.0,0.015651941299438477,12051.0,9178.0,14303.0,0.0030253915225758273,0.0,0.015638351440429688,0.0004700772902544807,0.0,0.007991313934326172
48204.0,5.0,5.0,0.01635596427050504,0.015593767166137695,0.031248092651367188,0.004578774625604803,0.0,0.015625715255737305,9640.8,5301.0,12763.0,0.0028410770676352763,0.0,0.015661001205444336,0.0014205412431196733,0.0,0.015627384185791016
48204.0,5.0,6.0,0.018575638059585814,0.008775472640991211,0.03126168251037598,0.005554172727796767,0.0,0.015671968460083008,8034.0,4828.0,11932.0,0.004073805279201931,0.0,0.016442298889160156,0.0021188978164915053,0.0,0.015692472457885742
48204.0,5.0,7.0,0.022253121648515974,0.011045217514038086,0.031255245208740234,0.007046248231615339,0.0,0.016007661819458008,6886.285714285715,4419.0,11403.0,0.005725843565804618,0.0,0.015648365020751953,0.0011449881962367467,0.0,0.008045673370361328
48204.0,5.0,8.0,0.02824697261903344,0.015050888061523438,0.06250381469726562,0.007546520814663026,0.0,0.016036510467529297,6025.5,3689.0,8373.0,0.007322293956105302,0.0,0.019687891006469727,0.0033477632010855325,0.0,0.01573920249938965
48204.0,5.0,9.0,0.031811689629274255,0.01559138298034668,0.057761192321777344,0.009177919696359074,0.0,0.02401590347290039,5356.0,3315.0,7929.0,0.007357656955718994,0.0,0.016010522842407227,0.003966787282158346,0.0,0.016786813735961914
48204.0,5.0,10.0,0.033043104059555954,0.015586376190185547,0.06400513648986816,0.010377742106618446,0.0,0.024009227752685547,4820.4,2689.0,7805.0,0.008222745134939556,0.0,0.01652383804321289,0.003590286167618496,0.0,0.016000032424926758
48204.0,5.0,11.0,0.028750815342382056,0.015604496002197266,0.04683351516723633,0.00879538182130794,0.0,0.01600360870361328,4382.181818181818,2664.0,7186.0,0.0058908192152829515,0.0,0.016924142837524414,0.0038952507923558817,0.0,0.015636444091796875
48204.0,5.0,12.0,0.03433729327002237,0.015617609024047852,0.056070566177368164,0.009478533914846968,0.0,0.018951416015625,4017.0,2440.0,6971.0,0.007937078328095665,0.0,0.022036075592041016,0.003960261973299722,0.0,0.015666961669921875
48204.0,5.0,13.0,0.037500003450795225,0.015590906143188477,0.07207250595092773,0.0106673726910039,0.0,0.017249584197998047,3708.0,2119.0,6910.0,0.008314137396059539,0.0,0.02409529685974121,0.005460023880004883,0.0,0.015694618225097656
48204.0,5.0,14.0,0.04715313774328262,0.024058818817138672,0.08799958229064941,0.013844395597902731,0.0,0.03521013259887695,3443.1428571428573,2072.0,6798.0,0.011509341553758127,0.0,0.031279802322387695,0.008539726939825966,0.0,0.025401592254638672
89640.0,5.0,3.0,0.032666314731944694,0.015624046325683594,0.046883583068847656,0.009942780841480602,0.0,0.01562786102294922,29880.0,29873.0,29894.0,0.0035742521286010742,0.0,0.016131877899169922,0.0007103139703924006,0.0,0.015626907348632812
89640.0,5.0,4.0,0.03443670900244462,0.0300445556640625,0.05513119697570801,0.008309615285773026,0.0,0.016209125518798828,22410.0,22398.0,22420.0,0.0054497656069303815,0.0,0.013549566268920898,0.0015283132854260896,0.0,0.008046388626098633
89640.0,5.0,5.0,0.04500045198382753,0.03195381164550781,0.09181451797485352,0.012182192368940874,0.00754547119140625,0.031996965408325195,17928.0,17895.0,17953.0,0.008595076474276457,0.0,0.01601719856262207,0.004354292696172541,0.0,0.016004085540771484
89640.0,5.0,6.0,0.042151566594839096,0.031246662139892578,0.06603050231933594,0.011429518461227417,0.0,0.023320436477661133,14940.0,14848.0,15021.0,0.008912008255720139,0.0,0.017032384872436523,0.003859102725982666,0.0,0.01506948471069336
89640.0,5.0,7.0,0.04518229999239483,0.0312347412109375,0.06271862983703613,0.011488906920902313,0.0,0.017771244049072266,12805.714285714286,12714.0,12883.0,0.009496454208616226,0.0,0.01722860336303711,0.00559944576687283,0.0,0.016646623611450195
89640.0,5.0,8.0,0.047304009878507226,0.031244277954101562,0.058321237564086914,0.01344432112991169,0.0,0.024623870849609375,11205.0,11045.0,11381.0,0.011732383440899592,0.0,0.020563840866088867,0.00501573726695071,0.0,0.017452239990234375
89640.0,5.0,9.0,0.053982065079060004,0.04683566093444824,0.06696224212646484,0.015428766291192237,0.0,0.02407217025756836,9960.0,2625.0,12506.0,0.012837415045880258,0.0,0.018157958984375,0.00781222607227082,0.0,0.016794443130493164
89640.0,5.0,10.0,0.05299215921213929,0.04000687599182129,0.07071208953857422,0.014325588521823076,0.0,0.019713878631591797,8964.0,2805.0,9944.0,0.011798422101517799,0.0,0.019480466842651367,0.010118749779714664,0.0,0.03125500679016113
89640.0,5.0,11.0,0.054494101425697064,0.04013323783874512,0.06804347038269043,0.015092414000938678,0.0,0.026681184768676758,8149.090909090909,2572.0,9905.0,0.013421872566486227,0.0,0.02482128143310547,0.014038990283834523,0.0,0.028703927993774414
89640.0,5.0,12.0,0.055823825977065346,0.039727210998535156,0.07462835311889648,0.015072301030158997,0.0,0.03128242492675781,7470.0,2568.0,8845.0,0.013710398565639149,0.0,0.02394866943359375,0.007402158596298911,0.0,0.023998498916625977
89640.0,5.0,13.0,0.06157071845045368,0.044843435287475586,0.10707378387451172,0.016999270152119758,0.00800323486328125,0.03200101852416992,6895.384615384615,2041.0,8538.0,0.01528627895614476,0.0,0.031252145767211914,0.015621753186469712,0.0,0.03049945831298828
89640.0,5.0,14.0,0.06308114385030356,0.046837806701660156,0.08324146270751953,0.01755199662174087,0.009544610977172852,0.03125262260437012,6402.857142857143,2019.0,7710.0,0.015386365982423345,0.0,0.02748727798461914,0.013783092958381376,0.0,0.03125476837158203
10081.0,7.0,3.0,0.004174510637919108,0.0,0.009562015533447266,0.0014568169911702473,0.0,0.01052403450012207,3360.3333333333335,2133.0,4624.0,0.0008913675944010416,0.0,0.005490303039550781,0.00012616316477457681,0.0,0.0015139579772949219
10081.0,7.0,4.0,0.007271138104525479,0.0,0.016797304153442383,0.0002949237823486328,0.0,0.0018320083618164062,2520.25,1131.0,4608.0,0.0,0.0,0.0,0.0,0.0,0.0
10081.0,7.0,5.0,0.0,0.0,0.0,0.0013333757718404133,0.0,0.008000373840332031,2016.2,1122.0,3117.0,0.003333449363708496,0.0,0.008000850677490234,0.003333131472269694,0.0,0.007999897003173828
10081.0,7.0,6.0,0.005716017314365932,0.0,0.008008956909179688,0.003427267074584961,0.0,0.008000373840332031,1680.1666666666667,1010.0,2575.0,0.0,0.0,0.0,0.0011423655918666295,0.0,0.007996559143066406
10081.0,7.0,7.0,0.005498871207237244,0.0,0.008005380630493164,0.0019994378089904785,0.0,0.007999897003173828,1440.142857142857,262.0,2574.0,0.0025013238191604614,0.0,0.008018970489501953,0.0020004212856292725,0.0,0.008007287979125977
10081.0,7.0,8.0,0.004988670349121094,0.0,0.015627145767211914,0.0023229651980929905,0.0,0.015624284744262695,1260.125,124.0,1997.0,0.0030721558464898,0.0,0.015659809112548828,0.0004444519678751628,0.0,0.00800013542175293
