n_datapoints,n_features,n_clusters,t_A_avg,t_A_min,t_A_max,t_B_avg,t_B_min,t_B_max,avg_cluster_size,min_cluster_size,max_cluster_size
732977.0,17.0,3.0,0.3196863375212017,0.15472197532653809,0.39693236351013184,0.030317808452405427,0.015629053115844727,0.0403141975402832,244325.66666666666,89945.0,328474.0
732977.0,17.0,4.0,0.3680607896102102,0.1997509002685547,0.4169456958770752,0.032395431869908384,0.021378517150878906,0.04687643051147461,183244.25,56130.0,331121.0
732977.0,17.0,5.0,0.3954039067029953,0.21875,0.5156538486480713,0.025707518061002094,0.01562952995300293,0.0468440055847168,146595.4,53367.0,227843.0
732977.0,17.0,6.0,0.4556374788284302,0.26560068130493164,0.5468993186950684,0.025009799003601074,0.01562809944152832,0.04689526557922363,122162.83333333333,28828.0,203501.0
732977.0,17.0,7.0,0.47549738456953816,0.28125715255737305,0.4999868869781494,0.02379775047302246,0.015623331069946289,0.03129863739013672,104711.0,23673.0,180641.0
732977.0,17.0,8.0,0.5443438989360158,0.32811665534973145,0.9963028430938721,0.024778534726398748,0.015592336654663086,0.06140613555908203,91622.125,20190.0,167653.0
732977.0,17.0,9.0,0.5654093788330814,0.37499475479125977,0.7031149864196777,0.022891308887895333,0.015618085861206055,0.04688096046447754,81441.88888888889,20190.0,122401.0
732977.0,17.0,10.0,0.6464960726480635,0.43288373947143555,0.7737112045288086,0.026950998911781918,0.015556573867797852,0.057127952575683594,73297.7,20190.0,109788.0
732977.0,17.0,11.0,0.7631877348973201,0.5806350708007812,1.094846487045288,0.028080243330735426,0.011546611785888672,0.05449414253234863,66634.27272727272,20190.0,109788.0
732977.0,17.0,12.0,0.7400746970880226,0.5478050708770752,0.9712557792663574,0.0263373890861136,0.015615224838256836,0.05105257034301758,61081.416666666664,20190.0,109788.0
732977.0,17.0,13.0,0.9120992422103882,0.6240754127502441,1.144657850265503,0.02899502624164928,0.015547037124633789,0.04133749008178711,56382.846153846156,20103.0,90102.0
732977.0,17.0,14.0,0.9148065007251241,0.666818380355835,1.2932863235473633,0.02882292996282163,0.015598297119140625,0.06289911270141602,52355.5,20103.0,77059.0
732977.0,17.0,15.0,1.1074093757791723,0.7575869560241699,1.4879558086395264,0.03337644008879966,0.015618562698364258,0.07209086418151855,48865.13333333333,18053.0,77059.0
732977.0,17.0,16.0,1.0665332016191984,0.8754096031188965,1.3619210720062256,0.028827133931611713,0.015626192092895508,0.050046443939208984,45811.0625,10958.0,77059.0
732977.0,17.0,17.0,1.2466924599238804,1.0155754089355469,1.6973614692687988,0.028823116847446987,0.015669822692871094,0.0720357894897461,43116.294117647056,20103.0,69520.0
732977.0,17.0,18.0,1.2654516609703623,0.7759678363800049,1.634122610092163,0.02867819623249333,0.01604485511779785,0.04828310012817383,40720.944444444445,18053.0,56168.0
732977.0,17.0,19.0,1.3542193388938903,0.9503324031829834,2.2079954147338867,0.02949498414993286,0.019819974899291992,0.05019712448120117,38577.73684210526,18053.0,66951.0
732977.0,17.0,20.0,1.2444802832603454,0.9411437511444092,1.4562113285064697,0.025240440368652344,0.018318891525268555,0.0401155948638916,36648.85,18053.0,53042.0
732977.0,17.0,21.0,1.2962949716526528,0.9814302921295166,1.5196669101715088,0.0252139283263165,0.019711732864379883,0.04136300086975098,34903.666666666664,18053.0,53042.0
732977.0,17.0,22.0,1.3596622109413148,1.026869297027588,1.6261639595031738,0.02639171838760376,0.01566481590270996,0.04077005386352539,33317.13636363636,17544.0,53775.0
732977.0,17.0,23.0,1.3679746532440185,1.0146727561950684,1.9439973831176758,0.024050724506378175,0.0156705379486084,0.03234672546386719,31868.565217391304,18053.0,53042.0
732977.0,17.0,24.0,1.301452272647136,1.0159564018249512,1.5680320262908936,0.0231425311114337,0.01600170135498047,0.032047271728515625,30540.708333333332,18053.0,53042.0
732977.0,17.0,25.0,1.5054786014556885,1.1893210411071777,1.9774065017700195,0.02495398998260498,0.015668392181396484,0.05599260330200195,29319.08,10958.0,52040.0
732977.0,17.0,26.0,1.5738907108059177,1.1093294620513916,2.446946620941162,0.026573531039349445,0.015670061111450195,0.040053606033325195,28191.423076923078,18053.0,53042.0
732977.0,17.0,27.0,1.6495398052277104,1.4398324489593506,2.0474932193756104,0.026804643292580883,0.016303062438964844,0.03556323051452637,27147.296296296296,9267.0,52513.0
732977.0,17.0,28.0,1.6831226932759187,1.3399834632873535,1.9049046039581299,0.026901065086831853,0.01987767219543457,0.03459906578063965,26177.75,9267.0,46884.0
732977.0,17.0,29.0,1.7131454420089722,1.396333932876587,1.9518275260925293,0.025992202758789062,0.019931554794311523,0.04115009307861328,25275.068965517243,9606.0,49882.0
732977.0,17.0,30.0,1.7765628989313689,1.4715452194213867,2.34059739112854,0.02655297937527509,0.01623821258544922,0.05514669418334961,24432.566666666666,10958.0,52040.0
732977.0,17.0,31.0,1.8059087191542533,1.515096664428711,2.20001482963562,0.025238370242184154,0.016039371490478516,0.0404813289642334,23644.41935483871,10787.0,53042.0
732977.0,17.0,32.0,1.6581652760505676,1.4799668788909912,1.9199492931365967,0.023108502229054768,0.01599431037902832,0.03204059600830078,22905.53125,10314.0,52040.0
