n_datapoints,n_features,n_clusters,t_A_median,t_A_min,t_A_max,t_B_median,t_B_min,t_B_max,median_cluster_size,min_cluster_size,max_cluster_size
55568.0,18.0,4.0,31.25,15.625,46.875,0.0,0.0,15.625,13892.0,2755.0,33672.0
57984.0,18.0,4.0,31.25,0.0,46.875,0.0,0.0,15.625,14496.0,3255.0,34478.0
60400.0,18.0,4.0,31.25,15.625,46.875,0.0,0.0,15.625,15100.0,3259.0,34447.0
62816.0,18.0,4.0,31.25,0.0,46.875,0.0,0.0,15.625,15704.0,3259.0,34445.0
65232.0,18.0,4.0,31.25,0.0,46.875,0.0,0.0,31.25,16308.0,4305.0,31331.0
67648.0,18.0,4.0,31.25,0.0,62.5,0.0,0.0,15.625,16912.0,3311.0,35553.0
70064.0,18.0,4.0,31.25,15.625,46.875,0.0,0.0,15.625,17516.0,3389.0,37270.0
72480.0,18.0,4.0,31.25,15.625,46.875,0.0,0.0,31.25,18120.0,3455.0,39124.0
74896.0,18.0,4.0,31.25,0.0,46.875,0.0,0.0,15.625,18724.0,3462.0,41409.0
77312.0,18.0,4.0,31.25,15.625,46.875,0.0,0.0,31.25,19328.0,3497.0,43619.0
79728.0,18.0,4.0,31.25,15.625,46.875,0.0,0.0,15.625,19932.0,3509.0,45922.0
82144.0,18.0,4.0,31.25,15.625,62.5,0.0,0.0,15.625,20536.0,3559.0,47939.0
84560.0,18.0,4.0,31.25,15.625,62.5,0.0,0.0,15.625,21140.0,3563.0,50261.0
86976.0,18.0,4.0,46.875,15.625,46.875,0.0,0.0,15.625,21744.0,3654.0,52300.0
89392.0,18.0,4.0,46.875,15.625,78.125,0.0,0.0,31.25,22348.0,4561.0,53505.0
91808.0,18.0,4.0,46.875,15.625,62.5,0.0,0.0,31.25,22952.0,4639.0,55708.0
94224.0,18.0,4.0,46.875,15.625,78.125,0.0,0.0,15.625,23556.0,4749.0,57809.0
96640.0,18.0,4.0,46.875,15.625,62.5,0.0,0.0,15.625,24160.0,4883.0,60001.0
99056.0,18.0,4.0,46.875,15.625,78.125,0.0,0.0,15.625,24764.0,5798.0,61089.0
101472.0,18.0,4.0,46.875,31.25,62.5,0.0,0.0,15.625,25368.0,5802.0,63469.0
103888.0,18.0,4.0,46.875,31.25,78.125,0.0,0.0,15.625,25972.0,5849.0,65691.0
106304.0,18.0,4.0,46.875,15.625,78.125,0.0,0.0,15.625,26576.0,5945.0,67939.0
108720.0,18.0,4.0,46.875,15.625,78.125,0.0,0.0,15.625,27180.0,5961.0,70223.0
111136.0,18.0,4.0,46.875,15.625,78.125,0.0,0.0,15.625,27784.0,576.0,77261.0
113552.0,18.0,4.0,46.875,31.25,62.5,0.0,0.0,15.625,28388.0,2983.0,77261.0
115968.0,18.0,4.0,46.875,15.625,78.125,0.0,0.0,15.625,28992.0,1539.0,97836.0
118384.0,18.0,4.0,62.5,31.25,78.125,0.0,0.0,15.625,29596.0,3159.0,77482.0
120800.0,18.0,4.0,46.875,15.625,78.125,15.625,0.0,31.25,30200.0,3159.0,77501.0
123216.0,18.0,4.0,62.5,15.625,78.125,0.0,0.0,31.25,30804.0,1668.0,99431.0
125632.0,18.0,4.0,62.5,31.25,78.125,0.0,0.0,15.625,31408.0,633.0,106935.0
128048.0,18.0,4.0,62.5,15.625,78.125,0.0,0.0,31.25,32012.0,784.0,106946.0
130464.0,18.0,4.0,62.5,31.25,78.125,15.625,0.0,15.625,32616.0,784.0,107932.0
132880.0,18.0,4.0,62.5,31.25,109.375,0.0,0.0,15.625,33220.0,784.0,109561.0
135296.0,18.0,4.0,62.5,31.25,78.125,0.0,0.0,15.625,33824.0,784.0,110360.0
137712.0,18.0,4.0,62.5,31.25,93.75,15.625,0.0,15.625,34428.0,784.0,112766.0
140128.0,18.0,4.0,62.5,15.625,78.125,0.0,0.0,15.625,35032.0,784.0,115172.0
142544.0,18.0,4.0,62.5,31.25,93.75,7.8125,0.0,31.25,35636.0,784.0,117590.0
144960.0,18.0,4.0,62.5,31.25,78.125,0.0,0.0,15.625,36240.0,3059.0,81623.0
147376.0,18.0,4.0,62.5,31.25,93.75,0.0,0.0,31.25,36844.0,3059.0,83779.0
149792.0,18.0,4.0,62.5,31.25,93.75,0.0,0.0,31.25,37448.0,3059.0,85716.0
152208.0,18.0,4.0,62.5,46.875,93.75,15.625,0.0,31.25,38052.0,3061.0,86458.0
154624.0,18.0,4.0,78.125,31.25,93.75,0.0,0.0,31.25,38656.0,784.0,126795.0
157040.0,18.0,4.0,78.125,31.25,93.75,0.0,0.0,31.25,39260.0,784.0,129147.0
159456.0,18.0,4.0,62.5,31.25,93.75,15.625,0.0,31.25,39864.0,784.0,129697.0
161872.0,18.0,4.0,78.125,31.25,93.75,15.625,0.0,15.625,40468.0,3061.0,93903.0
164288.0,18.0,4.0,78.125,46.875,109.375,0.0,0.0,15.625,41072.0,784.0,134407.0
166704.0,18.0,4.0,78.125,46.875,93.75,15.625,0.0,15.625,41676.0,784.0,136656.0
