dataset_type,n,d,k,i,steps_vanilla,steps_speculation,steps_pp,subsample_size,seed,inertia_vanilla,inertia_pp,inertia_speculation,inertia_optimal
G2,2048,1024,10,15,1,1,1,0.01,0,2543799.730301604,2543930.626270494,2543799.730301604,2541874.022493321
G2,2048,1024,3,16,1,1,1,0.01,0,3677124.648880788,3677121.7556216307,3677124.648880788,3675477.7384748487
G2,2048,1024,4,16,1,1,1,0.01,0,3673488.1925766575,3673928.7476984756,3673488.1925766575,3671397.7562727197
G2,2048,1024,5,16,1,1,1,0.01,0,3670466.7256367,3670351.6654314967,3670466.7256367,3667876.54578955
G2,2048,1024,6,16,1,1,1,0.01,0,3667698.7376207635,3667508.2998832576,3667698.7376207635,3664707.8871186995
G2,2048,1024,7,16,1,1,1,0.01,0,3665165.068421459,3664987.7617029157,3665165.068421459,3662215.9628321584
G2,2048,1024,8,16,1,1,1,0.01,0,3662445.0053533157,3662467.0308374558,3662445.0053533157,3659648.867507845
G2,2048,1024,9,16,1,1,1,0.01,0,3659790.8722985294,3659611.5323983664,3659790.8722985294,3656974.058818371
G2,2048,1024,10,16,1,1,1,0.01,0,3657327.769165986,3656968.132008114,3657327.769165986,3654315.6785669588
G2,2048,1024,3,17,1,1,1,0.01,0,5012648.833572468,5011945.320197812,5012648.833572468,5010215.529595572
G2,2048,1024,4,17,1,1,1,0.01,0,5009284.561739208,5008211.615273455,5009284.561739208,5004575.311884847
G2,2048,1024,5,17,1,1,1,0.01,0,5005301.9578234255,5003443.850452526,5005301.9578234255,4999916.608690947
G2,2048,1024,6,17,1,1,1,0.01,0,5001418.796339711,5000026.32056639,5001418.796339711,4995860.253980905
G2,2048,1024,7,17,1,1,1,0.01,0,4997571.447133444,4996568.949852858,4997571.447133444,4992169.8531180145
G2,2048,1024,8,17,1,1,1,0.01,0,4993529.303540772,4993146.094128292,4993529.303540772,4988529.438257148
G2,2048,1024,9,17,1,1,1,0.01,0,4989974.700592285,4990005.067769648,4989974.700592285,4984710.364794126
G2,2048,1024,10,17,1,1,1,0.01,0,4986519.285872159,4985913.083994615,4986519.285872159,4981233.280576978
G2,2048,1024,3,18,1,1,1,0.01,0,6533999.074316738,6533900.3054275345,6533999.074316738,6532756.366251184
G2,2048,1024,4,18,1,1,1,0.01,0,6527602.229645446,6529903.5814706115,6527602.229645446,6524890.7022726275
G2,2048,1024,5,18,1,1,1,0.01,0,6522179.99184111,6524243.383744274,6522179.99184111,6519521.302861244
G2,2048,1024,6,18,1,1,1,0.01,0,6518370.088655058,6519563.111110975,6518370.088655058,6513853.825652573
G2,2048,1024,7,18,1,1,1,0.01,0,6514468.797048923,6515226.850196259,6514468.797048923,6508671.558267921
G2,2048,1024,8,18,1,1,1,0.01,0,6508635.477189917,6509402.135055093,6508635.477189917,6504239.017342395
G2,2048,1024,9,18,1,1,1,0.01,0,6504749.700366624,6504446.9034063015,6504749.700366624,6499448.942321189
G2,2048,1024,10,18,1,1,1,0.01,0,6500381.467316063,6499745.241837637,6500381.467316063,6495655.158133281
G2,2048,1024,3,19,1,1,1,0.01,0,8270756.982191714,8271108.219439192,8270756.982191714,8269241.086070115
G2,2048,1024,4,19,1,1,1,0.01,0,8262175.447781488,8264659.151876608,8262175.447781488,8259813.795737318
G2,2048,1024,5,19,1,1,1,0.01,0,8255543.993157301,8258622.888716031,8255543.993157301,8252113.205715121
G2,2048,1024,6,19,1,1,1,0.01,0,8250169.473843669,8250304.354910081,8250169.473843669,8245893.680258766
G2,2048,1024,7,19,1,1,1,0.01,0,8245240.448571403,8243841.229187254,8245240.448571403,8239313.872754982
G2,2048,1024,8,19,1,1,1,0.01,0,8238288.565311304,8237736.621130252,8238288.565311304,8231776.099038447
G2,2048,1024,9,19,1,1,1,0.01,0,8231734.355109617,8232445.627725666,8231734.355109617,8228078.546222465
G2,2048,1024,10,19,1,1,1,0.01,0,8227336.495227576,8225840.165133385,8227336.495227576,8222048.235064351
G2,2048,128,3,20,1,1,1,0.01,0,12821.500456152171,12821.133557506208,12821.500456152171,12806.312935903978
G2,2048,128,4,20,2,2,2,0.01,0,12769.31258141025,12766.241939044063,12769.31258141025,12747.445006930455
G2,2048,128,5,20,2,2,2,0.01,0,12732.445573417397,12733.089814926336,12732.445573417397,12703.299045511885
G2,2048,128,6,20,2,2,2,0.01,0,12706.594244931159,12703.859044830931,12706.594244931159,12662.474082170695
G2,2048,128,7,20,2,2,2,0.01,0,12679.22416139942,12665.936319460812,12679.22416139942,12624.478607403684
G2,2048,128,8,20,3,3,3,0.01,0,12637.859816124092,12630.879864861978,12637.859816124092,12590.438801708744
G2,2048,128,9,20,3,3,3,0.01,0,12600.409850294942,12600.57368911161,12600.409850294942,12560.410438517141
G2,2048,128,10,20,3,3,3,0.01,0,12570.917775050048,12572.986270394493,12570.917775050048,12530.930491385303
G2,2048,128,3,21,1,1,1,0.01,0,1279564.0043535756,1280348.0798253524,1279564.0043535756,1278178.583422249
G2,2048,128,4,21,1,1,1,0.01,0,1274714.8173308696,1276720.533156685,1274714.8173308696,1272134.808996724
G2,2048,128,5,21,2,2,2,0.01,0,1270482.5816876478,1270564.207707799,1270482.5816876478,1267743.6131171426
G2,2048,128,6,21,2,2,3,0.01,0,1267557.6879747964,1265897.6460250195,1267557.6879747964,1263530.4454490356
G2,2048,128,7,21,2,2,3,0.01,0,1265122.681326665,1262571.0790383392,1265122.681326665,1260143.1982815107
G2,2048,128,8,21,3,3,3,0.01,0,1260446.7406354465,1264464.65960554,1260446.7406354465,1256971.2587651946
G2,2048,128,9,21,3,3,3,0.01,0,1257450.4025088372,1262018.4430005206,1257450.4025088372,1253251.4408684466
G2,2048,128,10,21,3,3,4,0.01,0,1254523.3029687582,1256918.203768482,1254523.3029687582,1250945.8532500104
G2,2048,128,3,22,1,1,1,0.01,0,50986.70496333491,50982.96430012451,50986.70496333491,50912.5841193499
G2,2048,128,4,22,2,2,1,0.01,0,50789.89016356926,50841.276740423324,50789.89016356926,50682.412871685214
G2,2048,128,5,22,2,2,2,0.01,0,50642.835672502595,50637.307395419295,50642.835672502595,50496.14673633965
G2,2048,128,6,22,3,3,2,0.01,0,50463.50130588493,50504.43419774823,50463.50130588493,50340.26219808337
G2,2048,128,7,22,3,3,2,0.01,0,50357.9870732521,50422.14293124895,50357.9870732521,50193.66182747457
G2,2048,128,8,22,3,3,3,0.01,0,50196.70830590243,50197.284642056184,50196.70830590243,50062.72460970542
G2,2048,128,9,22,3,3,3,0.01,0,50086.8382219095,50105.11822776229,50086.8382219095,49920.50396745432
G2,2048,128,10,22,3,3,3,0.01,0,49995.63473387911,50022.85480738555,49995.63473387911,49822.16837531805
G2,2048,128,3,23,1,1,1,0.01,0,114889.96153484989,114952.6631221024,114889.96153484989,114767.24322023414
G2,2048,128,4,23,1,1,2,0.01,0,114448.76643554503,114450.22360642518,114448.76643554503,114234.0508950769
G2,2048,128,5,23,2,2,2,0.01,0,114082.26377077991,114135.00923833938,114082.26377077991,113833.96083596596
G2,2048,128,6,23,2,2,3,0.01,0,113823.83737150484,113803.06850386514,113823.83737150484,113493.4293287817
G2,2048,128,7,23,3,3,3,0.01,0,113535.3903109933,113462.02482520428,113535.3903109933,113138.35886376922
G2,2048,128,8,23,3,3,3,0.01,0,113177.2040266388,113204.98479924558,113177.2040266388,112840.34794593805
G2,2048,128,9,23,3,3,3,0.01,0,112883.38117292606,112986.71943955039,112883.38117292606,112581.36896021865
G2,2048,128,10,23,3,3,3,0.01,0,112640.21709878065,112769.1213552519,112640.21709878065,112316.40848192407
G2,2048,128,3,24,1,1,1,0.01,0,204753.00932041858,204718.55757692567,204753.00932041858,204476.2054065887
G2,2048,128,4,24,1,1,1,0.01,0,204007.25318051307,204154.98250939505,204007.25318051307,203574.88694130266
G2,2048,128,5,24,2,2,2,0.01,0,203318.01486324164,203601.5735611185,203318.01486324164,202846.8892464302
G2,2048,128,6,24,2,2,2,0.01,0,202905.9095299486,203181.5994851979,202905.9095299486,202133.7523484064
G2,2048,128,7,24,2,2,2,0.01,0,202587.08731159312,202417.6954837741,202587.08731159312,201601.00103707408
G2,2048,128,8,24,2,2,3,0.01,0,201999.52425521112,201611.180165441,201999.52425521112,201079.46268330188
G2,2048,128,9,24,3,3,3,0.01,0,201338.42967920692,201073.08351087658,201338.42967920692,200646.19710715621
G2,2048,128,10,24,3,3,3,0.01,0,200875.25885090668,200638.4366055141,200875.25885090668,200157.7476108973
G2,2048,128,3,25,1,1,1,0.01,0,318165.41437880485,318346.6786611427,318165.41437880485,317814.036878244
G2,2048,128,4,25,1,1,2,0.01,0,317024.73031152657,316939.7522027989,317024.73031152657,316359.86949591496
G2,2048,128,5,25,2,2,2,0.01,0,315941.0877565936,316092.07089036214,315941.0877565936,315263.8025601039
G2,2048,128,6,25,2,2,2,0.01,0,315262.2522365326,315024.92114857736,315262.2522365326,314251.4381111417
G2,2048,128,7,25,3,3,3,0.01,0,314362.4271267511,314191.4012567543,314362.4271267511,313368.51601527503
G2,2048,128,8,25,3,3,3,0.01,0,313374.73914469354,313234.1786905747,313374.73914469354,312531.2690008825
G2,2048,128,9,25,4,4,3,0.01,0,312334.4127738513,312533.9917967451,312334.4127738513,311800.75138992124
G2,2048,128,10,25,4,4,3,0.01,0,311696.8817081207,311909.840829263,311696.8817081207,311022.4251048865
G2,2048,128,3,26,1,1,1,0.01,0,460998.47973054834,461003.44217294874,460998.47973054834,460368.88820433477
G2,2048,128,4,26,1,1,1,0.01,0,459474.001405908,459457.8606456462,459474.001405908,458331.2832614426
G2,2048,128,5,26,2,2,2,0.01,0,457938.0975075809,457415.44816956867,457938.0975075809,456729.5522879956
G2,2048,128,6,26,2,2,3,0.01,0,456785.9129099473,456129.5779732072,456785.9129099473,455113.96990532905
G2,2048,128,7,26,2,2,3,0.01,0,455931.71171753504,455025.247578863,455931.71171753504,453799.360863602
G2,2048,128,8,26,3,3,3,0.01,0,454266.98005370423,453915.74123151985,454266.98005370423,452733.5533071775
G2,2048,128,9,26,3,3,3,0.01,0,453358.2598958016,452755.3264518536,453358.2598958016,451656.4340706818
G2,2048,128,10,26,3,3,3,0.01,0,452196.10496502346,451874.2718946275,452196.10496502346,450621.06161865854
G2,2048,128,3,27,1,1,1,0.01,0,627809.3037493309,627704.188206109,627809.3037493309,626954.4132829905
G2,2048,128,4,27,2,2,1,0.01,0,625275.9991034218,625424.823390948,625275.9991034218,624106.2601376825
G2,2048,128,5,27,2,2,1,0.01,0,623373.360290678,623588.2479319859,623373.360290678,621956.3169836449
G2,2048,128,6,27,2,2,2,0.01,0,621929.2767780027,621366.4043585712,621929.2767780027,619789.9235010764
G2,2048,128,7,27,2,2,2,0.01,0,620795.0481076378,619962.8029492658,620795.0481076378,618142.4419836128
G2,2048,128,8,27,3,3,3,0.01,0,618441.119909416,618135.3808077116,618441.119909416,616448.7033814313
G2,2048,128,9,27,3,3,3,0.01,0,616947.8955306672,616445.1956912396,616947.8955306672,615067.5516538459
G2,2048,128,10,27,3,3,3,0.01,0,615353.7756977259,615154.7409294548,615353.7756977259,613585.1715693246
G2,2048,128,3,28,1,1,1,0.01,0,812722.2644726002,813145.8654078064,812722.2644726002,811881.9964186784
G2,2048,128,4,28,1,1,2,0.01,0,809613.342335579,810424.9158690842,809613.342335579,808004.2826867749
G2,2048,128,5,28,2,2,2,0.01,0,807078.67013143,808331.6164438833,807078.67013143,805250.5453926693
G2,2048,128,6,28,2,2,3,0.01,0,805492.8171464661,804517.6603376375,805492.8171464661,802764.4405540196
G2,2048,128,7,28,3,3,3,0.01,0,803188.6088305637,803008.4662679284,803188.6088305637,800554.8613090211
G2,2048,128,8,28,3,3,3,0.01,0,800844.8075416501,800727.1943831595,800844.8075416501,798453.6979262679
G2,2048,128,9,28,3,3,3,0.01,0,798981.9442840973,798709.1216714424,798981.9442840973,796440.9739624804
G2,2048,128,10,28,3,3,4,0.01,0,797246.8733547311,796806.7016685547,797246.8733547311,794746.3681306997
G2,2048,128,3,29,1,1,1,0.01,0,1034768.5894554006,1034609.0644335304,1034768.5894554006,1033358.4166058267
G2,2048,128,4,29,1,1,1,0.01,0,1031063.5356042563,1032010.8035729672,1031063.5356042563,1028740.1393151211
G2,2048,128,5,29,2,2,2,0.01,0,1027329.212427842,1029022.3064245905,1027329.212427842,1024764.0443131321
G2,2048,128,6,29,2,2,2,0.01,0,1024735.2544636402,1026822.3950706914,1024735.2544636402,1021912.2025902264
G2,2048,128,7,29,2,2,2,0.01,0,1022573.6558047333,1022906.3607471181,1022573.6558047333,1018895.6630662256
G2,2048,128,8,29,3,3,3,0.01,0,1019216.126529306,1019197.1748884998,1019216.126529306,1016193.6020002031
G2,2048,128,9,29,3,3,3,0.01,0,1016141.922164033,1016477.183507198,1016141.922164033,1013509.2708236639
G2,2048,128,10,29,3,3,3,0.01,0,1014388.4720215619,1014180.3468866551,1014388.4720215619,1011624.1894810945
G2,2048,16,3,30,2,2,2,0.01,0,1565.456428113745,1564.0764119645876,1565.456428113745,1558.5726711906702
G2,2048,16,4,30,5,5,3,0.01,0,1527.9238440010495,1535.2323779595042,1527.9238440010495,1517.4836211544953
G2,2048,16,5,30,4,4,3,0.01,0,1502.2511890491587,1500.3620412940243,1502.2511890491587,1489.730821215158
G2,2048,16,6,30,6,6,6,0.01,0,1478.011638176325,1470.0198578856978,1478.011638176325,1461.4309969767905
G2,2048,16,7,30,6,6,6,0.01,0,1461.0069348957936,1448.6144089533896,1461.0069348957936,1440.1985557162209
G2,2048,16,8,30,6,6,6,0.01,0,1432.9268300376261,1428.9547140593531,1432.9268300376261,1418.6550484099198
G2,2048,16,9,30,6,6,6,0.01,0,1412.61110069889,1415.8234538230927,1412.61110069889,1399.9043067097225
G2,2048,16,10,30,6,6,7,0.01,0,1392.6837393628193,1397.3851776597683,1392.6837393628193,1383.2802714002894
G2,2048,16,3,31,3,3,2,0.01,0,155772.0670858576,155936.29427541728,155772.0670858576,155224.7926687412
G2,2048,16,4,31,4,4,3,0.01,0,152010.51804935376,152335.21971038735,152010.51804935376,151243.55599875734
G2,2048,16,5,31,5,5,4,0.01,0,149303.78430182903,149510.19432464405,149303.78430182903,148403.33822861454
G2,2048,16,6,31,6,6,4,0.01,0,147273.70771699457,146661.21765885525,147273.70771699457,145704.75706927228
G2,2048,16,7,31,9,9,5,0.01,0,144605.91175565065,144463.2091982999,144605.91175565065,143476.95885812
G2,2048,16,8,31,7,7,5,0.01,0,142559.00680123724,143200.9427249018,142559.00680123724,141349.7884406146
G2,2048,16,9,31,8,8,6,0.01,0,140316.50345823469,141423.334727431,140316.50345823469,139354.6909299994
G2,2048,16,10,31,9,9,7,0.01,0,138787.9940589472,139719.8093908368,138787.9940589472,137698.86989740905
G2,2048,16,3,32,2,2,2,0.01,0,6257.4884415848555,6272.4843184896135,6257.4884415848555,6240.661881843551
G2,2048,16,4,32,3,3,3,0.01,0,6116.844324410259,6165.893014333646,6116.844324410259,6081.855011084688
G2,2048,16,5,32,5,5,4,0.01,0,5998.816002259563,6016.7143159522275,5998.816002259563,5963.91895843969
G2,2048,16,6,32,4,4,6,0.01,0,5930.351665677442,5922.980301606812,5930.351665677442,5854.437742654508
G2,2048,16,7,32,3,3,7,0.01,0,5877.335548896295,5852.421909496563,5877.335548896295,5767.674613509253
G2,2048,16,8,32,7,7,6,0.01,0,5749.841807021753,5790.13298587379,5749.841807021753,5685.881799434791
G2,2048,16,9,32,7,7,7,0.01,0,5677.018223163526,5672.375011109239,5677.018223163526,5607.557319597353
G2,2048,16,10,32,9,9,7,0.01,0,5596.6300125574635,5600.024263798572,5596.6300125574635,5540.938372077477
G2,2048,16,3,33,1,1,1,0.01,0,13950.847241339743,13941.427176780458,13950.847241339743,13886.295058665963
G2,2048,16,4,33,5,5,3,0.01,0,13589.227461074384,13696.818623396697,13589.227461074384,13525.245776687463
G2,2048,16,5,33,6,6,6,0.01,0,13355.51867817207,13326.43767941766,13355.51867817207,13269.392070156033
