Dimension,Inertia,labels,dataset_index,method,Steps
35,0.012087121374100906,[4 4 0 ... 3 3 0],23,Speculative K-means,6
37,0.00014892693511531576,[0 0 3 ... 0 0 4],24,Vanilla K-means,5
37,0.00015066065090337205,[4 4 0 ... 4 4 2],24,K-means++,13
37,0.00014891343454605908,[0 0 3 ... 0 0 4],24,Speculative K-means,1
41,0.0001190770742197657,[0 2 0 ... 1 0 2],25,Vanilla K-means,6
41,0.0001190573306653279,[0 1 0 ... 4 0 1],25,K-means++,26
41,0.0001190074710365258,[0 2 0 ... 1 0 2],25,Speculative K-means,1
49,3781.8580243034444,[4 3 0 ... 0 4 0],26,Vanilla K-means,8
49,3780.2226992743617,[1 4 3 ... 3 1 3],26,K-means++,9
49,3776.765755647841,[1 3 0 ... 0 1 0],26,Speculative K-means,3
54,0.004920670217535192,[1 2 4 ... 0 1 0],27,Vanilla K-means,4
54,0.004894469427395355,[2 1 1 ... 0 2 3],27,K-means++,9
54,0.004893333008422153,[1 2 2 ... 0 1 0],27,Speculative K-means,4
59,5851603.260353746,[4 4 4 ... 2 2 2],28,Vanilla K-means,11
59,5856346.581117549,[2 2 2 ... 1 1 1],28,K-means++,3
59,5850423.0802255515,[4 4 4 ... 2 2 2],28,Speculative K-means,2
66,994.9757937517355,[2 2 2 ... 4 4 4],29,Vanilla K-means,7
66,383.6983369053576,[3 3 3 ... 2 2 2],29,K-means++,6
66,993.9491482990337,[2 2 2 ... 4 4 4],29,Speculative K-means,2
