n_datapoints,n_features,n_clusters,t_A_avg,t_A_min,t_A_max,t_B_avg,t_B_min,t_B_max,avg_cluster_size,min_cluster_size,max_cluster_size,ratio_AB_avg,ratio_AB_max,ratio_AB_min
40768.0,11.0,4.0,0.019960229213421162,0.011302709579467773,0.03204345703125,0.00692828343464778,0.0,0.01611781120300293,10192.0,7816.0,12541.0,2.880977575715463,1.9880774521840747,1.0
40768.0,11.0,5.0,0.023114769308416692,0.011277198791503906,0.038796186447143555,0.00809843260962684,0.0,0.016146183013916016,8153.6,5432.0,10977.0,2.854227530514917,2.4028085407991493,1.0
40768.0,11.0,6.0,0.026450491966085232,0.015401601791381836,0.03816652297973633,0.009110686626840146,0.0,0.017751455307006836,6794.666666666667,5047.0,8643.0,2.9032380378622507,2.1500503659928816,1.0
40768.0,11.0,7.0,0.03054629643758138,0.015598773956298828,0.04485774040222168,0.011539373397827148,0.0,0.02232980728149414,5824.0,3857.0,8205.0,2.647136493852709,2.0088727070832175,1.0
40768.0,11.0,8.0,0.031110721475937787,0.01554727554321289,0.045034170150756836,0.011476446600521313,0.0,0.01715373992919922,5096.0,3750.0,6491.0,2.710832242666872,2.6253266247845666,1.0
40768.0,11.0,9.0,0.034120473455875475,0.023825407028198242,0.05100440979003906,0.011710410422467172,0.0,0.021967649459838867,4529.777777777777,2620.0,6059.0,2.9136872427983533,2.3217964162840925,1.0
20867.0,12.0,3.0,0.009588271921331232,0.0,0.015670299530029297,0.0034462061795321377,0.0,0.01564788818359375,6955.666666666667,741.0,12526.0,2.78226879699721,1.001432228181375,1.0
20867.0,12.0,4.0,0.011734194225735135,0.0,0.02454853057861328,0.002912243207295736,0.0,0.015667438507080078,5216.75,731.0,11175.0,4.02926314544702,1.5668502906534376,1.0
20867.0,12.0,5.0,0.013840919191187078,0.0,0.028087139129638672,0.004485173658891158,0.0,0.016402721405029297,4173.4,1.0,11111.0,3.0859271555181844,1.7123462891363121,1.0
20867.0,12.0,6.0,0.015341007709503173,0.0,0.03161740303039551,0.004177418351173401,0.0,0.01746845245361328,3477.8333333333335,702.0,6932.0,3.6723656622023544,1.8099716110716821,1.0
20867.0,12.0,7.0,0.01699618417389539,0.003968715667724609,0.02763223648071289,0.005110049734310228,0.0,0.015695810317993164,2981.0,629.0,5488.0,3.326031067717111,1.7604848632144974,1.0
20867.0,12.0,8.0,0.016971813489312995,0.0020666122436523438,0.03365731239318848,0.006161301103356766,0.0,0.019034385681152344,2608.375,203.0,7385.0,2.754582709821876,1.7682373866426173,1.0
20867.0,12.0,9.0,0.017589542600843642,0.004178524017333984,0.03381085395812988,0.00722498952606578,0.0,0.017607450485229492,2318.5555555555557,162.0,7734.0,2.4345422975888615,1.9202583580452532,1.0
12455.0,13.0,3.0,0.005741976201534271,0.0,0.018768787384033203,0.002234905958175659,0.0,0.01562786102294922,4151.666666666667,2463.0,5460.0,2.5692249736635064,1.200982486117044,1.0
12455.0,13.0,4.0,0.007041645050048828,0.0,0.018216848373413086,0.00129244327545166,0.0,0.015622615814208984,3113.75,1094.0,5467.0,5.448320389603203,1.1660562219576962,1.0
12455.0,13.0,5.0,0.009248982305112093,0.0,0.01566314697265625,0.0017642560212508492,0.0,0.015623092651367188,2491.0,1345.0,4033.0,5.242426378998331,1.0025637895250885,1.0
12455.0,13.0,6.0,0.008624011820012873,0.0,0.02317047119140625,0.0036468216867157907,0.0,0.015630483627319336,2075.8333333333335,1290.0,3350.0,2.3648021649721453,1.4823899083268506,1.0
12455.0,13.0,7.0,0.0111426567209178,0.0,0.015673398971557617,0.002861031170549064,0.0,0.018934011459350586,1779.2857142857142,23.0,2650.0,3.8946296131332954,0.8277907196373481,1.0
12455.0,13.0,8.0,0.010117416381835937,0.0,0.015659809112548828,0.0031554698944091797,0.0,0.015630722045898438,1556.875,23.0,2483.0,3.2063105402342273,1.0018608907870652,1.0
12455.0,13.0,9.0,0.01202719945173997,0.0,0.026240825653076172,0.003863022877619817,0.0,0.015677452087402344,1383.888888888889,23.0,2232.0,3.11341657369383,1.6737940264006326,1.0
