n_datapoints,n_features,n_clusters,t_A_avg,t_A_min,t_A_max,t_B_avg,t_B_min,t_B_max,avg_cluster_size,min_cluster_size,max_cluster_size,t_speculation_avg,t_speculation_min,t_speculation_max,t_correction_avg,t_correction_min,t_correction_max,subsample_size
163065.0,4.0,3.0,0.027834382924166592,0.015615701675415039,0.03946852684020996,0.0027304129167036576,0.0,0.015625476837158203,54355.0,5906.0,118005.0,0.00022585825486616656,0.0,0.003159761428833008,0.00090955604206432,0.0,0.01595139503479004,0.01
163065.0,4.0,4.0,0.028627734917860765,0.015611410140991211,0.03522944450378418,0.0035815697449904224,0.0,0.015627384185791016,40766.25,1652.0,107058.0,0.0003274679183959961,0.0,0.008001327514648438,0.0016420804537259615,0.0,0.015630483627319336,0.01
163065.0,4.0,5.0,0.03632826805114746,0.023999452590942383,0.05428361892700195,0.002370309829711914,0.0,0.008005619049072266,32613.0,442.0,95295.0,0.0011940658092498778,0.0,0.015624761581420898,0.0009110212326049804,0.0,0.009016275405883789,0.01
163065.0,4.0,6.0,0.03846203429358346,0.02973031997680664,0.04986691474914551,0.0017903234277452742,0.0,0.016997098922729492,27177.5,1521.0,69862.0,0.0009925408022744314,0.0,0.015681982040405273,0.0018012949398585729,0.0,0.01562356948852539,0.01
163065.0,4.0,7.0,0.04525481116387152,0.031247615814208984,0.0549311637878418,0.0014869743777859595,0.0,0.01562952995300293,23295.0,924.0,60546.0,0.0004085571535172001,0.0,0.015617847442626953,0.00046927313650808026,0.0,0.015619039535522461,0.01
163065.0,4.0,8.0,0.047374214444841654,0.041426658630371094,0.06279373168945312,0.0024781151423378597,0.0,0.016988277435302734,20383.125,818.0,49010.0,0.0010952760302831257,0.0,0.015620946884155273,0.0002479591066875155,0.0,0.015621423721313477,0.01
163065.0,4.0,9.0,0.05255906553153532,0.04683065414428711,0.0784611701965332,0.00250110281519143,0.0,0.0156707763671875,18118.333333333332,837.0,43752.0,0.00037517030555081656,0.0,0.015625715255737305,0.0009409002510898085,0.0,0.015622377395629883,0.01
163065.0,4.0,10.0,0.05525410876554601,0.04124855995178223,0.06381797790527344,0.0023694459129782286,0.0,0.01563262939453125,16306.5,157.0,40958.0,0.0006892961614272173,0.0,0.015625476837158203,0.0010669722276575426,0.0,0.01562666893005371,0.01
163065.0,4.0,11.0,0.05980860314718107,0.04686617851257324,0.06465983390808105,0.0032090908143578506,0.0,0.01563405990600586,14824.09090909091,1042.0,31791.0,0.0009574773834972847,0.0,0.01562786102294922,0.0007620788202053163,0.0,0.015624761581420898,0.01
163065.0,4.0,12.0,0.06718524027678927,0.059975624084472656,0.07909941673278809,0.0016888561895338156,0.0,0.015686750411987305,13588.75,927.0,31070.0,0.0,0.0,0.0,0.0014636395341258938,0.0,0.015674591064453125,0.01
