n_datapoints,n_features,n_clusters,t_A_avg,t_A_min,t_A_max,t_B_avg,t_B_min,t_B_max,avg_cluster_size,min_cluster_size,max_cluster_size
163065.0,4.0,3.0,0.017399101030258907,0.002064943313598633,0.03126215934753418,0.0016063792364937918,0.0,0.015671968460083008,54355.0,3906.0,127588.0
163065.0,4.0,4.0,0.019608149161705606,0.00647735595703125,0.033149003982543945,0.001041394013624925,0.0,0.0156705379486084,40766.25,1600.0,109473.0
163065.0,4.0,5.0,0.022152664760748546,0.015046119689941406,0.03441452980041504,0.0020152106881141663,0.0,0.015652179718017578,32613.0,881.0,95535.0
163065.0,4.0,6.0,0.024554219245910645,0.011034250259399414,0.03834891319274902,0.0027291178703308105,0.0,0.015718460083007812,27177.5,410.0,85104.0
163065.0,4.0,7.0,0.027183980941772462,0.015578985214233398,0.031284332275390625,0.0018706727027893067,0.0,0.0156707763671875,23295.0,279.0,74031.0
163065.0,4.0,8.0,0.03132153749465942,0.015639066696166992,0.04576301574707031,3.0002593994140626e-05,0.0,0.001998424530029297,20383.125,193.0,66708.0
163065.0,4.0,9.0,0.03234261035919189,0.0312042236328125,0.0469052791595459,0.0014072823524475097,0.0,0.015638351440429688,18118.333333333332,189.0,54021.0
163065.0,4.0,10.0,0.034328851699829105,0.021840572357177734,0.05054521560668945,0.002072155475616455,0.0,0.015640735626220703,16306.5,155.0,44987.0
163065.0,4.0,11.0,0.037180933952331546,0.021812915802001953,0.05146050453186035,0.001642129421234131,0.0,0.015636920928955078,14824.09090909091,115.0,39712.0
163065.0,4.0,12.0,0.04003647089004517,0.0312197208404541,0.0503995418548584,0.0012490367889404297,0.0,0.015625,13588.75,112.0,39824.0
163065.0,4.0,13.0,0.0421511435508728,0.0291595458984375,0.060384273529052734,0.0017491722106933595,0.0,0.015674829483032227,12543.461538461539,107.0,35919.0
163065.0,4.0,14.0,0.04510171890258789,0.0312502384185791,0.06255149841308594,0.001428682804107666,0.0,0.01562666893005371,11647.5,111.0,35306.0
163065.0,4.0,15.0,0.046752874851226804,0.03125166893005371,0.06249499320983887,0.001544945240020752,0.0,0.015633821487426758,10871.0,72.0,36226.0
163065.0,4.0,16.0,0.049375402927398684,0.04685235023498535,0.06251096725463867,0.0012499499320983887,0.0,0.015641212463378906,10191.5625,58.0,32730.0
163065.0,4.0,17.0,0.05737257242202759,0.0440824031829834,0.06824207305908203,0.0023770761489868165,0.0,0.017069578170776367,9592.058823529413,51.0,29894.0
163065.0,4.0,18.0,0.061151866912841794,0.04686880111694336,0.07812976837158203,0.0014192771911621094,0.0,0.015636444091796875,9059.166666666666,49.0,30201.0
163065.0,4.0,19.0,0.06141314744949341,0.04686427116394043,0.07605266571044922,0.001728363037109375,0.0,0.01563262939453125,8582.368421052632,47.0,31662.0
163065.0,4.0,20.0,0.06389906644821167,0.05945587158203125,0.07813262939453125,0.0015729093551635743,0.0,0.015631675720214844,8153.25,52.0,24372.0
163065.0,4.0,21.0,0.0673442268371582,0.06248331069946289,0.0781402587890625,0.0010933184623718262,0.0,0.01562356948852539,7765.0,48.0,24707.0
163065.0,4.0,22.0,0.07181977272033692,0.06247258186340332,0.11449933052062988,0.0016516685485839845,0.0,0.015626192092895508,7412.045454545455,48.0,22960.0
163065.0,4.0,23.0,0.07327170133590698,0.0623929500579834,0.08765554428100586,0.0015565252304077148,0.0,0.0156400203704834,7089.782608695652,48.0,20235.0
163065.0,4.0,24.0,0.07309409856796265,0.06239819526672363,0.07857275009155273,0.0016324496269226074,0.0,0.01563882827758789,6794.375,48.0,19073.0
163065.0,4.0,25.0,0.07822848796844482,0.062493085861206055,0.09375858306884766,0.0020314311981201173,0.0,0.015633106231689453,6522.6,47.0,18857.0
163065.0,4.0,26.0,0.08196490287780761,0.07808732986450195,0.12654376029968262,0.0012500119209289551,0.0,0.01563096046447754,6271.7307692307695,47.0,18669.0
163065.0,4.0,27.0,0.08433800220489501,0.07802057266235352,0.10933065414428711,0.0012506103515625,0.0,0.015661239624023438,6039.444444444444,47.0,16389.0
163065.0,4.0,28.0,0.08323055028915405,0.07797980308532715,0.09377336502075195,0.0018744969367980957,0.0,0.01563429832458496,5823.75,47.0,16211.0
163065.0,4.0,29.0,0.08913479089736938,0.07810449600219727,0.10942506790161133,0.00031271934509277346,0.0,0.015636205673217773,5622.931034482759,43.0,17992.0
163065.0,4.0,30.0,0.09002359628677369,0.07811331748962402,0.1093752384185791,0.0015627574920654298,0.0,0.015635251998901367,5435.5,44.0,15840.0
163065.0,4.0,31.0,0.09293880701065063,0.0781102180480957,0.10938119888305664,0.0009378409385681153,0.0,0.015636920928955078,5260.1612903225805,48.0,13457.0
163065.0,4.0,32.0,0.0938664722442627,0.07812857627868652,0.10938262939453125,0.0014056158065795898,0.0,0.015630483627319336,5095.78125,47.0,12983.0
163065.0,4.0,33.0,0.09644461393356324,0.09363913536071777,0.10976099967956543,0.0017188620567321778,0.0,0.01563549041748047,4941.363636363636,47.0,13402.0
163065.0,4.0,34.0,0.10116294145584107,0.0781240463256836,0.1214752197265625,0.0015442466735839844,0.0,0.01566004753112793,4796.029411764706,44.0,12547.0
163065.0,4.0,35.0,0.10110214948654175,0.09371232986450195,0.12503886222839355,0.001562199592590332,0.0,0.0156404972076416,4659.0,43.0,14103.0
163065.0,4.0,36.0,0.10299405574798584,0.0937356948852539,0.12540626525878906,0.00140486478805542,0.0,0.015636205673217773,4529.583333333333,44.0,11736.0
163065.0,4.0,37.0,0.10643367290496826,0.09372830390930176,0.12501955032348633,0.0014070463180541992,0.0,0.015640974044799805,4407.1621621621625,43.0,11163.0
163065.0,4.0,38.0,0.10909451723098755,0.09378719329833984,0.1250011920928955,0.000779714584350586,0.0,0.015628576278686523,4291.184210526316,43.0,9727.0
163065.0,4.0,39.0,0.11146382808685303,0.09375119209289551,0.12706375122070312,0.0014258241653442383,0.0,0.015636444091796875,4181.153846153846,43.0,9669.0
163065.0,4.0,40.0,0.11394750595092773,0.10926628112792969,0.14063024520874023,0.0007807683944702149,0.0,0.0156252384185791,4076.625,43.0,10756.0
163065.0,4.0,41.0,0.11687001228332519,0.10604524612426758,0.1562061309814453,0.0020304059982299803,0.0,0.015644073486328125,3977.1951219512193,44.0,8797.0
163065.0,4.0,42.0,0.11753005743026733,0.10933732986450195,0.1296405792236328,0.0017285537719726562,0.0,0.01562952995300293,3882.5,43.0,10517.0
163065.0,4.0,43.0,0.12087233304977417,0.10936212539672852,0.14063405990600586,0.0018751144409179688,0.0,0.01563239097595215,3792.2093023255816,43.0,9236.0
163065.0,4.0,44.0,0.12154117345809937,0.10936260223388672,0.13112235069274902,0.0020355677604675295,0.0,0.0160369873046875,3706.0227272727275,44.0,8143.0
163065.0,4.0,45.0,0.12568406105041505,0.1093740463256836,0.14066314697265625,0.0018751001358032226,0.0,0.015642642974853516,3623.6666666666665,43.0,9045.0
163065.0,4.0,46.0,0.1314088535308838,0.12496066093444824,0.1718428134918213,0.0014072728157043456,0.0,0.015657901763916016,3544.891304347826,43.0,8685.0
163065.0,4.0,47.0,0.13092739820480348,0.12494611740112305,0.1406388282775879,0.0012504053115844726,0.0,0.01565265655517578,3469.468085106383,43.0,8084.0
